快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-30 13:00（初盘②）,日职联 J League,2026-05-02 13:00,Yokohama F Marinos,Mito HollyHock,Pinnacle,欧指,2.22,3.26,3.42,1.032,1.047,1.066,,,,,,2026-04-30 12:55
2026-04-30 13:00（初盘②）,日职联 J League,2026-05-02 13:00,Yokohama F Marinos,Mito HollyHock,Pinnacle,亚盘,,,,,,,-0.25,1.9,1.95,1.0,1.0,2026-04-30 12:55
2026-04-30 13:00（初盘②）,日职联 J League,2026-05-02 13:00,Yokohama F Marinos,Mito HollyHock,Ladbrokes,欧指,2.15,3.1,3.1,1.0,0.996,0.966,,,,,,2026-04-30 12:54
2026-04-30 13:00（初盘②）,日职联 J League,2026-05-02 13:00,Yokohama F Marinos,Mito HollyHock,William Hill,欧指,2.2,3.0,3.3,1.023,0.964,1.029,,,,,,2026-04-30 12:55
2026-04-30 13:00（初盘②）,日职联 J League,2026-05-02 13:00,Yokohama F Marinos,Mito HollyHock,Marathon Bet,欧指,2.18,3.22,3.3,1.014,1.034,1.029,,,,,,2026-04-30 12:54
2026-05-02 01:00（中盘③）,日职联 J League,2026-05-02 13:00,Yokohama F Marinos,Mito HollyHock,Pinnacle,欧指,2.24,3.28,3.48,1.035,1.047,1.084,,,,,,2026-05-02 00:55
2026-05-02 01:00（中盘③）,日职联 J League,2026-05-02 13:00,Yokohama F Marinos,Mito HollyHock,Pinnacle,亚盘,,,,,,,-0.25,1.93,1.96,1.013,1.023,2026-05-02 00:55
2026-05-02 01:00（中盘③）,日职联 J League,2026-05-02 13:00,Yokohama F Marinos,Mito HollyHock,Ladbrokes,欧指,2.15,3.1,3.1,0.994,0.989,0.966,,,,,,2026-05-02 00:54
2026-05-02 01:00（中盘③）,日职联 J League,2026-05-02 13:00,Yokohama F Marinos,Mito HollyHock,William Hill,欧指,2.2,3.0,3.3,1.017,0.957,1.028,,,,,,2026-05-02 00:54
2026-05-02 01:00（中盘③）,日职联 J League,2026-05-02 13:00,Yokohama F Marinos,Mito HollyHock,Marathon Bet,欧指,2.18,3.2,3.32,1.008,1.021,1.034,,,,,,2026-05-02 00:54
2026-05-02 07:00（临场①）,日职联 J League,2026-05-02 13:00,Yokohama F Marinos,Mito HollyHock,Pinnacle,欧指,2.23,3.33,3.51,1.035,1.065,1.082,,,,,,2026-05-02 06:54
