快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-29 19:35（初盘①）,中超 CSL,2026-05-02 19:35,Zhejiang,Shenzhen Peng City FC,Pinnacle,欧指,1.74,4.06,4.17,1.038,1.045,1.006,,,,,,2026-04-29 19:30
2026-04-29 19:35（初盘①）,中超 CSL,2026-05-02 19:35,Zhejiang,Shenzhen Peng City FC,Pinnacle,亚盘,,,,,,,-0.75,1.94,1.88,0.867,1.098,2026-04-29 19:30
2026-04-29 19:35（初盘①）,中超 CSL,2026-05-02 19:35,Zhejiang,Shenzhen Peng City FC,Marathon Bet,欧指,1.7,4.05,4.1,1.014,1.042,0.989,,,,,,2026-04-29 19:28
2026-04-29 19:35（初盘①）,中超 CSL,2026-05-02 19:35,Zhejiang,Shenzhen Peng City FC,William Hill,欧指,1.73,3.8,4.0,1.032,0.978,0.965,,,,,,2026-04-29 19:30
2026-04-30 19:35（初盘②）,中超 CSL,2026-05-02 19:35,Zhejiang,Shenzhen Peng City FC,Pinnacle,欧指,1.74,4.08,4.2,1.062,1.104,1.063,,,,,,2026-04-30 19:30
2026-04-30 19:35（初盘②）,中超 CSL,2026-05-02 19:35,Zhejiang,Shenzhen Peng City FC,Pinnacle,亚盘,,,,,,,-0.75,1.93,1.9,0.864,1.106,2026-04-30 19:30
2026-04-30 19:35（初盘②）,中超 CSL,2026-05-02 19:35,Zhejiang,Shenzhen Peng City FC,Marathon Bet,欧指,1.7,4.0,4.15,1.038,1.083,1.051,,,,,,2026-04-30 19:30
2026-04-30 19:35（初盘②）,中超 CSL,2026-05-02 19:35,Zhejiang,Shenzhen Peng City FC,William Hill,欧指,1.73,3.8,4.0,1.056,1.029,1.013,,,,,,2026-04-30 19:29
2026-04-30 19:35（初盘②）,中超 CSL,2026-05-02 19:35,Zhejiang,Shenzhen Peng City FC,Betfair,欧指,1.09,1.01,1.04,0.666,0.273,0.263,,,,,,2026-04-30 19:29
2026-05-01 07:35（中盘①）,中超 CSL,2026-05-02 19:35,Zhejiang,Shenzhen Peng City FC,Pinnacle,欧指,1.78,3.94,4.1,1.043,1.024,0.999,,,,,,2026-05-01 07:30
2026-05-01 07:35（中盘①）,中超 CSL,2026-05-02 19:35,Zhejiang,Shenzhen Peng City FC,Pinnacle,亚盘,,,,,,,-0.75,2.0,1.84,0.895,1.056,2026-05-01 07:30
2026-05-01 07:35（中盘①）,中超 CSL,2026-05-02 19:35,Zhejiang,Shenzhen Peng City FC,Marathon Bet,欧指,1.73,3.9,4.1,1.014,1.013,0.999,,,,,,2026-05-01 07:30
