快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-01 23:15（初盘②）,法甲 Ligue 1,2026-05-03 23:15,Auxerre,Angers,Pinnacle,欧指,1.67,3.78,5.77,0.993,1.045,1.09,,,,,,2026-05-01 23:10
2026-05-01 23:15（初盘②）,法甲 Ligue 1,2026-05-03 23:15,Auxerre,Angers,Pinnacle,亚盘,,,,,,,-0.75,1.89,2.02,0.877,1.074,2026-05-01 23:10
2026-05-01 23:15（初盘②）,法甲 Ligue 1,2026-05-03 23:15,Auxerre,Angers,Winamax (FR),欧指,1.66,3.7,4.9,0.987,1.023,0.926,,,,,,2026-05-01 23:09
2026-05-01 23:15（初盘②）,法甲 Ligue 1,2026-05-03 23:15,Auxerre,Angers,William Hill,欧指,1.67,3.5,5.0,0.993,0.968,0.945,,,,,,2026-05-01 23:09
2026-05-01 23:15（初盘②）,法甲 Ligue 1,2026-05-03 23:15,Auxerre,Angers,Betfair,欧指,1.69,3.9,6.0,1.005,1.079,1.134,,,,,,2026-05-01 23:10
2026-05-03 11:15（中盘③）,法甲 Ligue 1,2026-05-03 23:15,Auxerre,Angers,Pinnacle,欧指,1.65,3.88,5.79,1.005,1.041,1.048,,,,,,2026-05-03 11:10
2026-05-03 11:15（中盘③）,法甲 Ligue 1,2026-05-03 23:15,Auxerre,Angers,Pinnacle,亚盘,,,,,,,-0.75,1.85,2.06,0.889,1.079,2026-05-03 11:10
2026-05-03 11:15（中盘③）,法甲 Ligue 1,2026-05-03 23:15,Auxerre,Angers,Winamax (FR),欧指,1.6,3.75,5.3,0.975,1.006,0.959,,,,,,2026-05-03 11:09
2026-05-03 11:15（中盘③）,法甲 Ligue 1,2026-05-03 23:15,Auxerre,Angers,William Hill,欧指,1.65,3.6,5.0,1.005,0.966,0.905,,,,,,2026-05-03 11:09
2026-05-03 11:15（中盘③）,法甲 Ligue 1,2026-05-03 23:15,Auxerre,Angers,Betfair,欧指,1.69,3.95,6.2,1.029,1.06,1.122,,,,,,2026-05-03 11:10
2026-05-03 17:15（临场①）,法甲 Ligue 1,2026-05-03 23:15,Auxerre,Angers,Pinnacle,欧指,1.72,3.87,5.22,1.027,1.03,1.005,,,,,,2026-05-03 17:10
2026-05-03 17:15（临场①）,法甲 Ligue 1,2026-05-03 23:15,Auxerre,Angers,Pinnacle,亚盘,,,,,,,-0.75,1.94,1.98,0.909,1.052,2026-05-03 17:10
2026-05-03 17:15（临场①）,法甲 Ligue 1,2026-05-03 23:15,Auxerre,Angers,Winamax (FR),欧指,1.62,3.8,5.0,0.968,1.011,0.962,,,,,,2026-05-03 17:09
2026-05-03 17:15（临场①）,法甲 Ligue 1,2026-05-03 23:15,Auxerre,Angers,William Hill,欧指,1.67,3.6,5.0,0.998,0.958,0.962,,,,,,2026-05-03 17:10
2026-05-03 17:15（临场①）,法甲 Ligue 1,2026-05-03 23:15,Auxerre,Angers,Betfair,欧指,1.73,3.95,5.7,1.033,1.051,1.097,,,,,,2026-05-03 17:10
2026-05-03 20:15（临场②）,法甲 Ligue 1,2026-05-03 23:15,Auxerre,Angers,Pinnacle,欧指,1.7,3.9,5.27,1.015,1.034,1.02,,,,,,2026-05-03 20:10
2026-05-03 20:15（临场②）,法甲 Ligue 1,2026-05-03 23:15,Auxerre,Angers,Pinnacle,亚盘,,,,,,,-0.75,1.92,2.0,0.905,1.06,2026-05-03 20:10
2026-05-03 20:15（临场②）,法甲 Ligue 1,2026-05-03 23:15,Auxerre,Angers,Winamax (FR),欧指,1.62,3.8,5.0,0.967,1.008,0.968,,,,,,2026-05-03 20:09
2026-05-03 20:15（临场②）,法甲 Ligue 1,2026-05-03 23:15,Auxerre,Angers,William Hill,欧指,1.7,3.6,4.8,1.015,0.955,0.929,,,,,,2026-05-03 20:10
2026-05-03 20:15（临场②）,法甲 Ligue 1,2026-05-03 23:15,Auxerre,Angers,Betfair,欧指,1.73,3.95,5.8,1.033,1.048,1.123,,,,,,2026-05-03 20:09
2026-05-03 21:45（临场③）,法甲 Ligue 1,2026-05-03 23:15,Auxerre,Angers,Pinnacle,欧指,1.7,3.9,5.27,1.015,1.037,1.022,,,,,,2026-05-03 21:40
2026-05-03 21:45（临场③）,法甲 Ligue 1,2026-05-03 23:15,Auxerre,Angers,Pinnacle,亚盘,,,,,,,-0.75,1.92,2.0,0.901,1.06,2026-05-03 21:40
2026-05-03 21:45（临场③）,法甲 Ligue 1,2026-05-03 23:15,Auxerre,Angers,Winamax (FR),欧指,1.64,3.75,4.9,0.98,0.997,0.95,,,,,,2026-05-03 21:40
2026-05-03 21:45（临场③）,法甲 Ligue 1,2026-05-03 23:15,Auxerre,Angers,William Hill,欧指,1.7,3.6,4.8,1.015,0.957,0.93,,,,,,2026-05-03 21:39
2026-05-03 21:45（临场③）,法甲 Ligue 1,2026-05-03 23:15,Auxerre,Angers,Betfair,欧指,1.73,3.9,5.9,1.033,1.037,1.144,,,,,,2026-05-03 21:40
