快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-01 22:15（初盘②）,西甲 La Liga,2026-05-03 22:15,Getafe,Rayo Vallecano,Pinnacle,欧指,1.93,3.42,4.47,1.009,1.049,1.021,,,,,,2026-05-01 22:10
2026-05-01 22:15（初盘②）,西甲 La Liga,2026-05-03 22:15,Getafe,Rayo Vallecano,Pinnacle,亚盘,,,,,,,-0.5,1.93,1.97,0.94,0.941,2026-05-01 22:10
2026-05-01 22:15（初盘②）,西甲 La Liga,2026-05-03 22:15,Getafe,Rayo Vallecano,Betfair,欧指,1.98,3.45,4.8,1.036,1.058,1.096,,,,,,2026-05-01 22:10
2026-05-01 22:15（初盘②）,西甲 La Liga,2026-05-03 22:15,Getafe,Rayo Vallecano,William Hill,欧指,1.91,3.2,4.0,0.999,0.981,0.914,,,,,,2026-05-01 22:10
2026-05-01 22:15（初盘②）,西甲 La Liga,2026-05-03 22:15,Getafe,Rayo Vallecano,Marathon Bet,欧指,1.96,3.4,4.4,1.025,1.043,1.005,,,,,,2026-05-01 22:09
2026-05-03 10:15（中盘③）,西甲 La Liga,2026-05-03 22:15,Getafe,Rayo Vallecano,Pinnacle,欧指,1.95,3.31,4.52,1.012,1.026,1.027,,,,,,2026-05-03 10:10
2026-05-03 10:15（中盘③）,西甲 La Liga,2026-05-03 22:15,Getafe,Rayo Vallecano,Pinnacle,亚盘,,,,,,,-0.5,1.96,1.94,0.95,0.932,2026-05-03 10:10
2026-05-03 10:15（中盘③）,西甲 La Liga,2026-05-03 22:15,Getafe,Rayo Vallecano,Betfair,欧指,2.0,3.4,4.7,1.038,1.053,1.068,,,,,,2026-05-03 10:07
2026-05-03 10:15（中盘③）,西甲 La Liga,2026-05-03 22:15,Getafe,Rayo Vallecano,William Hill,欧指,1.95,3.1,4.2,1.012,0.96,0.955,,,,,,2026-05-03 10:10
2026-05-03 10:15（中盘③）,西甲 La Liga,2026-05-03 22:15,Getafe,Rayo Vallecano,Marathon Bet,欧指,1.96,3.34,4.5,1.017,1.035,1.023,,,,,,2026-05-03 10:09
2026-05-03 16:15（临场①）,西甲 La Liga,2026-05-03 22:15,Getafe,Rayo Vallecano,Pinnacle,欧指,1.98,3.22,4.67,1.018,1.014,1.052,,,,,,2026-05-03 16:10
2026-05-03 16:15（临场①）,西甲 La Liga,2026-05-03 22:15,Getafe,Rayo Vallecano,Pinnacle,亚盘,,,,,,,-0.5,1.99,1.93,0.947,0.931,2026-05-03 16:10
2026-05-03 16:15（临场①）,西甲 La Liga,2026-05-03 22:15,Getafe,Rayo Vallecano,Betfair,欧指,2.04,3.3,4.8,1.048,1.039,1.082,,,,,,2026-05-03 16:10
2026-05-03 16:15（临场①）,西甲 La Liga,2026-05-03 22:15,Getafe,Rayo Vallecano,William Hill,欧指,1.91,3.1,4.33,0.982,0.976,0.976,,,,,,2026-05-03 16:09
2026-05-03 16:15（临场①）,西甲 La Liga,2026-05-03 22:15,Getafe,Rayo Vallecano,Marathon Bet,欧指,1.98,3.24,4.6,1.018,1.02,1.037,,,,,,2026-05-03 16:09
2026-05-03 19:15（临场②）,西甲 La Liga,2026-05-03 22:15,Getafe,Rayo Vallecano,Pinnacle,欧指,1.98,3.23,4.68,1.021,1.015,1.047,,,,,,2026-05-03 19:10
