快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-30 15:00（初盘①）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,Pinnacle,欧指,2.13,3.23,3.7,1.039,1.051,1.068,,,,,,2026-04-30 14:55
2026-04-30 15:00（初盘①）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,Pinnacle,亚盘,,,,,,,-0.25,1.83,2.04,1.0,1.0,2026-04-30 14:55
2026-04-30 15:00（初盘①）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,Ladbrokes,欧指,2.05,3.0,3.4,1.0,0.976,0.981,,,,,,2026-04-30 14:55
2026-04-30 15:00（初盘①）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,William Hill,欧指,2.1,3.0,3.5,1.024,0.976,1.01,,,,,,2026-04-30 14:54
2026-04-30 15:00（初盘①）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,Marathon Bet,欧指,2.09,3.18,3.58,1.02,1.035,1.033,,,,,,2026-04-30 14:55
2026-05-01 15:00（初盘②）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,Pinnacle,欧指,2.24,3.2,3.44,1.045,1.044,1.057,,,,,,2026-05-01 13:53
2026-05-01 15:00（初盘②）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,Pinnacle,亚盘,,,,,,,-0.25,1.92,1.93,1.0,1.0,2026-05-01 13:53
2026-05-01 15:00（初盘②）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,Ladbrokes,欧指,2.1,3.0,3.2,0.98,0.979,0.984,,,,,,2026-05-01 13:53
2026-05-01 15:00（初盘②）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,William Hill,欧指,2.2,3.0,3.3,1.026,0.979,1.014,,,,,,2026-05-01 13:52
2026-05-01 15:00（初盘②）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,Marathon Bet,欧指,2.2,3.14,3.34,1.026,1.024,1.027,,,,,,2026-05-01 13:52
2026-05-02 03:00（中盘①）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,Pinnacle,欧指,2.21,3.21,3.5,1.031,1.042,1.075,,,,,,2026-05-02 02:55
2026-05-02 03:00（中盘①）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,Pinnacle,亚盘,,,,,,,-0.25,1.89,1.96,1.0,1.0,2026-05-02 02:55
2026-05-02 03:00（中盘①）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,Ladbrokes,欧指,2.1,3.0,3.1,0.98,0.974,0.952,,,,,,2026-05-02 02:54
2026-05-02 03:00（中盘①）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,William Hill,欧指,2.2,3.0,3.3,1.027,0.974,1.013,,,,,,2026-05-02 02:55
2026-05-02 03:00（中盘①）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,Marathon Bet,欧指,2.17,3.15,3.4,1.013,1.023,1.044,,,,,,2026-05-02 02:53
2026-05-02 15:00（中盘②）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,Pinnacle,欧指,2.21,3.21,3.5,1.031,1.042,1.076,,,,,,2026-05-02 14:55
2026-05-02 15:00（中盘②）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,Pinnacle,亚盘,,,,,,,-0.25,1.9,1.97,1.0,1.0,2026-05-02 14:55
2026-05-02 15:00（中盘②）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,Ladbrokes,欧指,2.1,3.0,3.1,0.98,0.974,0.953,,,,,,2026-05-02 14:55
2026-05-02 15:00（中盘②）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,William Hill,欧指,2.2,3.0,3.3,1.027,0.974,1.014,,,,,,2026-05-02 14:54
2026-05-02 15:00（中盘②）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,Marathon Bet,欧指,2.17,3.15,3.4,1.013,1.023,1.045,,,,,,2026-05-02 14:55
2026-05-03 03:00（中盘③）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,Pinnacle,欧指,2.32,3.21,3.37,1.024,1.041,1.093,,,,,,2026-05-03 02:54
2026-05-03 03:00（中盘③）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,Pinnacle,亚盘,,,,,,,-0.25,1.99,1.9,1.031,1.005,2026-05-03 02:54
2026-05-03 03:00（中盘③）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,Ladbrokes,欧指,2.2,3.1,3.0,0.971,1.006,0.973,,,,,,2026-05-03 02:54
2026-05-03 03:00（中盘③）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,William Hill,欧指,2.25,3.0,3.2,0.993,0.973,1.038,,,,,,2026-05-03 02:54
2026-05-03 03:00（中盘③）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,Marathon Bet,欧指,2.26,3.12,3.24,0.998,1.012,1.051,,,,,,2026-05-03 02:54
2026-05-03 09:00（临场①）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,Pinnacle,欧指,2.37,3.19,3.35,1.053,1.031,1.07,,,,,,2026-05-03 08:55
2026-05-03 09:00（临场①）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,Pinnacle,亚盘,,,,,,,-0.25,2.02,1.88,1.039,1.0,2026-05-03 08:55
2026-05-03 09:00（临场①）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,Ladbrokes,欧指,2.2,3.1,3.0,0.978,1.002,0.959,,,,,,2026-05-03 08:55
2026-05-03 09:00（临场①）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,William Hill,欧指,2.25,3.0,3.2,1.0,0.97,1.023,,,,,,2026-05-03 08:55
2026-05-03 09:00（临场①）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,Marathon Bet,欧指,2.28,3.12,3.2,1.013,1.009,1.023,,,,,,2026-05-03 08:55
2026-05-03 12:00（临场②）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,Pinnacle,欧指,2.28,3.19,3.54,1.041,1.044,1.092,,,,,,2026-05-03 11:55
2026-05-03 12:00（临场②）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,Pinnacle,亚盘,,,,,,,-0.25,1.95,1.95,1.024,1.018,2026-05-03 11:55
2026-05-03 12:00（临场②）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,Ladbrokes,欧指,2.15,2.9,3.1,0.981,0.949,0.956,,,,,,2026-05-03 11:55
2026-05-03 12:00（临场②）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,William Hill,欧指,2.2,2.9,3.3,1.004,0.949,1.018,,,,,,2026-05-03 11:55
2026-05-03 12:00（临场②）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,Marathon Bet,欧指,2.21,3.12,3.34,1.009,1.021,1.03,,,,,,2026-05-03 11:55
2026-05-03 13:30（临场③）,日职联 J League,2026-05-03 15:00,Kashima Antlers,FC Machida Zelvia,Pinnacle,欧指,2.33,3.09,3.57,1.064,1.015,1.085,,,,,,2026-05-03 13:25
