快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-04-30 22:30（初盘①）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,William Hill,欧指,2.3,3.6,2.75,0.997,0.963,0.979,,,,,,2026-04-30 22:25
2026-04-30 22:30（初盘①）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Betfair,欧指,2.38,3.95,3.0,1.031,1.057,1.068,,,,,,2026-04-30 22:25
2026-04-30 22:30（初盘①）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Pinnacle,欧指,2.35,3.8,2.89,1.018,1.017,1.029,,,,,,2026-04-30 22:25
2026-04-30 22:30（初盘①）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Pinnacle,亚盘,,,,,,,-0.25,2.07,1.85,0.931,1.029,2026-04-30 22:25
2026-04-30 22:30（初盘①）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Ladbrokes,欧指,2.3,3.75,2.7,0.997,1.003,0.962,,,,,,2026-04-30 22:25
2026-05-01 22:30（初盘②）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,William Hill,欧指,2.25,3.6,2.8,0.997,0.962,0.97,,,,,,2026-05-01 22:25
2026-05-01 22:30（初盘②）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Betfair,欧指,2.36,3.9,3.05,1.046,1.042,1.057,,,,,,2026-05-01 22:25
2026-05-01 22:30（初盘②）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Pinnacle,欧指,2.26,3.86,3.01,1.002,1.031,1.043,,,,,,2026-05-01 22:25
2026-05-01 22:30（初盘②）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Pinnacle,亚盘,,,,,,,-0.25,1.99,1.92,0.904,1.045,2026-05-01 22:25
2026-05-01 22:30（初盘②）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Ladbrokes,欧指,2.2,3.8,2.87,0.975,1.015,0.995,,,,,,2026-05-01 22:25
2026-05-02 10:30（中盘①）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,William Hill,欧指,2.25,3.6,2.8,1.008,0.954,0.962,,,,,,2026-05-02 10:25
2026-05-02 10:30（中盘①）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Betfair,欧指,2.32,3.9,3.05,1.039,1.034,1.048,,,,,,2026-05-02 10:25
2026-05-02 10:30（中盘①）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Pinnacle,欧指,2.26,3.87,3.01,1.012,1.026,1.034,,,,,,2026-05-02 10:25
2026-05-02 10:30（中盘①）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Pinnacle,亚盘,,,,,,,-0.25,1.99,1.92,0.91,1.042,2026-05-02 10:25
2026-05-02 10:30（中盘①）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Ladbrokes,欧指,2.2,3.8,2.87,0.985,1.007,0.986,,,,,,2026-05-02 10:25
2026-05-02 22:30（中盘②）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,William Hill,欧指,2.25,3.6,2.8,1.009,0.95,0.961,,,,,,2026-05-02 22:25
2026-05-02 22:30（中盘②）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Betfair,欧指,2.32,3.95,3.05,1.04,1.043,1.047,,,,,,2026-05-02 22:25
2026-05-02 22:30（中盘②）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Pinnacle,欧指,2.29,3.84,2.98,1.027,1.014,1.023,,,,,,2026-05-02 22:25
2026-05-02 22:30（中盘②）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Pinnacle,亚盘,,,,,,,-0.25,2.01,1.9,0.92,1.033,2026-05-02 22:25
2026-05-02 22:30（中盘②）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Ladbrokes,欧指,2.2,3.8,2.87,0.986,1.003,0.985,,,,,,2026-05-02 22:25
2026-05-03 10:30（中盘③）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,William Hill,欧指,2.25,3.6,2.8,1.003,0.953,0.963,,,,,,2026-05-03 10:24
2026-05-03 10:30（中盘③）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Betfair,欧指,2.34,3.95,3.05,1.043,1.046,1.049,,,,,,2026-05-03 10:24
2026-05-03 10:30（中盘③）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Pinnacle,欧指,2.29,3.91,2.94,1.021,1.035,1.011,,,,,,2026-05-03 10:25
2026-05-03 10:30（中盘③）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Pinnacle,亚盘,,,,,,,-0.25,2.02,1.89,0.928,1.019,2026-05-03 10:25
2026-05-03 10:30（中盘③）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Ladbrokes,欧指,2.2,3.8,2.87,0.981,1.006,0.987,,,,,,2026-05-03 10:25
2026-05-03 16:30（临场①）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,William Hill,欧指,2.25,3.6,2.8,0.987,0.955,0.977,,,,,,2026-05-03 16:24
2026-05-03 16:30（临场①）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Betfair,欧指,2.36,3.95,3.0,1.035,1.047,1.047,,,,,,2026-05-03 16:24
2026-05-03 16:30（临场①）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Pinnacle,欧指,2.32,3.84,2.97,1.017,1.018,1.036,,,,,,2026-05-03 16:25
2026-05-03 16:30（临场①）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Pinnacle,亚盘,,,,,,,-0.25,2.04,1.88,0.925,1.024,2026-05-03 16:25
2026-05-03 16:30（临场①）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Ladbrokes,欧指,2.2,3.8,2.8,0.965,1.008,0.977,,,,,,2026-05-03 16:25
2026-05-03 19:30（临场②）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,William Hill,欧指,2.25,3.6,2.8,0.976,0.97,0.981,,,,,,2026-05-03 19:24
2026-05-03 19:30（临场②）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Betfair,欧指,2.42,3.9,2.98,1.049,1.05,1.044,,,,,,2026-05-03 19:25
2026-05-03 19:30（临场②）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Pinnacle,欧指,2.34,3.79,2.97,1.015,1.021,1.04,,,,,,2026-05-03 19:25
2026-05-03 19:30（临场②）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Pinnacle,亚盘,,,,,,,-0.25,2.05,1.88,0.915,1.034,2026-05-03 19:25
2026-05-03 19:30（临场②）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Ladbrokes,欧指,2.25,3.75,2.8,0.976,1.01,0.981,,,,,,2026-05-03 19:25
2026-05-03 21:00（临场③）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,William Hill,欧指,2.3,3.5,2.75,0.963,0.947,0.995,,,,,,2026-05-03 20:54
2026-05-03 21:00（临场③）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Betfair,欧指,2.5,3.9,2.84,1.047,1.056,1.028,,,,,,2026-05-03 20:55
2026-05-03 21:00（临场③）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Pinnacle,欧指,2.43,3.87,2.8,1.018,1.048,1.014,,,,,,2026-05-03 20:55
2026-05-03 21:00（临场③）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Pinnacle,亚盘,,,,,,,0.0,1.83,2.11,0.82,1.14,2026-05-03 20:55
2026-05-03 21:00（临场③）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Ladbrokes,欧指,2.3,3.7,2.75,0.963,1.002,0.995,,,,,,2026-05-03 20:55
2026-05-03 22:00（临场④）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,William Hill,欧指,2.3,3.5,2.75,0.969,0.938,0.989,,,,,,2026-05-03 21:54
2026-05-03 22:00（临场④）,英超 EPL,2026-05-03 22:30,Manchester United,Liverpool,Betfair,欧指,2.52,3.8,2.9,1.062,1.018,1.043,,,,,,2026-05-03 21:55
