快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-01 21:00（初盘②）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,Pinnacle,欧指,4.6,4.15,1.73,1.014,1.043,1.019,,,,,,2026-05-01 20:55
2026-05-01 21:00（初盘②）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,Pinnacle,亚盘,,,,,,,0.75,1.93,1.96,1.038,0.915,2026-05-01 20:55
2026-05-01 21:00（初盘②）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,Codere (IT),欧指,4.5,4.0,1.72,0.992,1.006,1.013,,,,,,2026-05-01 20:55
2026-05-01 21:00（初盘②）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,William Hill,欧指,4.2,3.9,1.7,0.925,0.981,1.001,,,,,,2026-05-01 20:54
2026-05-01 21:00（初盘②）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,Betfair,欧指,5.0,4.2,1.75,1.102,1.056,1.031,,,,,,2026-05-01 20:55
2026-05-03 09:00（中盘③）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,Pinnacle,欧指,4.67,4.2,1.71,1.015,1.059,1.006,,,,,,2026-05-03 08:55
2026-05-03 09:00（中盘③）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,Pinnacle,亚盘,,,,,,,0.75,1.97,1.93,1.05,0.92,2026-05-03 08:55
2026-05-03 09:00（中盘③）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,Codere (IT),欧指,4.5,4.0,1.72,0.978,1.009,1.012,,,,,,2026-05-03 08:54
2026-05-03 09:00（中盘③）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,William Hill,欧指,4.2,3.9,1.7,0.913,0.984,1.0,,,,,,2026-05-03 08:55
2026-05-03 09:00（中盘③）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,Betfair,欧指,5.1,4.2,1.75,1.108,1.059,1.03,,,,,,2026-05-03 08:55
2026-05-03 15:00（临场①）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,Pinnacle,欧指,4.76,3.96,1.74,1.026,1.01,1.018,,,,,,2026-05-03 14:55
2026-05-03 15:00（临场①）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,Pinnacle,亚盘,,,,,,,0.75,1.94,1.96,1.04,0.93,2026-05-03 14:55
2026-05-03 15:00（临场①）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,Codere (IT),欧指,4.5,4.0,1.73,0.97,1.021,1.012,,,,,,2026-05-03 14:55
2026-05-03 15:00（临场①）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,William Hill,欧指,4.33,3.8,1.7,0.933,0.97,0.995,,,,,,2026-05-03 14:54
2026-05-03 15:00（临场①）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,Betfair,欧指,5.0,4.1,1.76,1.078,1.046,1.03,,,,,,2026-05-03 14:54
2026-05-03 18:00（临场②）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,Pinnacle,欧指,4.81,3.98,1.74,1.037,1.02,1.017,,,,,,2026-05-03 17:55
2026-05-03 18:00（临场②）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,Pinnacle,亚盘,,,,,,,0.75,1.96,1.96,1.054,0.93,2026-05-03 17:55
2026-05-03 18:00（临场②）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,Codere (IT),欧指,4.6,3.95,1.73,0.991,1.012,1.011,,,,,,2026-05-03 17:55
2026-05-03 18:00（临场②）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,William Hill,欧指,4.4,3.75,1.7,0.948,0.961,0.993,,,,,,2026-05-03 17:55
2026-05-03 18:00（临场②）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,Betfair,欧指,5.0,4.1,1.77,1.078,1.05,1.034,,,,,,2026-05-03 17:55
2026-05-03 19:30（临场③）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,Pinnacle,欧指,4.82,3.99,1.74,1.036,1.017,1.017,,,,,,2026-05-03 19:25
2026-05-03 19:30（临场③）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,Pinnacle,亚盘,,,,,,,0.75,1.96,1.96,1.053,0.928,2026-05-03 19:25
2026-05-03 19:30（临场③）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,Codere (IT),欧指,4.6,3.95,1.72,0.989,1.007,1.005,,,,,,2026-05-03 19:25
2026-05-03 19:30（临场③）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,William Hill,欧指,4.4,3.75,1.7,0.946,0.956,0.993,,,,,,2026-05-03 19:25
2026-05-03 19:30（临场③）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,Betfair,欧指,5.0,4.1,1.77,1.075,1.045,1.034,,,,,,2026-05-03 19:25
2026-05-03 20:30（临场④）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,Pinnacle,欧指,4.95,4.15,1.71,1.044,1.047,1.011,,,,,,2026-05-03 20:25
2026-05-03 20:30（临场④）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,Pinnacle,亚盘,,,,,,,0.75,2.0,1.93,1.044,0.936,2026-05-03 20:25
2026-05-03 20:30（临场④）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,Codere (IT),欧指,4.6,4.0,1.71,0.97,1.009,1.011,,,,,,2026-05-03 20:24
2026-05-03 20:30（临场④）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,William Hill,欧指,4.4,3.75,1.7,0.928,0.946,1.005,,,,,,2026-05-03 20:25
2026-05-03 20:30（临场④）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,Betfair,欧指,5.2,4.2,1.74,1.097,1.059,1.029,,,,,,2026-05-03 20:25
2026-05-03 20:43（即时）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,Pinnacle,欧指,4.9,4.1,1.73,1.046,1.042,1.021,,,,,,2026-05-03 20:43
2026-05-03 20:43（即时）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,Pinnacle,亚盘,,,,,,,0.75,1.98,1.94,1.038,0.932,2026-05-03 20:43
2026-05-03 20:43（即时）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,Codere (IT),欧指,4.7,4.0,1.71,1.003,1.016,1.009,,,,,,2026-05-03 20:43
2026-05-03 20:43（即时）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,William Hill,欧指,4.4,3.75,1.7,0.939,0.953,1.003,,,,,,2026-05-03 20:42
2026-05-03 20:43（即时）,意甲 Serie A,2026-05-03 21:00,Sassuolo,AC Milan,Betfair,欧指,5.2,4.1,1.76,1.11,1.042,1.039,,,,,,2026-05-03 20:43
