快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-01 23:15（初盘②）,法甲 Ligue 1,2026-05-03 23:15,Strasbourg,Toulouse,Pinnacle,欧指,2.84,3.55,2.41,1.02,1.022,1.002,,,,,,2026-05-01 23:10
2026-05-01 23:15（初盘②）,法甲 Ligue 1,2026-05-03 23:15,Strasbourg,Toulouse,Pinnacle,亚盘,,,,,,,0.25,1.78,2.1,0.993,0.89,2026-05-01 23:10
2026-05-01 23:15（初盘②）,法甲 Ligue 1,2026-05-03 23:15,Strasbourg,Toulouse,Winamax (FR),欧指,2.65,3.6,2.35,0.952,1.037,0.977,,,,,,2026-05-01 23:09
2026-05-01 23:15（初盘②）,法甲 Ligue 1,2026-05-03 23:15,Strasbourg,Toulouse,William Hill,欧指,2.75,3.4,2.4,0.988,0.979,0.998,,,,,,2026-05-01 23:09
2026-05-01 23:15（初盘②）,法甲 Ligue 1,2026-05-03 23:15,Strasbourg,Toulouse,Betfair,欧指,2.96,3.65,2.5,1.063,1.051,1.039,,,,,,2026-05-01 23:10
2026-05-03 11:15（中盘③）,法甲 Ligue 1,2026-05-03 23:15,Strasbourg,Toulouse,Pinnacle,欧指,2.84,3.59,2.45,1.005,1.035,1.023,,,,,,2026-05-03 11:10
2026-05-03 11:15（中盘③）,法甲 Ligue 1,2026-05-03 23:15,Strasbourg,Toulouse,Pinnacle,亚盘,,,,,,,0.0,2.1,1.81,1.145,0.781,2026-05-03 11:10
2026-05-03 11:15（中盘③）,法甲 Ligue 1,2026-05-03 23:15,Strasbourg,Toulouse,Winamax (FR),欧指,2.7,3.55,2.35,0.956,1.023,0.982,,,,,,2026-05-03 11:09
2026-05-03 11:15（中盘③）,法甲 Ligue 1,2026-05-03 23:15,Strasbourg,Toulouse,William Hill,欧指,2.75,3.4,2.4,0.973,0.98,1.003,,,,,,2026-05-03 11:09
2026-05-03 11:15（中盘③）,法甲 Ligue 1,2026-05-03 23:15,Strasbourg,Toulouse,Betfair,欧指,3.05,3.65,2.48,1.079,1.052,1.036,,,,,,2026-05-03 11:10
2026-05-03 17:15（临场①）,法甲 Ligue 1,2026-05-03 23:15,Strasbourg,Toulouse,Pinnacle,欧指,2.94,3.6,2.44,1.035,1.039,1.019,,,,,,2026-05-03 17:10
