快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-01 16:00（初盘②）,日职联 J League,2026-05-03 16:00,V-Varen Nagasaki,Nagoya Grampus,Pinnacle,欧指,3.48,3.57,2.07,1.063,1.063,1.028,,,,,,2026-05-01 15:55
2026-05-01 16:00（初盘②）,日职联 J League,2026-05-03 16:00,V-Varen Nagasaki,Nagoya Grampus,Pinnacle,亚盘,,,,,,,0.25,2.07,1.8,1.0,1.0,2026-05-01 15:55
2026-05-01 16:00（初盘②）,日职联 J League,2026-05-03 16:00,V-Varen Nagasaki,Nagoya Grampus,Marathon Bet,欧指,3.44,3.46,2.03,1.05,1.031,1.008,,,,,,2026-05-01 15:53
2026-05-01 16:00（初盘②）,日职联 J League,2026-05-03 16:00,V-Varen Nagasaki,Nagoya Grampus,Unibet (FR),欧指,3.25,3.3,1.94,0.992,0.983,0.964,,,,,,2026-05-01 15:55
2026-05-01 16:00（初盘②）,日职联 J League,2026-05-03 16:00,V-Varen Nagasaki,Nagoya Grampus,William Hill,欧指,3.3,3.3,2.05,1.008,0.983,1.018,,,,,,2026-05-01 15:55
2026-05-03 04:00（中盘③）,日职联 J League,2026-05-03 16:00,V-Varen Nagasaki,Nagoya Grampus,Pinnacle,欧指,3.46,3.54,2.14,1.068,1.06,1.036,,,,,,2026-05-03 03:55
2026-05-03 04:00（中盘③）,日职联 J League,2026-05-03 16:00,V-Varen Nagasaki,Nagoya Grampus,Pinnacle,亚盘,,,,,,,0.25,2.04,1.85,1.041,1.0,2026-05-03 03:55
2026-05-03 04:00（中盘③）,日职联 J League,2026-05-03 16:00,V-Varen Nagasaki,Nagoya Grampus,Marathon Bet,欧指,3.38,3.38,2.08,1.043,1.012,1.007,,,,,,2026-05-03 03:55
2026-05-03 04:00（中盘③）,日职联 J League,2026-05-03 16:00,V-Varen Nagasaki,Nagoya Grampus,Unibet (FR),欧指,3.25,3.3,2.0,1.003,0.988,0.968,,,,,,2026-05-03 03:54
2026-05-03 04:00（中盘③）,日职联 J League,2026-05-03 16:00,V-Varen Nagasaki,Nagoya Grampus,William Hill,欧指,3.3,3.2,2.1,1.018,0.958,1.016,,,,,,2026-05-03 03:54
2026-05-03 10:00（临场①）,日职联 J League,2026-05-03 16:00,V-Varen Nagasaki,Nagoya Grampus,Pinnacle,欧指,3.51,3.49,2.16,1.075,1.049,1.042,,,,,,2026-05-03 09:55
2026-05-03 10:00（临场①）,日职联 J League,2026-05-03 16:00,V-Varen Nagasaki,Nagoya Grampus,Pinnacle,亚盘,,,,,,,0.25,2.04,1.88,1.03,1.013,2026-05-03 09:55
2026-05-03 10:00（临场①）,日职联 J League,2026-05-03 16:00,V-Varen Nagasaki,Nagoya Grampus,Marathon Bet,欧指,3.35,3.36,2.1,1.026,1.01,1.013,,,,,,2026-05-03 09:55
2026-05-03 10:00（临场①）,日职联 J League,2026-05-03 16:00,V-Varen Nagasaki,Nagoya Grampus,Unibet (FR),欧指,3.25,3.35,2.05,0.995,1.007,0.989,,,,,,2026-05-03 09:54
2026-05-03 10:00（临场①）,日职联 J League,2026-05-03 16:00,V-Varen Nagasaki,Nagoya Grampus,William Hill,欧指,3.3,3.2,2.1,1.01,0.962,1.013,,,,,,2026-05-03 09:54
2026-05-03 13:00（临场②）,日职联 J League,2026-05-03 16:00,V-Varen Nagasaki,Nagoya Grampus,Pinnacle,欧指,3.47,3.52,2.17,1.069,1.053,1.047,,,,,,2026-05-03 12:55
2026-05-03 13:00（临场②）,日职联 J League,2026-05-03 16:00,V-Varen Nagasaki,Nagoya Grampus,Pinnacle,亚盘,,,,,,,0.25,2.03,1.88,1.033,1.011,2026-05-03 12:55
2026-05-03 13:00（临场②）,日职联 J League,2026-05-03 16:00,V-Varen Nagasaki,Nagoya Grampus,Marathon Bet,欧指,3.34,3.34,2.11,1.029,0.999,1.018,,,,,,2026-05-03 12:54
2026-05-03 13:00（临场②）,日职联 J League,2026-05-03 16:00,V-Varen Nagasaki,Nagoya Grampus,Unibet (FR),欧指,3.25,3.35,2.05,1.001,1.002,0.989,,,,,,2026-05-03 12:54
2026-05-03 13:00（临场②）,日职联 J League,2026-05-03 16:00,V-Varen Nagasaki,Nagoya Grampus,William Hill,欧指,3.25,3.25,2.1,1.001,0.972,1.013,,,,,,2026-05-03 12:54
2026-05-03 14:30（临场③）,日职联 J League,2026-05-03 16:00,V-Varen Nagasaki,Nagoya Grampus,Pinnacle,欧指,2.6,3.38,2.84,1.056,1.047,1.058,,,,,,2026-05-03 14:25
2026-05-03 14:30（临场③）,日职联 J League,2026-05-03 16:00,V-Varen Nagasaki,Nagoya Grampus,Pinnacle,亚盘,,,,,,,0.0,1.87,2.05,1.011,1.035,2026-05-03 14:25
2026-05-03 14:30（临场③）,日职联 J League,2026-05-03 16:00,V-Varen Nagasaki,Nagoya Grampus,Marathon Bet,欧指,2.54,3.2,2.73,1.032,0.991,1.017,,,,,,2026-05-03 14:24
2026-05-03 14:30（临场③）,日职联 J League,2026-05-03 16:00,V-Varen Nagasaki,Nagoya Grampus,Unibet (FR),欧指,2.4,3.25,2.7,0.975,1.006,1.006,,,,,,2026-05-03 14:25
2026-05-03 14:30（临场③）,日职联 J League,2026-05-03 16:00,V-Varen Nagasaki,Nagoya Grampus,William Hill,欧指,2.45,3.1,2.75,0.995,0.96,1.025,,,,,,2026-05-03 14:25
2026-05-03 15:30（临场④）,日职联 J League,2026-05-03 16:00,V-Varen Nagasaki,Nagoya Grampus,Pinnacle,欧指,2.55,3.44,2.85,1.042,1.061,1.057,,,,,,2026-05-03 15:25
2026-05-03 15:30（临场④）,日职联 J League,2026-05-03 16:00,V-Varen Nagasaki,Nagoya Grampus,Pinnacle,亚盘,,,,,,,0.0,1.85,2.07,1.011,1.032,2026-05-03 15:25
