快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-01 22:00（初盘①）,英超 EPL,2026-05-04 22:00,Chelsea,Nottingham Forest,William Hill,欧指,1.67,3.9,4.6,1.002,0.964,0.965,,,,,,2026-05-01 21:55
2026-05-01 22:00（初盘①）,英超 EPL,2026-05-04 22:00,Chelsea,Nottingham Forest,Marathon Bet,欧指,1.69,4.15,5.05,1.014,1.026,1.059,,,,,,2026-05-01 21:55
2026-05-01 22:00（初盘①）,英超 EPL,2026-05-04 22:00,Chelsea,Nottingham Forest,Betfair,欧指,1.73,4.2,5.3,1.038,1.038,1.111,,,,,,2026-05-01 21:55
2026-05-01 22:00（初盘①）,英超 EPL,2026-05-04 22:00,Chelsea,Nottingham Forest,Pinnacle,欧指,1.67,4.22,4.96,1.002,1.043,1.04,,,,,,2026-05-01 21:55
2026-05-01 22:00（初盘①）,英超 EPL,2026-05-04 22:00,Chelsea,Nottingham Forest,Pinnacle,亚盘,,,,,,,-0.75,1.87,2.05,0.939,1.047,2026-05-01 21:55
2026-05-02 22:00（初盘②）,英超 EPL,2026-05-04 22:00,Chelsea,Nottingham Forest,William Hill,欧指,1.67,3.9,4.6,1.0,0.964,0.965,,,,,,2026-05-02 21:55
2026-05-02 22:00（初盘②）,英超 EPL,2026-05-04 22:00,Chelsea,Nottingham Forest,Marathon Bet,欧指,1.69,4.15,5.05,1.012,1.025,1.059,,,,,,2026-05-02 21:55
2026-05-02 22:00（初盘②）,英超 EPL,2026-05-04 22:00,Chelsea,Nottingham Forest,Betfair,欧指,1.72,4.2,5.2,1.03,1.038,1.091,,,,,,2026-05-02 21:55
2026-05-02 22:00（初盘②）,英超 EPL,2026-05-04 22:00,Chelsea,Nottingham Forest,Pinnacle,欧指,1.67,4.22,4.96,1.0,1.043,1.04,,,,,,2026-05-02 21:55
2026-05-02 22:00（初盘②）,英超 EPL,2026-05-04 22:00,Chelsea,Nottingham Forest,Pinnacle,亚盘,,,,,,,-0.75,1.86,2.05,0.945,1.029,2026-05-02 21:55
2026-05-03 10:00（中盘①）,英超 EPL,2026-05-04 22:00,Chelsea,Nottingham Forest,William Hill,欧指,1.67,3.9,4.6,1.004,0.959,0.957,,,,,,2026-05-03 09:54
2026-05-03 10:00（中盘①）,英超 EPL,2026-05-04 22:00,Chelsea,Nottingham Forest,Marathon Bet,欧指,1.68,4.2,5.05,1.01,1.033,1.051,,,,,,2026-05-03 09:55
2026-05-03 10:00（中盘①）,英超 EPL,2026-05-04 22:00,Chelsea,Nottingham Forest,Betfair,欧指,1.71,4.2,5.4,1.028,1.033,1.123,,,,,,2026-05-03 09:55
2026-05-03 10:00（中盘①）,英超 EPL,2026-05-04 22:00,Chelsea,Nottingham Forest,Pinnacle,欧指,1.67,4.24,4.99,1.004,1.043,1.038,,,,,,2026-05-03 09:55
2026-05-03 10:00（中盘①）,英超 EPL,2026-05-04 22:00,Chelsea,Nottingham Forest,Pinnacle,亚盘,,,,,,,-0.75,1.85,2.06,0.942,1.03,2026-05-03 09:55
2026-05-03 22:00（中盘②）,英超 EPL,2026-05-04 22:00,Chelsea,Nottingham Forest,William Hill,欧指,1.67,3.9,4.6,1.008,0.948,0.944,,,,,,2026-05-03 21:54
2026-05-03 22:00（中盘②）,英超 EPL,2026-05-04 22:00,Chelsea,Nottingham Forest,Marathon Bet,欧指,1.68,4.2,5.05,1.014,1.021,1.036,,,,,,2026-05-03 21:54
2026-05-03 22:00（中盘②）,英超 EPL,2026-05-04 22:00,Chelsea,Nottingham Forest,Betfair,欧指,1.71,4.3,5.3,1.032,1.045,1.088,,,,,,2026-05-03 21:55
2026-05-03 22:00（中盘②）,英超 EPL,2026-05-04 22:00,Chelsea,Nottingham Forest,Pinnacle,欧指,1.66,4.26,5.01,1.002,1.036,1.028,,,,,,2026-05-03 21:55
2026-05-03 22:00（中盘②）,英超 EPL,2026-05-04 22:00,Chelsea,Nottingham Forest,Pinnacle,亚盘,,,,,,,-0.75,1.85,2.07,0.945,1.03,2026-05-03 21:55
2026-05-04 10:00（中盘③）,英超 EPL,2026-05-04 22:00,Chelsea,Nottingham Forest,William Hill,欧指,1.67,3.9,4.6,0.996,0.974,0.953,,,,,,2026-05-04 09:54
2026-05-04 10:00（中盘③）,英超 EPL,2026-05-04 22:00,Chelsea,Nottingham Forest,Marathon Bet,欧指,1.71,4.1,4.95,1.02,1.024,1.025,,,,,,2026-05-04 09:54
2026-05-04 10:00（中盘③）,英超 EPL,2026-05-04 22:00,Chelsea,Nottingham Forest,Betfair,欧指,1.74,4.1,5.2,1.038,1.024,1.077,,,,,,2026-05-04 09:55
2026-05-04 10:00（中盘③）,英超 EPL,2026-05-04 22:00,Chelsea,Nottingham Forest,Pinnacle,欧指,1.7,4.04,4.97,1.014,1.009,1.03,,,,,,2026-05-04 09:55
2026-05-04 10:00（中盘③）,英超 EPL,2026-05-04 22:00,Chelsea,Nottingham Forest,Pinnacle,亚盘,,,,,,,-0.75,1.9,2.01,0.945,1.018,2026-05-04 09:55
2026-05-04 16:00（临场①）,英超 EPL,2026-05-04 22:00,Chelsea,Nottingham Forest,William Hill,欧指,1.7,3.8,4.6,1.0,0.961,0.967,,,,,,2026-05-04 15:55
2026-05-04 16:00（临场①）,英超 EPL,2026-05-04 22:00,Chelsea,Nottingham Forest,Marathon Bet,欧指,1.74,4.0,4.85,1.023,1.012,1.019,,,,,,2026-05-04 15:54
2026-05-04 16:00（临场①）,英超 EPL,2026-05-04 22:00,Chelsea,Nottingham Forest,Betfair,欧指,1.76,4.1,5.1,1.035,1.037,1.072,,,,,,2026-05-04 15:55
