快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-03 03:00（初盘①）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Marathon Bet,欧指,1.67,3.98,5.5,1.012,1.038,1.053,,,,,,2026-05-03 02:54
2026-05-03 03:00（初盘①）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,William Hill,欧指,1.65,3.75,5.0,1.0,0.978,0.957,,,,,,2026-05-03 02:54
2026-05-03 03:00（初盘①）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Pinnacle,欧指,1.66,3.95,5.5,1.006,1.03,1.053,,,,,,2026-05-03 02:54
2026-05-03 03:00（初盘①）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Pinnacle,亚盘,,,,,,,-0.75,1.84,2.08,0.895,1.082,2026-05-03 02:54
2026-05-03 03:00（初盘①）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Betfair,欧指,1.7,4.1,5.7,1.03,1.069,1.091,,,,,,2026-05-03 02:55
2026-05-04 03:00（初盘②）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Marathon Bet,欧指,1.67,4.0,5.5,1.019,1.025,1.045,,,,,,2026-05-04 02:54
2026-05-04 03:00（初盘②）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,William Hill,欧指,1.65,3.75,5.0,1.007,0.961,0.95,,,,,,2026-05-04 02:55
2026-05-04 03:00（初盘②）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Pinnacle,欧指,1.66,3.97,5.5,1.013,1.017,1.045,,,,,,2026-05-04 02:55
2026-05-04 03:00（初盘②）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Pinnacle,亚盘,,,,,,,-0.75,1.84,2.08,0.901,1.078,2026-05-04 02:55
2026-05-04 03:00（初盘②）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Betfair,欧指,1.71,4.2,5.5,1.044,1.076,1.045,,,,,,2026-05-04 02:55
2026-05-04 15:00（中盘①）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Marathon Bet,欧指,1.67,3.98,5.55,1.019,1.016,1.048,,,,,,2026-05-04 14:55
2026-05-04 15:00（中盘①）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,William Hill,欧指,1.65,3.75,5.0,1.007,0.958,0.944,,,,,,2026-05-04 14:55
2026-05-04 15:00（中盘①）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Pinnacle,欧指,1.66,3.97,5.5,1.013,1.014,1.038,,,,,,2026-05-04 14:55
2026-05-04 15:00（中盘①）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Pinnacle,亚盘,,,,,,,-0.75,1.84,2.08,0.906,1.073,2026-05-04 14:55
2026-05-04 15:00（中盘①）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Betfair,欧指,1.7,4.2,5.6,1.038,1.073,1.057,,,,,,2026-05-04 14:55
2026-05-05 03:00（中盘②）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Marathon Bet,欧指,1.64,4.1,5.9,1.027,1.024,1.055,,,,,,2026-05-05 02:54
2026-05-05 03:00（中盘②）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,William Hill,欧指,1.62,3.8,5.0,1.014,0.949,0.894,,,,,,2026-05-05 02:54
2026-05-05 03:00（中盘②）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Pinnacle,欧指,1.62,4.1,5.67,1.014,1.024,1.014,,,,,,2026-05-05 02:55
2026-05-05 03:00（中盘②）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Pinnacle,亚盘,,,,,,,-1.0,2.05,1.86,1.023,0.948,2026-05-05 02:55
2026-05-05 03:00（中盘②）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Betfair,欧指,1.64,4.4,5.9,1.027,1.099,1.055,,,,,,2026-05-05 02:55
2026-05-05 15:00（中盘③）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Marathon Bet,欧指,1.61,4.25,6.0,1.025,1.028,1.04,,,,,,2026-05-05 14:54
2026-05-05 15:00（中盘③）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,William Hill,欧指,1.57,4.0,5.5,1.0,0.967,0.954,,,,,,2026-05-05 14:55
2026-05-05 15:00（中盘③）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Pinnacle,欧指,1.58,4.26,5.94,1.006,1.03,1.03,,,,,,2026-05-05 14:55
2026-05-05 15:00（中盘③）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Pinnacle,亚盘,,,,,,,-1.0,2.0,1.91,1.017,0.958,2026-05-05 14:55
2026-05-05 15:00（中盘③）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Betfair,欧指,1.62,4.4,6.0,1.032,1.064,1.04,,,,,,2026-05-05 14:55
2026-05-05 21:00（临场①）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Marathon Bet,欧指,1.61,4.3,5.85,1.019,1.039,1.024,,,,,,2026-05-05 20:54
2026-05-05 21:00（临场①）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,William Hill,欧指,1.57,4.0,5.5,0.993,0.966,0.962,,,,,,2026-05-05 20:54
2026-05-05 21:00（临场①）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Pinnacle,欧指,1.58,4.29,5.87,1.0,1.036,1.027,,,,,,2026-05-05 20:55
2026-05-05 21:00（临场①）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Pinnacle,亚盘,,,,,,,-1.0,2.02,1.91,1.026,0.951,2026-05-05 20:55
2026-05-05 21:00（临场①）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Betfair,欧指,1.62,4.4,6.0,1.025,1.063,1.05,,,,,,2026-05-05 20:55
2026-05-06 00:00（临场②）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Marathon Bet,欧指,1.62,4.45,5.5,1.022,1.05,1.01,,,,,,2026-05-05 23:55
2026-05-06 00:00（临场②）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,William Hill,欧指,1.6,4.0,5.0,1.01,0.944,0.918,,,,,,2026-05-05 23:55
2026-05-06 00:00（临场②）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Pinnacle,欧指,1.6,4.44,5.49,1.01,1.048,1.008,,,,,,2026-05-05 23:55
2026-05-06 00:00（临场②）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Pinnacle,亚盘,,,,,,,-1.0,2.04,1.89,1.031,0.947,2026-05-05 23:55
2026-05-06 00:00（临场②）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Betfair,欧指,1.64,4.5,5.7,1.035,1.062,1.046,,,,,,2026-05-05 23:55
2026-05-06 01:30（临场③）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Marathon Bet,欧指,1.63,4.4,5.5,1.02,1.043,1.032,,,,,,2026-05-06 01:24
2026-05-06 01:30（临场③）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,William Hill,欧指,1.6,4.0,5.0,1.002,0.948,0.938,,,,,,2026-05-06 01:24
2026-05-06 01:30（临场③）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Pinnacle,欧指,1.6,4.39,5.52,1.002,1.04,1.035,,,,,,2026-05-06 01:25
2026-05-06 01:30（临场③）,欧冠 Champions League,2026-05-06 03:00,Arsenal,Atlético Madrid,Pinnacle,亚盘,,,,,,,-1.0,2.03,1.89,1.022,0.951,2026-05-06 01:25
