快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-03 20:00（初盘①）,中超 CSL,2026-05-06 20:00,Yunnan Yukun,Zhejiang,Pinnacle,欧指,2.15,3.73,3.1,1.035,1.046,1.048,,,,,,2026-05-03 19:55
2026-05-03 20:00（初盘①）,中超 CSL,2026-05-06 20:00,Yunnan Yukun,Zhejiang,Pinnacle,亚盘,,,,,,,-0.25,1.89,1.94,0.882,1.026,2026-05-03 19:55
2026-05-03 20:00（初盘①）,中超 CSL,2026-05-06 20:00,Yunnan Yukun,Zhejiang,Marathon Bet,欧指,2.11,3.6,3.06,1.015,1.01,1.034,,,,,,2026-05-03 19:50
2026-05-03 20:00（初盘①）,中超 CSL,2026-05-06 20:00,Yunnan Yukun,Zhejiang,William Hill,欧指,2.15,3.4,2.9,1.035,0.954,0.98,,,,,,2026-05-03 19:54
2026-05-04 20:00（初盘②）,中超 CSL,2026-05-06 20:00,Yunnan Yukun,Zhejiang,Pinnacle,欧指,2.13,3.84,3.06,1.02,1.044,1.044,,,,,,2026-05-04 19:55
2026-05-04 20:00（初盘②）,中超 CSL,2026-05-06 20:00,Yunnan Yukun,Zhejiang,Pinnacle,亚盘,,,,,,,-0.25,1.88,1.95,0.894,1.029,2026-05-04 19:55
2026-05-04 20:00（初盘②）,中超 CSL,2026-05-06 20:00,Yunnan Yukun,Zhejiang,Marathon Bet,欧指,2.11,3.64,3.02,1.011,0.989,1.03,,,,,,2026-05-04 19:55
2026-05-04 20:00（初盘②）,中超 CSL,2026-05-06 20:00,Yunnan Yukun,Zhejiang,William Hill,欧指,2.1,3.5,3.0,1.006,0.951,1.023,,,,,,2026-05-04 19:54
2026-05-04 20:00（初盘②）,中超 CSL,2026-05-06 20:00,Yunnan Yukun,Zhejiang,Betfair,欧指,2.14,3.9,2.98,1.025,1.06,1.016,,,,,,2026-05-04 19:55
2026-05-05 08:00（中盘①）,中超 CSL,2026-05-06 20:00,Yunnan Yukun,Zhejiang,Pinnacle,欧指,2.13,3.84,3.06,1.021,1.045,1.042,,,,,,2026-05-05 07:55
2026-05-05 08:00（中盘①）,中超 CSL,2026-05-06 20:00,Yunnan Yukun,Zhejiang,Pinnacle,亚盘,,,,,,,-0.25,1.88,1.95,0.894,1.029,2026-05-05 07:55
2026-05-05 08:00（中盘①）,中超 CSL,2026-05-06 20:00,Yunnan Yukun,Zhejiang,Marathon Bet,欧指,2.11,3.64,3.02,1.011,0.991,1.028,,,,,,2026-05-05 07:55
2026-05-05 08:00（中盘①）,中超 CSL,2026-05-06 20:00,Yunnan Yukun,Zhejiang,William Hill,欧指,2.1,3.5,3.0,1.006,0.953,1.022,,,,,,2026-05-05 07:55
2026-05-05 08:00（中盘①）,中超 CSL,2026-05-06 20:00,Yunnan Yukun,Zhejiang,Betfair,欧指,2.16,3.9,3.0,1.035,1.061,1.022,,,,,,2026-05-05 07:55
2026-05-05 20:00（中盘②）,中超 CSL,2026-05-06 20:00,Yunnan Yukun,Zhejiang,Pinnacle,欧指,2.19,3.92,2.91,1.03,1.051,1.012,,,,,,2026-05-05 19:55
2026-05-05 20:00（中盘②）,中超 CSL,2026-05-06 20:00,Yunnan Yukun,Zhejiang,Pinnacle,亚盘,,,,,,,-0.25,1.94,1.91,0.895,1.051,2026-05-05 19:55
2026-05-05 20:00（中盘②）,中超 CSL,2026-05-06 20:00,Yunnan Yukun,Zhejiang,Marathon Bet,欧指,2.15,3.72,2.9,1.012,0.997,1.008,,,,,,2026-05-05 19:55
