快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-04 03:00（初盘①）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,Marathon Bet,欧指,1.68,5.2,4.1,1.003,1.036,1.072,,,,,,2026-05-04 02:54
2026-05-04 03:00（初盘①）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,William Hill,欧指,1.67,4.8,3.9,0.997,0.956,1.02,,,,,,2026-05-04 02:55
2026-05-04 03:00（初盘①）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,Betfair,欧指,1.75,5.5,3.9,1.045,1.095,1.02,,,,,,2026-05-04 02:55
2026-05-04 03:00（初盘①）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,Pinnacle,欧指,1.69,5.36,3.85,1.009,1.067,1.006,,,,,,2026-05-04 02:55
2026-05-04 03:00（初盘①）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,Pinnacle,亚盘,,,,,,,-0.75,1.87,2.05,0.988,0.953,2026-05-04 02:55
2026-05-05 03:00（初盘②）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,Marathon Bet,欧指,1.67,5.2,4.15,1.002,1.015,1.084,,,,,,2026-05-05 02:54
2026-05-05 03:00（初盘②）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,William Hill,欧指,1.67,4.8,3.9,1.002,0.937,1.018,,,,,,2026-05-05 02:54
2026-05-05 03:00（初盘②）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,Betfair,欧指,1.74,5.6,4.0,1.044,1.093,1.045,,,,,,2026-05-05 02:55
2026-05-05 03:00（初盘②）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,Pinnacle,欧指,1.69,5.29,3.87,1.014,1.033,1.011,,,,,,2026-05-05 02:55
2026-05-05 03:00（初盘②）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,Pinnacle,亚盘,,,,,,,-0.75,1.86,2.05,0.939,0.997,2026-05-05 02:55
2026-05-05 15:00（中盘①）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,Marathon Bet,欧指,1.68,5.2,4.1,1.007,1.014,1.069,,,,,,2026-05-05 14:54
2026-05-05 15:00（中盘①）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,William Hill,欧指,1.67,4.8,3.9,1.001,0.936,1.017,,,,,,2026-05-05 14:55
2026-05-05 15:00（中盘①）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,Betfair,欧指,1.73,5.6,4.0,1.037,1.092,1.043,,,,,,2026-05-05 14:55
2026-05-05 15:00（中盘①）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,Pinnacle,欧指,1.7,5.28,3.86,1.019,1.029,1.006,,,,,,2026-05-05 14:55
2026-05-05 15:00（中盘①）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,Pinnacle,亚盘,,,,,,,-0.75,1.87,2.04,0.941,0.99,2026-05-05 14:55
2026-05-06 03:00（中盘②）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,Marathon Bet,欧指,1.61,5.5,4.55,1.004,1.037,1.109,,,,,,2026-05-06 02:54
2026-05-06 03:00（中盘②）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,William Hill,欧指,1.6,5.0,4.2,0.998,0.942,1.024,,,,,,2026-05-06 02:54
2026-05-06 03:00（中盘②）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,Betfair,欧指,1.65,5.8,4.4,1.029,1.093,1.072,,,,,,2026-05-06 02:55
2026-05-06 03:00（中盘②）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,Pinnacle,欧指,1.61,5.66,4.15,1.004,1.067,1.011,,,,,,2026-05-06 02:55
2026-05-06 03:00（中盘②）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,Pinnacle,亚盘,,,,,,,-1.0,1.96,1.94,1.034,0.899,2026-05-06 02:55
2026-05-06 15:00（中盘③）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,Marathon Bet,欧指,1.61,5.5,4.55,1.015,1.041,1.066,,,,,,2026-05-06 14:55
2026-05-06 15:00（中盘③）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,William Hill,欧指,1.57,5.0,4.2,0.99,0.946,0.984,,,,,,2026-05-06 14:55
2026-05-06 15:00（中盘③）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,Betfair,欧指,1.64,5.6,4.6,1.034,1.06,1.077,,,,,,2026-05-06 14:55
2026-05-06 15:00（中盘③）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,Pinnacle,欧指,1.62,5.51,4.21,1.021,1.043,0.986,,,,,,2026-05-06 14:55
2026-05-06 15:00（中盘③）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,Pinnacle,亚盘,,,,,,,-1.0,1.94,1.96,1.042,0.886,2026-05-06 14:55
2026-05-06 21:00（临场①）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,Marathon Bet,欧指,1.61,5.55,4.5,1.011,1.045,1.066,,,,,,2026-05-06 20:54
2026-05-06 21:00（临场①）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,William Hill,欧指,1.57,5.0,4.2,0.986,0.941,0.995,,,,,,2026-05-06 20:55
2026-05-06 21:00（临场①）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,Betfair,欧指,1.65,5.7,4.5,1.036,1.073,1.066,,,,,,2026-05-06 20:55
2026-05-06 21:00（临场①）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,Pinnacle,欧指,1.61,5.49,4.3,1.011,1.033,1.018,,,,,,2026-05-06 20:55
2026-05-06 21:00（临场①）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,Pinnacle,亚盘,,,,,,,-1.0,1.93,1.99,0.98,0.948,2026-05-06 20:55
2026-05-06 23:45（即时）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,Marathon Bet,欧指,1.61,5.45,4.55,1.004,1.036,1.089,,,,,,2026-05-06 23:45
2026-05-06 23:45（即时）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,William Hill,欧指,1.6,5.0,4.2,0.998,0.951,1.005,,,,,,2026-05-06 23:45
2026-05-06 23:45（即时）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,Betfair,欧指,1.66,5.7,4.4,1.036,1.084,1.053,,,,,,2026-05-06 23:45
2026-05-06 23:45（即时）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,Pinnacle,欧指,1.62,5.35,4.32,1.011,1.017,1.034,,,,,,2026-05-06 23:45
2026-05-06 23:45（即时）,欧冠 Champions League,2026-05-07 03:00,Bayern Munich,Paris Saint Germain,Pinnacle,亚盘,,,,,,,-1.0,1.98,1.94,1.03,0.96,2026-05-06 23:45
