快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-06 19:30（初盘①）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Marathon Bet,欧指,1.9,4.05,3.88,1.032,1.016,1.019,,,,,,2026-05-06 19:24
2026-05-06 19:30（初盘①）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Pinnacle,欧指,1.87,4.03,3.97,1.015,1.011,1.043,,,,,,2026-05-06 19:25
2026-05-06 19:30（初盘①）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Pinnacle,亚盘,,,,,,,-0.5,1.88,2.03,0.996,0.977,2026-05-06 19:25
2026-05-06 19:30（初盘①）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,William Hill,欧指,1.85,3.8,3.7,1.005,0.954,0.972,,,,,,2026-05-06 19:25
2026-05-06 19:30（初盘①）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Betfair,欧指,1.9,4.2,4.1,1.032,1.054,1.077,,,,,,2026-05-06 19:25
2026-05-06 19:30（初盘①）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Ladbrokes,欧指,1.85,3.9,3.7,1.005,0.979,0.972,,,,,,2026-05-06 19:24
2026-05-07 19:30（初盘②）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Marathon Bet,欧指,1.9,4.05,3.88,1.031,1.011,1.017,,,,,,2026-05-07 19:24
2026-05-07 19:30（初盘②）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Pinnacle,欧指,1.86,4.06,3.97,1.01,1.013,1.041,,,,,,2026-05-07 19:25
2026-05-07 19:30（初盘②）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Pinnacle,亚盘,,,,,,,-0.5,1.87,2.04,0.992,0.979,2026-05-07 19:25
2026-05-07 19:30（初盘②）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,William Hill,欧指,1.85,3.8,3.7,1.004,0.948,0.97,,,,,,2026-05-07 19:25
2026-05-07 19:30（初盘②）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Betfair,欧指,1.93,4.1,4.1,1.048,1.023,1.075,,,,,,2026-05-07 19:25
2026-05-07 19:30（初盘②）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Ladbrokes,欧指,1.83,4.0,3.8,0.993,0.998,0.996,,,,,,2026-05-07 19:24
2026-05-08 07:30（中盘①）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Marathon Bet,欧指,1.9,4.05,3.88,1.038,1.006,1.008,,,,,,2026-05-08 07:24
2026-05-08 07:30（中盘①）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Pinnacle,欧指,1.86,4.05,3.97,1.016,1.006,1.031,,,,,,2026-05-08 07:25
2026-05-08 07:30（中盘①）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Pinnacle,亚盘,,,,,,,-0.5,1.87,2.04,0.994,0.978,2026-05-08 07:25
2026-05-08 07:30（中盘①）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,William Hill,欧指,1.85,3.8,3.7,1.01,0.944,0.961,,,,,,2026-05-08 07:24
2026-05-08 07:30（中盘①）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Betfair,欧指,1.89,4.2,4.2,1.032,1.044,1.091,,,,,,2026-05-08 07:25
2026-05-08 07:30（中盘①）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Ladbrokes,欧指,1.83,4.0,3.8,0.999,0.994,0.987,,,,,,2026-05-08 07:25
2026-05-08 19:30（中盘②）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Marathon Bet,欧指,1.93,4.1,3.84,1.046,1.022,1.006,,,,,,2026-05-08 19:24
2026-05-08 19:30（中盘②）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Pinnacle,欧指,1.89,3.99,3.91,1.025,0.995,1.025,,,,,,2026-05-08 19:25
2026-05-08 19:30（中盘②）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Pinnacle,亚盘,,,,,,,-0.5,1.9,2.01,1.005,0.974,2026-05-08 19:25
2026-05-08 19:30（中盘②）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,William Hill,欧指,1.85,3.8,3.75,1.003,0.948,0.983,,,,,,2026-05-08 19:24
2026-05-08 19:30（中盘②）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Betfair,欧指,1.9,4.2,4.1,1.03,1.047,1.075,,,,,,2026-05-08 19:25
2026-05-08 19:30（中盘②）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Ladbrokes,欧指,1.83,4.0,3.8,0.992,0.997,0.996,,,,,,2026-05-08 19:25
2026-05-09 07:30（中盘③）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Marathon Bet,欧指,1.89,4.05,4.05,1.028,1.01,1.046,,,,,,2026-05-09 07:25
2026-05-09 07:30（中盘③）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Pinnacle,欧指,1.86,4.03,3.99,1.011,1.005,1.031,,,,,,2026-05-09 07:25
2026-05-09 07:30（中盘③）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Pinnacle,亚盘,,,,,,,-0.5,1.88,2.04,1.002,0.972,2026-05-09 07:25
2026-05-09 07:30（中盘③）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,William Hill,欧指,1.85,3.8,3.8,1.006,0.947,0.982,,,,,,2026-05-09 07:24
2026-05-09 07:30（中盘③）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Betfair,欧指,1.92,4.2,4.1,1.044,1.047,1.059,,,,,,2026-05-09 07:25
2026-05-09 07:30（中盘③）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Ladbrokes,欧指,1.83,4.0,3.8,0.995,0.997,0.982,,,,,,2026-05-09 07:25
2026-05-09 13:30（临场①）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Marathon Bet,欧指,2.05,3.82,3.66,1.038,1.011,1.03,,,,,,2026-05-09 13:24
2026-05-09 13:30（临场①）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Pinnacle,欧指,2.02,3.72,3.68,1.023,0.985,1.036,,,,,,2026-05-09 13:24
2026-05-09 13:30（临场①）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Pinnacle,亚盘,,,,,,,-0.5,2.03,1.88,0.999,0.973,2026-05-09 13:24
2026-05-09 13:30（临场①）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,William Hill,欧指,2.0,3.6,3.4,1.012,0.953,0.957,,,,,,2026-05-09 13:24
2026-05-09 13:30（临场①）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Betfair,欧指,2.06,3.9,3.8,1.043,1.032,1.07,,,,,,2026-05-09 13:24
2026-05-09 13:30（临场①）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Ladbrokes,欧指,1.95,3.8,3.5,0.987,1.006,0.985,,,,,,2026-05-09 13:25
2026-05-09 16:30（临场②）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Marathon Bet,欧指,1.99,3.85,3.85,1.035,1.014,1.032,,,,,,2026-05-09 16:24
2026-05-09 16:30（临场②）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Pinnacle,欧指,1.97,3.79,3.87,1.024,0.998,1.037,,,,,,2026-05-09 16:25
2026-05-09 16:30（临场②）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Pinnacle,亚盘,,,,,,,-0.5,1.98,1.94,1.001,0.977,2026-05-09 16:25
2026-05-09 16:30（临场②）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,William Hill,欧指,1.95,3.6,3.5,1.014,0.948,0.938,,,,,,2026-05-09 16:23
2026-05-09 16:30（临场②）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Betfair,欧指,1.98,4.0,4.0,1.03,1.053,1.072,,,,,,2026-05-09 16:25
2026-05-09 16:30（临场②）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Ladbrokes,欧指,1.91,3.8,3.6,0.993,1.0,0.965,,,,,,2026-05-09 16:24
2026-05-09 18:00（临场③）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Marathon Bet,欧指,1.9,3.95,4.1,1.018,1.031,1.039,,,,,,2026-05-09 17:55
2026-05-09 18:00（临场③）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Pinnacle,欧指,1.92,3.86,4.02,1.028,1.007,1.019,,,,,,2026-05-09 17:55
2026-05-09 18:00（临场③）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Pinnacle,亚盘,,,,,,,-0.5,1.93,2.0,1.007,0.959,2026-05-09 17:55
2026-05-09 18:00（临场③）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,William Hill,欧指,1.85,3.6,3.8,0.991,0.939,0.963,,,,,,2026-05-09 17:55
2026-05-09 18:00（临场③）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Betfair,欧指,1.89,4.1,4.2,1.012,1.07,1.064,,,,,,2026-05-09 17:55
2026-05-09 18:00（临场③）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Ladbrokes,欧指,1.85,3.8,3.8,0.991,0.992,0.963,,,,,,2026-05-09 17:55
2026-05-09 19:00（临场④）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Marathon Bet,欧指,2.05,3.8,3.68,1.029,1.01,1.034,,,,,,2026-05-09 18:53
2026-05-09 19:00（临场④）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Pinnacle,欧指,2.03,3.84,3.7,1.019,1.021,1.04,,,,,,2026-05-09 18:55
2026-05-09 19:00（临场④）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Pinnacle,亚盘,,,,,,,-0.5,2.03,1.89,0.979,0.987,2026-05-09 18:55
2026-05-09 19:00（临场④）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,William Hill,欧指,2.05,3.75,3.2,1.029,0.997,0.899,,,,,,2026-05-09 18:54
2026-05-09 19:00（临场④）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Betfair,欧指,2.08,3.9,3.7,1.044,1.037,1.04,,,,,,2026-05-09 18:55
2026-05-09 19:00（临场④）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Ladbrokes,欧指,1.95,3.75,3.5,0.979,0.997,0.984,,,,,,2026-05-09 18:54
2026-05-09 19:13（即时）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Marathon Bet,欧指,2.06,3.78,3.65,1.024,1.017,1.037,,,,,,2026-05-09 19:13
2026-05-09 19:13（即时）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Pinnacle,欧指,2.06,3.81,3.64,1.024,1.026,1.034,,,,,,2026-05-09 19:13
2026-05-09 19:13（即时）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Pinnacle,亚盘,,,,,,,-0.5,2.06,1.87,0.992,0.978,2026-05-09 19:13
2026-05-09 19:13（即时）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,William Hill,欧指,2.0,3.5,3.5,0.994,0.942,0.994,,,,,,2026-05-09 19:13
2026-05-09 19:13（即时）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Betfair,欧指,2.08,3.85,3.75,1.034,1.036,1.065,,,,,,2026-05-09 19:13
2026-05-09 19:13（即时）,英超 EPL,2026-05-09 19:30,Liverpool,Chelsea,Ladbrokes,欧指,1.95,3.75,3.5,0.969,1.009,0.994,,,,,,2026-05-09 19:13
