快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-06 22:00（初盘①）,英超 EPL,2026-05-09 22:00,Sunderland,Manchester United,Pinnacle,欧指,4.02,3.85,1.9,1.017,1.041,1.013,,,,,,2026-05-06 21:55
2026-05-06 22:00（初盘①）,英超 EPL,2026-05-09 22:00,Sunderland,Manchester United,Pinnacle,亚盘,,,,,,,0.5,2.0,1.91,0.956,0.99,2026-05-06 21:55
2026-05-06 22:00（初盘①）,英超 EPL,2026-05-09 22:00,Sunderland,Manchester United,Marathon Bet,欧指,4.05,3.8,1.92,1.025,1.027,1.023,,,,,,2026-05-06 21:54
2026-05-06 22:00（初盘①）,英超 EPL,2026-05-09 22:00,Sunderland,Manchester United,William Hill,欧指,3.8,3.5,1.85,0.962,0.946,0.986,,,,,,2026-05-06 21:54
2026-05-06 22:00（初盘①）,英超 EPL,2026-05-09 22:00,Sunderland,Manchester United,Betfair,欧指,4.3,3.9,1.94,1.088,1.054,1.034,,,,,,2026-05-06 21:55
2026-05-06 22:00（初盘①）,英超 EPL,2026-05-09 22:00,Sunderland,Manchester United,Ladbrokes,欧指,3.9,3.6,1.91,0.987,0.973,1.018,,,,,,2026-05-06 21:55
2026-05-07 22:00（初盘②）,英超 EPL,2026-05-09 22:00,Sunderland,Manchester United,Pinnacle,欧指,4.12,3.87,1.87,1.04,1.041,0.999,,,,,,2026-05-07 21:55
2026-05-07 22:00（初盘②）,英超 EPL,2026-05-09 22:00,Sunderland,Manchester United,Pinnacle,亚盘,,,,,,,0.5,2.03,1.88,0.959,0.981,2026-05-07 21:55
2026-05-07 22:00（初盘②）,英超 EPL,2026-05-09 22:00,Sunderland,Manchester United,Marathon Bet,欧指,4.15,3.84,1.89,1.047,1.033,1.009,,,,,,2026-05-07 21:53
2026-05-07 22:00（初盘②）,英超 EPL,2026-05-09 22:00,Sunderland,Manchester United,William Hill,欧指,3.8,3.5,1.85,0.959,0.942,0.988,,,,,,2026-05-07 21:55
2026-05-07 22:00（初盘②）,英超 EPL,2026-05-09 22:00,Sunderland,Manchester United,Betfair,欧指,4.3,3.9,1.94,1.085,1.049,1.036,,,,,,2026-05-07 21:55
2026-05-07 22:00（初盘②）,英超 EPL,2026-05-09 22:00,Sunderland,Manchester United,Ladbrokes,欧指,3.8,3.6,1.91,0.959,0.969,1.02,,,,,,2026-05-07 21:55
