快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-08 21:00（初盘②）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,Pinnacle,欧指,2.82,3.36,2.63,1.019,1.028,1.021,,,,,,2026-05-08 20:54
2026-05-08 21:00（初盘②）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,Pinnacle,亚盘,,,,,,,0.0,2.02,1.88,1.141,0.777,2026-05-08 20:54
2026-05-08 21:00（初盘②）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,Ladbrokes,欧指,2.75,3.25,2.5,0.994,0.994,0.97,,,,,,2026-05-08 20:55
2026-05-08 21:00（初盘②）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,William Hill,欧指,2.75,3.1,2.62,0.994,0.949,1.017,,,,,,2026-05-08 20:55
2026-05-08 21:00（初盘②）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,Betfair,欧指,2.92,3.45,2.64,1.055,1.056,1.025,,,,,,2026-05-08 20:54
2026-05-10 09:00（中盘③）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,Pinnacle,欧指,3.03,3.44,2.42,1.014,1.025,1.016,,,,,,2026-05-10 08:55
2026-05-10 09:00（中盘③）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,Pinnacle,亚盘,,,,,,,0.25,1.83,2.1,1.017,0.907,2026-05-10 08:55
2026-05-10 09:00（中盘③）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,Ladbrokes,欧指,2.87,3.4,2.4,0.96,1.013,1.007,,,,,,2026-05-10 08:54
2026-05-10 09:00（中盘③）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,William Hill,欧指,2.9,3.25,2.38,0.97,0.968,0.999,,,,,,2026-05-10 08:55
2026-05-10 09:00（中盘③）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,Betfair,欧指,3.15,3.45,2.48,1.054,1.028,1.041,,,,,,2026-05-10 08:55
2026-05-10 15:00（临场①）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,Pinnacle,欧指,3.13,3.4,2.38,1.031,1.019,1.006,,,,,,2026-05-10 14:55
2026-05-10 15:00（临场①）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,Pinnacle,亚盘,,,,,,,0.25,1.85,2.06,1.021,0.898,2026-05-10 14:55
2026-05-10 15:00（临场①）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,Ladbrokes,欧指,2.9,3.3,2.37,0.955,0.989,1.001,,,,,,2026-05-10 14:55
2026-05-10 15:00（临场①）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,William Hill,欧指,2.9,3.25,2.38,0.955,0.974,1.006,,,,,,2026-05-10 14:55
2026-05-10 15:00（临场①）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,Betfair,欧指,3.2,3.45,2.46,1.054,1.034,1.039,,,,,,2026-05-10 14:55
2026-05-10 18:00（临场②）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,Pinnacle,欧指,3.16,3.42,2.39,1.036,1.031,1.009,,,,,,2026-05-10 17:55
2026-05-10 18:00（临场②）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,Pinnacle,亚盘,,,,,,,0.25,1.87,2.06,1.031,0.901,2026-05-10 17:55
2026-05-10 18:00（临场②）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,Ladbrokes,欧指,2.9,3.3,2.37,0.951,0.995,1.001,,,,,,2026-05-10 17:54
2026-05-10 18:00（临场②）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,William Hill,欧指,3.0,3.2,2.38,0.984,0.965,1.005,,,,,,2026-05-10 17:54
2026-05-10 18:00（临场②）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,Betfair,欧指,3.2,3.45,2.48,1.05,1.04,1.047,,,,,,2026-05-10 17:55
2026-05-10 19:30（临场③）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,Pinnacle,欧指,3.17,3.4,2.39,1.031,1.026,1.012,,,,,,2026-05-10 19:25
2026-05-10 19:30（临场③）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,Pinnacle,亚盘,,,,,,,0.25,1.87,2.06,1.027,0.901,2026-05-10 19:25
2026-05-10 19:30（临场③）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,Ladbrokes,欧指,2.9,3.3,2.37,0.943,0.996,1.003,,,,,,2026-05-10 19:25
2026-05-10 19:30（临场③）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,William Hill,欧指,3.0,3.2,2.38,0.976,0.966,1.007,,,,,,2026-05-10 19:24
2026-05-10 19:30（临场③）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,Betfair,欧指,3.3,3.4,2.44,1.073,1.026,1.033,,,,,,2026-05-10 19:25
2026-05-10 20:30（临场④）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,Pinnacle,欧指,2.9,3.3,2.64,1.022,1.018,1.034,,,,,,2026-05-10 20:25
2026-05-10 20:30（临场④）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,Pinnacle,亚盘,,,,,,,0.0,2.06,1.87,1.148,0.779,2026-05-10 20:25
2026-05-10 20:30（临场④）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,Ladbrokes,欧指,2.8,3.25,2.45,0.987,1.003,0.959,,,,,,2026-05-10 20:25
2026-05-10 20:30（临场④）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,William Hill,欧指,2.7,3.2,2.5,0.952,0.987,0.979,,,,,,2026-05-10 20:24
2026-05-10 20:30（临场④）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,Betfair,欧指,2.96,3.35,2.7,1.044,1.034,1.057,,,,,,2026-05-10 20:25
2026-05-10 20:55（即时）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,Pinnacle,欧指,2.87,3.3,2.66,1.018,1.018,1.037,,,,,,2026-05-10 20:54
2026-05-10 20:55（即时）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,Pinnacle,亚盘,,,,,,,0.0,2.04,1.89,1.143,0.787,2026-05-10 20:54
2026-05-10 20:55（即时）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,Ladbrokes,欧指,2.7,3.3,2.6,0.958,1.018,1.013,,,,,,2026-05-10 20:54
2026-05-10 20:55（即时）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,William Hill,欧指,2.8,3.1,2.5,0.993,0.956,0.974,,,,,,2026-05-10 20:54
2026-05-10 20:55（即时）,英超 EPL,2026-05-10 21:00,Crystal Palace,Everton,Betfair,欧指,3.0,3.35,2.66,1.064,1.034,1.037,,,,,,2026-05-10 20:54
