快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-08 21:00（初盘②）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,Pinnacle,欧指,2.71,3.66,2.56,1.037,1.043,0.997,,,,,,2026-05-08 20:54
2026-05-08 21:00（初盘②）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,Pinnacle,亚盘,,,,,,,0.0,2.01,1.9,1.149,0.79,2026-05-08 20:54
2026-05-08 21:00（初盘②）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,Ladbrokes,欧指,2.6,3.4,2.6,0.995,0.969,1.012,,,,,,2026-05-08 20:55
2026-05-08 21:00（初盘②）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,William Hill,欧指,2.62,3.3,2.5,1.003,0.94,0.973,,,,,,2026-05-08 20:55
2026-05-08 21:00（初盘②）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,Betfair,欧指,2.78,3.75,2.62,1.064,1.068,1.02,,,,,,2026-05-08 20:54
2026-05-10 09:00（中盘③）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,Pinnacle,欧指,2.77,3.63,2.52,1.014,1.028,1.017,,,,,,2026-05-10 08:55
2026-05-10 09:00（中盘③）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,Pinnacle,亚盘,,,,,,,0.0,2.05,1.86,1.144,0.797,2026-05-10 08:55
2026-05-10 09:00（中盘③）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,Ladbrokes,欧指,2.75,3.5,2.45,1.007,0.992,0.988,,,,,,2026-05-10 08:54
2026-05-10 09:00（中盘③）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,William Hill,欧指,2.7,3.4,2.5,0.988,0.963,1.009,,,,,,2026-05-10 08:55
2026-05-10 09:00（中盘③）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,Betfair,欧指,2.88,3.7,2.58,1.054,1.048,1.041,,,,,,2026-05-10 08:55
2026-05-10 15:00（临场①）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,Pinnacle,欧指,2.87,3.53,2.49,1.021,1.001,1.024,,,,,,2026-05-10 14:55
2026-05-10 15:00（临场①）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,Pinnacle,亚盘,,,,,,,0.0,2.11,1.82,1.154,0.796,2026-05-10 14:55
2026-05-10 15:00（临场①）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,Ladbrokes,欧指,2.75,3.5,2.45,0.978,0.993,1.007,,,,,,2026-05-10 14:55
2026-05-10 15:00（临场①）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,William Hill,欧指,2.75,3.4,2.4,0.978,0.965,0.987,,,,,,2026-05-10 14:55
2026-05-10 15:00（临场①）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,Betfair,欧指,2.98,3.7,2.52,1.06,1.05,1.036,,,,,,2026-05-10 14:55
2026-05-10 18:00（临场②）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,Pinnacle,欧指,3.03,3.6,2.38,1.053,1.025,0.998,,,,,,2026-05-10 17:55
2026-05-10 18:00（临场②）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,Pinnacle,亚盘,,,,,,,0.25,1.86,2.07,1.042,0.891,2026-05-10 17:55
2026-05-10 18:00（临场②）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,Ladbrokes,欧指,2.75,3.5,2.45,0.956,0.997,1.027,,,,,,2026-05-10 17:54
2026-05-10 18:00（临场②）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,William Hill,欧指,2.8,3.3,2.4,0.973,0.94,1.006,,,,,,2026-05-10 17:54
2026-05-10 18:00（临场②）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,Betfair,欧指,3.05,3.7,2.46,1.06,1.054,1.031,,,,,,2026-05-10 17:55
2026-05-10 19:30（临场③）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,Pinnacle,欧指,3.07,3.62,2.35,1.041,1.033,1.005,,,,,,2026-05-10 19:25
2026-05-10 19:30（临场③）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,Pinnacle,亚盘,,,,,,,0.25,1.88,2.04,1.035,0.895,2026-05-10 19:25
2026-05-10 19:30（临场③）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,Ladbrokes,欧指,2.9,3.4,2.3,0.983,0.97,0.984,,,,,,2026-05-10 19:25
2026-05-10 19:30（临场③）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,William Hill,欧指,2.9,3.3,2.38,0.983,0.942,1.018,,,,,,2026-05-10 19:24
2026-05-10 19:30（临场③）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,Betfair,欧指,3.1,3.7,2.4,1.051,1.056,1.026,,,,,,2026-05-10 19:25
2026-05-10 20:33（即时）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,Pinnacle,欧指,3.26,3.6,2.26,1.0,1.042,1.026,,,,,,2026-05-10 20:33
2026-05-10 20:33（即时）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,Pinnacle,亚盘,,,,,,,0.25,1.96,1.96,1.065,0.887,2026-05-10 20:33
2026-05-10 20:33（即时）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,Ladbrokes,欧指,3.2,3.4,2.2,0.981,0.984,0.999,,,,,,2026-05-10 20:32
2026-05-10 20:33（即时）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,William Hill,欧指,3.2,3.3,2.2,0.981,0.955,0.999,,,,,,2026-05-10 20:32
2026-05-10 20:33（即时）,英超 EPL,2026-05-10 21:00,Nottingham Forest,Newcastle United,Betfair,欧指,3.65,3.5,2.24,1.119,1.013,1.017,,,,,,2026-05-10 20:33
