快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-07 23:30（初盘①）,英超 EPL,2026-05-10 23:30,West Ham United,Arsenal,Pinnacle,欧指,5.37,4.33,1.61,1.007,1.045,1.013,,,,,,2026-05-07 23:25
2026-05-07 23:30（初盘①）,英超 EPL,2026-05-10 23:30,West Ham United,Arsenal,Pinnacle,亚盘,,,,,,,1.0,1.84,2.08,0.951,1.034,2026-05-07 23:25
2026-05-07 23:30（初盘①）,英超 EPL,2026-05-10 23:30,West Ham United,Arsenal,Ladbrokes,欧指,5.25,4.0,1.61,0.984,0.965,1.013,,,,,,2026-05-07 23:25
2026-05-07 23:30（初盘①）,英超 EPL,2026-05-10 23:30,West Ham United,Arsenal,William Hill,欧指,5.0,3.9,1.62,0.938,0.941,1.019,,,,,,2026-05-07 23:24
2026-05-07 23:30（初盘①）,英超 EPL,2026-05-10 23:30,West Ham United,Arsenal,Betfair,欧指,5.7,4.4,1.65,1.069,1.062,1.038,,,,,,2026-05-07 23:25
2026-05-08 23:30（初盘②）,英超 EPL,2026-05-10 23:30,West Ham United,Arsenal,Pinnacle,欧指,5.41,4.31,1.61,1.008,1.028,1.016,,,,,,2026-05-08 23:25
2026-05-08 23:30（初盘②）,英超 EPL,2026-05-10 23:30,West Ham United,Arsenal,Pinnacle,亚盘,,,,,,,1.0,1.84,2.08,0.941,1.037,2026-05-08 23:25
2026-05-08 23:30（初盘②）,英超 EPL,2026-05-10 23:30,West Ham United,Arsenal,Ladbrokes,欧指,5.25,4.0,1.61,0.978,0.954,1.016,,,,,,2026-05-08 23:25
2026-05-08 23:30（初盘②）,英超 EPL,2026-05-10 23:30,West Ham United,Arsenal,William Hill,欧指,5.0,4.0,1.6,0.932,0.954,1.009,,,,,,2026-05-08 23:24
2026-05-08 23:30（初盘②）,英超 EPL,2026-05-10 23:30,West Ham United,Arsenal,Betfair,欧指,5.8,4.5,1.64,1.081,1.074,1.035,,,,,,2026-05-08 23:25
2026-05-09 11:30（中盘①）,英超 EPL,2026-05-10 23:30,West Ham United,Arsenal,Pinnacle,欧指,5.38,4.27,1.62,1.004,1.027,1.018,,,,,,2026-05-09 11:25
2026-05-09 11:30（中盘①）,英超 EPL,2026-05-10 23:30,West Ham United,Arsenal,Pinnacle,亚盘,,,,,,,1.0,1.82,2.1,0.934,1.041,2026-05-09 11:25
2026-05-09 11:30（中盘①）,英超 EPL,2026-05-10 23:30,West Ham United,Arsenal,Ladbrokes,欧指,5.25,4.0,1.61,0.979,0.962,1.012,,,,,,2026-05-09 11:25
2026-05-09 11:30（中盘①）,英超 EPL,2026-05-10 23:30,West Ham United,Arsenal,William Hill,欧指,5.0,4.0,1.6,0.933,0.962,1.006,,,,,,2026-05-09 11:25
