快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-12 20:00（初盘①）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Pinnacle,欧指,1.4,5.01,6.65,1.013,1.061,1.065,,,,,,2026-05-12 19:55
2026-05-12 20:00（初盘①）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Pinnacle,亚盘,,,,,,,-1.25,1.87,1.97,0.939,1.069,2026-05-12 19:55
2026-05-12 20:00（初盘①）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Marathon Bet,欧指,1.37,5.0,6.7,0.991,1.059,1.073,,,,,,2026-05-12 19:54
2026-05-12 20:00（初盘①）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,William Hill,欧指,1.4,4.6,6.0,1.013,0.974,0.961,,,,,,2026-05-12 19:54
2026-05-13 20:00（初盘②）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Pinnacle,欧指,1.38,5.15,6.97,1.0,1.072,1.08,,,,,,2026-05-13 19:55
2026-05-13 20:00（初盘②）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Pinnacle,亚盘,,,,,,,-1.25,1.81,2.03,0.923,1.084,2026-05-13 19:55
2026-05-13 20:00（初盘②）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Marathon Bet,欧指,1.35,5.1,7.0,0.979,1.061,1.085,,,,,,2026-05-13 19:54
2026-05-13 20:00（初盘②）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,William Hill,欧指,1.4,4.6,6.5,1.015,0.957,1.007,,,,,,2026-05-13 19:54
2026-05-13 20:00（初盘②）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Betfair,欧指,1.42,5.1,7.0,1.029,1.061,1.085,,,,,,2026-05-13 19:55
2026-05-14 08:00（中盘①）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Pinnacle,欧指,1.38,5.15,6.97,1.0,1.062,1.074,,,,,,2026-05-14 07:55
2026-05-14 08:00（中盘①）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Pinnacle,亚盘,,,,,,,-1.25,1.81,2.04,0.94,1.077,2026-05-14 07:55
2026-05-14 08:00（中盘①）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Marathon Bet,欧指,1.35,5.1,7.0,0.979,1.052,1.079,,,,,,2026-05-14 07:55
2026-05-14 08:00（中盘①）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,William Hill,欧指,1.4,4.6,6.5,1.015,0.949,1.002,,,,,,2026-05-14 07:55
2026-05-14 08:00（中盘①）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Betfair,欧指,1.42,5.3,6.8,1.029,1.093,1.048,,,,,,2026-05-14 07:55
2026-05-14 20:00（中盘②）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Pinnacle,欧指,1.38,5.15,6.97,1.006,1.058,1.048,,,,,,2026-05-14 19:55
2026-05-14 20:00（中盘②）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Pinnacle,亚盘,,,,,,,-1.25,1.81,2.05,0.943,1.072,2026-05-14 19:55
2026-05-14 20:00（中盘②）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Marathon Bet,欧指,1.35,5.1,7.0,0.984,1.048,1.053,,,,,,2026-05-14 19:55
2026-05-14 20:00（中盘②）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,William Hill,欧指,1.4,4.6,6.5,1.021,0.945,0.977,,,,,,2026-05-14 19:55
2026-05-14 20:00（中盘②）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Betfair,欧指,1.42,5.4,7.4,1.035,1.11,1.113,,,,,,2026-05-14 19:55
2026-05-15 08:00（中盘③）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Pinnacle,欧指,1.37,5.32,7.36,1.014,1.055,1.061,,,,,,2026-05-15 07:55
2026-05-15 08:00（中盘③）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Pinnacle,亚盘,,,,,,,-1.5,2.03,1.85,1.029,0.989,2026-05-15 07:55
2026-05-15 08:00（中盘③）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Marathon Bet,欧指,1.34,5.15,7.2,0.991,1.022,1.038,,,,,,2026-05-15 07:55
2026-05-15 08:00（中盘③）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,William Hill,欧指,1.36,4.8,7.0,1.006,0.952,1.01,,,,,,2026-05-15 07:54
2026-05-15 08:00（中盘③）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Betfair,欧指,1.38,5.9,7.8,1.021,1.17,1.125,,,,,,2026-05-15 07:55
2026-05-15 14:00（临场①）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Pinnacle,欧指,1.4,5.27,7.11,1.031,1.052,1.033,,,,,,2026-05-15 13:55
2026-05-15 14:00（临场①）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Pinnacle,亚盘,,,,,,,-1.25,1.85,2.05,0.992,0.985,2026-05-15 13:55
2026-05-15 14:00（临场①）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Marathon Bet,欧指,1.35,5.1,7.0,0.994,1.018,1.017,,,,,,2026-05-15 13:54
2026-05-15 14:00（临场①）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,William Hill,欧指,1.36,4.8,6.5,1.002,0.958,0.944,,,,,,2026-05-15 13:54
2026-05-15 14:00（临场①）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Betfair,欧指,1.42,5.7,7.8,1.046,1.138,1.133,,,,,,2026-05-15 13:55
2026-05-15 17:00（临场②）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Pinnacle,欧指,1.38,5.42,7.4,1.022,1.064,1.067,,,,,,2026-05-15 16:54
2026-05-15 17:00（临场②）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Pinnacle,亚盘,,,,,,,-1.5,2.04,1.85,1.037,0.985,2026-05-15 16:54
2026-05-15 17:00（临场②）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Marathon Bet,欧指,1.33,5.25,7.2,0.985,1.031,1.038,,,,,,2026-05-15 16:55
2026-05-15 17:00（临场②）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,William Hill,欧指,1.36,5.0,6.5,1.007,0.982,0.938,,,,,,2026-05-15 16:54
2026-05-15 17:00（临场②）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Betfair,欧指,1.41,5.8,7.6,1.044,1.139,1.096,,,,,,2026-05-15 16:55
2026-05-15 18:30（临场③）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Pinnacle,欧指,1.35,5.62,7.89,1.012,1.077,1.114,,,,,,2026-05-15 18:25
2026-05-15 18:30（临场③）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Pinnacle,亚盘,,,,,,,-1.5,1.97,1.92,1.026,0.994,2026-05-15 18:25
2026-05-15 18:30（临场③）,中超 CSL,2026-05-15 20:00,Beijing FC,Qingdao Hainiu FC,Marathon Bet,欧指,1.32,5.35,7.4,0.989,1.025,1.045,,,,,,2026-05-15 18:24
