快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-12 19:35（初盘①）,中超 CSL,2026-05-15 19:35,Shanghai SIPG FC,Zhejiang,Marathon Bet,欧指,1.87,3.78,3.58,1.009,1.016,1.032,,,,,,2026-05-12 19:27
2026-05-12 19:35（初盘①）,中超 CSL,2026-05-15 19:35,Shanghai SIPG FC,Zhejiang,Pinnacle,欧指,1.92,3.9,3.59,1.036,1.048,1.035,,,,,,2026-05-12 19:29
2026-05-12 19:35（初盘①）,中超 CSL,2026-05-15 19:35,Shanghai SIPG FC,Zhejiang,Pinnacle,亚盘,,,,,,,-0.5,1.93,1.91,0.946,0.968,2026-05-12 19:29
2026-05-12 19:35（初盘①）,中超 CSL,2026-05-15 19:35,Shanghai SIPG FC,Zhejiang,William Hill,欧指,1.85,3.6,3.5,0.998,0.967,1.009,,,,,,2026-05-12 19:29
2026-05-13 19:35（初盘②）,中超 CSL,2026-05-15 19:35,Shanghai SIPG FC,Zhejiang,Marathon Bet,欧指,1.9,3.72,3.52,1.022,0.992,1.014,,,,,,2026-05-13 19:28
2026-05-13 19:35（初盘②）,中超 CSL,2026-05-15 19:35,Shanghai SIPG FC,Zhejiang,Pinnacle,欧指,1.94,3.87,3.51,1.043,1.032,1.012,,,,,,2026-05-13 19:30
2026-05-13 19:35（初盘②）,中超 CSL,2026-05-15 19:35,Shanghai SIPG FC,Zhejiang,Pinnacle,亚盘,,,,,,,-0.5,1.95,1.88,0.986,0.948,2026-05-13 19:30
2026-05-13 19:35（初盘②）,中超 CSL,2026-05-15 19:35,Shanghai SIPG FC,Zhejiang,William Hill,欧指,1.85,3.6,3.5,0.995,0.96,1.009,,,,,,2026-05-13 19:30
2026-05-13 19:35（初盘②）,中超 CSL,2026-05-15 19:35,Shanghai SIPG FC,Zhejiang,Betfair,欧指,1.98,4.0,3.45,1.065,1.067,0.994,,,,,,2026-05-13 19:30
2026-05-14 07:35（中盘①）,中超 CSL,2026-05-15 19:35,Shanghai SIPG FC,Zhejiang,Marathon Bet,欧指,1.9,3.72,3.52,1.021,0.989,1.013,,,,,,2026-05-14 07:30
2026-05-14 07:35（中盘①）,中超 CSL,2026-05-15 19:35,Shanghai SIPG FC,Zhejiang,Pinnacle,欧指,1.93,3.9,3.53,1.037,1.037,1.016,,,,,,2026-05-14 07:30
2026-05-14 07:35（中盘①）,中超 CSL,2026-05-15 19:35,Shanghai SIPG FC,Zhejiang,Pinnacle,亚盘,,,,,,,-0.5,1.94,1.89,0.997,0.972,2026-05-14 07:30
2026-05-14 07:35（中盘①）,中超 CSL,2026-05-15 19:35,Shanghai SIPG FC,Zhejiang,William Hill,欧指,1.85,3.6,3.5,0.994,0.958,1.008,,,,,,2026-05-14 07:29
2026-05-14 07:35（中盘①）,中超 CSL,2026-05-15 19:35,Shanghai SIPG FC,Zhejiang,Betfair,欧指,1.96,4.0,3.45,1.053,1.064,0.993,,,,,,2026-05-14 07:30
2026-05-14 19:35（中盘②）,中超 CSL,2026-05-15 19:35,Shanghai SIPG FC,Zhejiang,Marathon Bet,欧指,1.88,3.75,3.56,1.01,0.996,1.019,,,,,,2026-05-14 19:30
