快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-15 18:00（初盘②）,意甲 Serie A,2026-05-17 18:00,AS Roma,Lazio,Pinnacle,欧指,1.54,4.4,6.26,1.009,1.056,1.039,,,,,,2026-05-15 17:55
2026-05-15 18:00（初盘②）,意甲 Serie A,2026-05-17 18:00,AS Roma,Lazio,Pinnacle,亚盘,,,,,,,-1.0,1.96,1.94,0.923,1.068,2026-05-15 17:55
2026-05-15 18:00（初盘②）,意甲 Serie A,2026-05-17 18:00,AS Roma,Lazio,Codere (IT),欧指,1.54,4.2,6.2,1.009,1.008,1.029,,,,,,2026-05-15 17:55
2026-05-15 18:00（初盘②）,意甲 Serie A,2026-05-17 18:00,AS Roma,Lazio,William Hill,欧指,1.53,4.0,5.8,1.002,0.96,0.963,,,,,,2026-05-15 17:55
2026-05-15 18:00（初盘②）,意甲 Serie A,2026-05-17 18:00,AS Roma,Lazio,Betfair,欧指,1.55,4.6,7.0,1.015,1.104,1.162,,,,,,2026-05-15 17:55
2026-05-17 06:00（中盘③）,意甲 Serie A,2026-05-17 18:00,AS Roma,Lazio,Pinnacle,欧指,1.5,4.43,6.91,1.008,1.035,1.06,,,,,,2026-05-17 05:54
2026-05-17 06:00（中盘③）,意甲 Serie A,2026-05-17 18:00,AS Roma,Lazio,Pinnacle,亚盘,,,,,,,-1.0,1.87,2.04,0.926,1.072,2026-05-17 05:54
2026-05-17 06:00（中盘③）,意甲 Serie A,2026-05-17 18:00,AS Roma,Lazio,Codere (IT),欧指,1.49,4.4,6.6,1.001,1.028,1.012,,,,,,2026-05-17 05:54
2026-05-17 06:00（中盘③）,意甲 Serie A,2026-05-17 18:00,AS Roma,Lazio,William Hill,欧指,1.44,4.0,6.5,0.967,0.934,0.997,,,,,,2026-05-17 05:55
2026-05-17 06:00（中盘③）,意甲 Serie A,2026-05-17 18:00,AS Roma,Lazio,Betfair,欧指,1.56,4.5,7.2,1.048,1.051,1.104,,,,,,2026-05-17 05:55
2026-05-17 12:00（临场①）,意甲 Serie A,2026-05-17 18:00,AS Roma,Lazio,Pinnacle,欧指,1.5,4.43,6.91,1.005,1.039,1.061,,,,,,2026-05-17 11:54
2026-05-17 12:00（临场①）,意甲 Serie A,2026-05-17 18:00,AS Roma,Lazio,Pinnacle,亚盘,,,,,,,-1.0,1.87,2.04,0.926,1.072,2026-05-17 11:54
2026-05-17 12:00（临场①）,意甲 Serie A,2026-05-17 18:00,AS Roma,Lazio,Codere (IT),欧指,1.51,4.3,6.4,1.011,1.009,0.983,,,,,,2026-05-17 11:54
