快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-15 22:00（初盘②）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,Pinnacle,欧指,1.7,4.46,4.45,1.012,1.067,0.996,,,,,,2026-05-15 21:54
2026-05-15 22:00（初盘②）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,Pinnacle,亚盘,,,,,,,-0.75,1.9,2.0,0.94,1.025,2026-05-15 21:54
2026-05-15 22:00（初盘②）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,Marathon Bet,欧指,1.7,4.45,4.6,1.012,1.065,1.029,,,,,,2026-05-15 21:54
2026-05-15 22:00（初盘②）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,William Hill,欧指,1.7,4.0,4.2,1.012,0.957,0.94,,,,,,2026-05-15 21:54
2026-05-15 22:00（初盘②）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,Betfair,欧指,1.72,4.5,4.9,1.024,1.077,1.096,,,,,,2026-05-15 21:55
2026-05-17 10:00（中盘③）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,Pinnacle,欧指,1.68,4.36,4.73,1.019,1.031,1.0,,,,,,2026-05-17 09:55
2026-05-17 10:00（中盘③）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,Pinnacle,亚盘,,,,,,,-0.75,1.87,2.04,0.953,1.015,2026-05-17 09:55
2026-05-17 10:00（中盘③）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,Marathon Bet,欧指,1.68,4.4,4.8,1.019,1.041,1.015,,,,,,2026-05-17 09:55
2026-05-17 10:00（中盘③）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,William Hill,欧指,1.62,4.0,4.8,0.983,0.946,1.015,,,,,,2026-05-17 09:55
2026-05-17 10:00（中盘③）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,Betfair,欧指,1.71,4.4,5.2,1.038,1.041,1.099,,,,,,2026-05-17 09:55
2026-05-17 16:00（临场①）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,Pinnacle,欧指,1.7,4.17,4.87,1.02,1.015,1.025,,,,,,2026-05-17 15:55
2026-05-17 16:00（临场①）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,Pinnacle,亚盘,,,,,,,-0.75,1.9,2.03,0.963,1.014,2026-05-17 15:55
2026-05-17 16:00（临场①）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,Marathon Bet,欧指,1.69,4.25,4.9,1.014,1.034,1.031,,,,,,2026-05-17 15:54
2026-05-17 16:00（临场①）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,William Hill,欧指,1.67,3.9,4.6,1.002,0.949,0.968,,,,,,2026-05-17 15:54
2026-05-17 16:00（临场①）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,Betfair,欧指,1.72,4.4,5.2,1.032,1.07,1.095,,,,,,2026-05-17 15:54
2026-05-17 19:00（临场②）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,Pinnacle,欧指,1.72,4.13,4.73,1.018,1.02,1.018,,,,,,2026-05-17 18:55
2026-05-17 19:00（临场②）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,Pinnacle,亚盘,,,,,,,-0.75,1.93,1.99,0.955,1.01,2026-05-17 18:55
2026-05-17 19:00（临场②）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,Marathon Bet,欧指,1.72,4.2,4.7,1.018,1.037,1.011,,,,,,2026-05-17 18:55
2026-05-17 19:00（临场②）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,William Hill,欧指,1.7,3.9,4.4,1.006,0.963,0.947,,,,,,2026-05-17 18:55
2026-05-17 19:00（临场②）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,Betfair,欧指,1.76,4.2,5.0,1.042,1.037,1.076,,,,,,2026-05-17 18:55
2026-05-17 20:30（临场③）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,Pinnacle,欧指,1.72,4.08,4.8,1.006,1.017,1.049,,,,,,2026-05-17 20:25
2026-05-17 20:30（临场③）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,Pinnacle,亚盘,,,,,,,-0.75,1.93,1.99,0.946,1.024,2026-05-17 20:25
2026-05-17 20:30（临场③）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,Marathon Bet,欧指,1.72,4.15,4.8,1.006,1.034,1.049,,,,,,2026-05-17 20:25
2026-05-17 20:30（临场③）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,William Hill,欧指,1.7,3.9,4.5,0.994,0.972,0.983,,,,,,2026-05-17 20:25
2026-05-17 20:30（临场③）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,Betfair,欧指,1.77,4.2,4.9,1.035,1.047,1.07,,,,,,2026-05-17 20:25
2026-05-17 21:30（临场④）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,Pinnacle,欧指,1.75,3.95,4.76,1.007,1.003,1.06,,,,,,2026-05-17 21:25
2026-05-17 21:30（临场④）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,Pinnacle,亚盘,,,,,,,-0.75,1.98,1.94,0.957,1.013,2026-05-17 21:25
2026-05-17 21:30（临场④）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,Marathon Bet,欧指,1.76,3.98,4.7,1.013,1.011,1.046,,,,,,2026-05-17 21:25
2026-05-17 21:30（临场④）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,William Hill,欧指,1.73,3.8,4.5,0.996,0.965,1.002,,,,,,2026-05-17 21:25
2026-05-17 21:30（临场④）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,Betfair,欧指,1.78,4.2,4.9,1.024,1.067,1.091,,,,,,2026-05-17 21:25
2026-05-17 21:43（即时）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,Pinnacle,欧指,1.75,4.05,4.64,1.013,1.026,1.027,,,,,,2026-05-17 21:43
2026-05-17 21:43（即时）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,Pinnacle,亚盘,,,,,,,-0.75,1.98,1.94,0.953,1.016,2026-05-17 21:43
2026-05-17 21:43（即时）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,Marathon Bet,欧指,1.75,4.0,4.75,1.013,1.013,1.051,,,,,,2026-05-17 21:44
2026-05-17 21:43（即时）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,William Hill,欧指,1.73,3.8,4.5,1.001,0.963,0.996,,,,,,2026-05-17 21:44
2026-05-17 21:43（即时）,英超 EPL,2026-05-17 22:00,Brentford,Crystal Palace,Betfair,欧指,1.79,4.1,4.9,1.036,1.039,1.085,,,,,,2026-05-17 21:43
