快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-14 18:00（初盘①）,意甲 Serie A,2026-05-17 18:30,Genoa,AC Milan,Pinnacle,欧指,4.84,3.92,1.74,1.023,1.05,1.009,,,,,,2026-05-14 17:55
2026-05-14 18:00（初盘①）,意甲 Serie A,2026-05-17 18:30,Genoa,AC Milan,Pinnacle,亚盘,,,,,,,0.75,1.93,1.97,1.062,0.897,2026-05-14 17:55
2026-05-14 18:00（初盘①）,意甲 Serie A,2026-05-17 18:30,Genoa,AC Milan,Codere (IT),欧指,4.7,3.75,1.75,0.993,1.004,1.015,,,,,,2026-05-14 17:55
2026-05-14 18:00（初盘①）,意甲 Serie A,2026-05-17 18:30,Genoa,AC Milan,William Hill,欧指,4.5,3.6,1.73,0.951,0.964,1.004,,,,,,2026-05-14 17:54
2026-05-14 18:00（初盘①）,意甲 Serie A,2026-05-17 18:30,Genoa,AC Milan,Betfair,欧指,5.0,3.85,1.82,1.056,1.031,1.056,,,,,,2026-05-14 17:55
2026-05-15 18:00（初盘②）,意甲 Serie A,2026-05-17 18:00,Genoa,AC Milan,Pinnacle,欧指,4.82,3.89,1.75,1.026,1.046,1.015,,,,,,2026-05-15 17:55
2026-05-15 18:00（初盘②）,意甲 Serie A,2026-05-17 18:00,Genoa,AC Milan,Pinnacle,亚盘,,,,,,,0.75,1.93,1.98,1.061,0.897,2026-05-15 17:55
2026-05-15 18:00（初盘②）,意甲 Serie A,2026-05-17 18:00,Genoa,AC Milan,Codere (IT),欧指,4.7,3.75,1.75,1.0,1.009,1.015,,,,,,2026-05-15 17:55
2026-05-15 18:00（初盘②）,意甲 Serie A,2026-05-17 18:00,Genoa,AC Milan,William Hill,欧指,4.5,3.6,1.73,0.958,0.968,1.003,,,,,,2026-05-15 17:55
2026-05-15 18:00（初盘②）,意甲 Serie A,2026-05-17 18:00,Genoa,AC Milan,Betfair,欧指,5.1,3.9,1.8,1.086,1.049,1.044,,,,,,2026-05-15 17:55
2026-05-16 06:00（中盘①）,意甲 Serie A,2026-05-17 18:00,Genoa,AC Milan,Pinnacle,欧指,4.56,3.78,1.81,0.989,1.024,1.036,,,,,,2026-05-16 05:55
2026-05-16 06:00（中盘①）,意甲 Serie A,2026-05-17 18:00,Genoa,AC Milan,Pinnacle,亚盘,,,,,,,0.75,1.85,2.07,0.904,1.072,2026-05-16 05:55
2026-05-16 06:00（中盘①）,意甲 Serie A,2026-05-17 18:00,Genoa,AC Milan,Codere (IT),欧指,4.6,3.75,1.76,0.998,1.016,1.007,,,,,,2026-05-16 05:54
