快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-15 19:30（初盘②）,英超 EPL,2026-05-17 19:30,Manchester United,Nottingham Forest,Pinnacle,欧指,1.64,4.41,4.99,1.026,1.025,0.995,,,,,,2026-05-15 19:25
2026-05-15 19:30（初盘②）,英超 EPL,2026-05-17 19:30,Manchester United,Nottingham Forest,Pinnacle,亚盘,,,,,,,-1.0,2.04,1.87,1.019,0.967,2026-05-15 19:25
2026-05-15 19:30（初盘②）,英超 EPL,2026-05-17 19:30,Manchester United,Nottingham Forest,William Hill,欧指,1.62,4.2,4.8,1.014,0.976,0.957,,,,,,2026-05-15 19:25
2026-05-15 19:30（初盘②）,英超 EPL,2026-05-17 19:30,Manchester United,Nottingham Forest,Betfair,欧指,1.65,4.5,5.6,1.033,1.046,1.117,,,,,,2026-05-15 19:24
2026-05-15 19:30（初盘②）,英超 EPL,2026-05-17 19:30,Manchester United,Nottingham Forest,Marathon Bet,欧指,1.62,4.5,5.2,1.014,1.046,1.037,,,,,,2026-05-15 19:25
2026-05-17 07:30（中盘③）,英超 EPL,2026-05-17 19:30,Manchester United,Nottingham Forest,Pinnacle,欧指,1.64,4.39,5.0,1.018,1.028,1.0,,,,,,2026-05-17 07:24
2026-05-17 07:30（中盘③）,英超 EPL,2026-05-17 19:30,Manchester United,Nottingham Forest,Pinnacle,亚盘,,,,,,,-1.0,2.05,1.86,1.018,0.961,2026-05-17 07:24
2026-05-17 07:30（中盘③）,英超 EPL,2026-05-17 19:30,Manchester United,Nottingham Forest,William Hill,欧指,1.62,4.2,4.8,1.005,0.983,0.96,,,,,,2026-05-17 07:24
2026-05-17 07:30（中盘③）,英超 EPL,2026-05-17 19:30,Manchester United,Nottingham Forest,Betfair,欧指,1.67,4.5,5.4,1.036,1.053,1.08,,,,,,2026-05-17 07:24
2026-05-17 07:30（中盘③）,英超 EPL,2026-05-17 19:30,Manchester United,Nottingham Forest,Marathon Bet,欧指,1.63,4.45,5.15,1.011,1.042,1.03,,,,,,2026-05-17 07:25
2026-05-17 13:30（临场①）,英超 EPL,2026-05-17 19:30,Manchester United,Nottingham Forest,Pinnacle,欧指,1.61,4.36,5.34,1.004,1.012,1.057,,,,,,2026-05-17 13:25
2026-05-17 13:30（临场①）,英超 EPL,2026-05-17 19:30,Manchester United,Nottingham Forest,Pinnacle,亚盘,,,,,,,-1.0,2.01,1.89,1.01,0.969,2026-05-17 13:25
2026-05-17 13:30（临场①）,英超 EPL,2026-05-17 19:30,Manchester United,Nottingham Forest,William Hill,欧指,1.6,4.2,4.8,0.998,0.975,0.95,,,,,,2026-05-17 13:24
2026-05-17 13:30（临场①）,英超 EPL,2026-05-17 19:30,Manchester United,Nottingham Forest,Betfair,欧指,1.66,4.5,5.5,1.035,1.045,1.089,,,,,,2026-05-17 13:25
2026-05-17 13:30（临场①）,英超 EPL,2026-05-17 19:30,Manchester United,Nottingham Forest,Marathon Bet,欧指,1.62,4.45,5.25,1.01,1.033,1.039,,,,,,2026-05-17 13:25
2026-05-17 16:30（临场②）,英超 EPL,2026-05-17 19:30,Manchester United,Nottingham Forest,Pinnacle,欧指,1.63,4.31,5.33,1.015,1.004,1.051,,,,,,2026-05-17 16:24
2026-05-17 16:30（临场②）,英超 EPL,2026-05-17 19:30,Manchester United,Nottingham Forest,Pinnacle,亚盘,,,,,,,-1.0,2.05,1.88,1.031,0.961,2026-05-17 16:24
2026-05-17 16:30（临场②）,英超 EPL,2026-05-17 19:30,Manchester United,Nottingham Forest,William Hill,欧指,1.62,4.0,4.8,1.008,0.932,0.946,,,,,,2026-05-17 16:24
2026-05-17 16:30（临场②）,英超 EPL,2026-05-17 19:30,Manchester United,Nottingham Forest,Betfair,欧指,1.66,4.5,5.6,1.033,1.048,1.104,,,,,,2026-05-17 16:25
2026-05-17 16:30（临场②）,英超 EPL,2026-05-17 19:30,Manchester United,Nottingham Forest,Marathon Bet,欧指,1.63,4.4,5.25,1.015,1.025,1.035,,,,,,2026-05-17 16:25
2026-05-17 18:00（临场③）,英超 EPL,2026-05-17 19:30,Manchester United,Nottingham Forest,Pinnacle,欧指,1.64,4.26,5.29,1.022,0.995,1.043,,,,,,2026-05-17 17:55
2026-05-17 18:00（临场③）,英超 EPL,2026-05-17 19:30,Manchester United,Nottingham Forest,Pinnacle,亚盘,,,,,,,-1.0,2.07,1.86,1.038,0.953,2026-05-17 17:55
2026-05-17 18:00（临场③）,英超 EPL,2026-05-17 19:30,Manchester United,Nottingham Forest,William Hill,欧指,1.62,4.0,4.8,1.009,0.934,0.947,,,,,,2026-05-17 17:55
