快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-17 02:30（初盘①）,英超 EPL,2026-05-20 02:30,Bournemouth,Manchester City,Pinnacle,欧指,3.97,4.11,1.79,0.955,0.989,1.023,,,,,,2026-05-17 02:25
2026-05-17 02:30（初盘①）,英超 EPL,2026-05-20 02:30,Bournemouth,Manchester City,Pinnacle,亚盘,,,,,,,0.75,1.84,2.02,0.981,0.976,2026-05-17 02:25
2026-05-18 02:30（初盘②）,英超 EPL,2026-05-20 02:30,Bournemouth,Manchester City,Pinnacle,欧指,4.14,4.17,1.75,0.986,0.998,1.007,,,,,,2026-05-18 02:25
2026-05-18 02:30（初盘②）,英超 EPL,2026-05-20 02:30,Bournemouth,Manchester City,Pinnacle,亚盘,,,,,,,0.75,1.89,1.96,0.998,0.954,2026-05-18 02:25
2026-05-18 14:30（中盘①）,英超 EPL,2026-05-20 02:30,Bournemouth,Manchester City,Pinnacle,欧指,4.55,4.4,1.7,1.041,1.038,0.995,,,,,,2026-05-18 14:25
2026-05-18 14:30（中盘①）,英超 EPL,2026-05-20 02:30,Bournemouth,Manchester City,Pinnacle,亚盘,,,,,,,0.75,2.02,1.88,1.036,0.942,2026-05-18 14:25
2026-05-19 02:30（中盘②）,英超 EPL,2026-05-20 02:30,Bournemouth,Manchester City,Pinnacle,欧指,4.59,4.49,1.68,1.02,1.039,1.0,,,,,,2026-05-19 02:25
2026-05-19 02:30（中盘②）,英超 EPL,2026-05-20 02:30,Bournemouth,Manchester City,Pinnacle,亚盘,,,,,,,0.75,2.06,1.85,1.032,0.952,2026-05-19 02:25
2026-05-19 14:30（中盘③）,英超 EPL,2026-05-20 02:30,Bournemouth,Manchester City,Pinnacle,欧指,4.55,4.39,1.7,0.981,1.013,1.018,,,,,,2026-05-19 14:25
2026-05-19 14:30（中盘③）,英超 EPL,2026-05-20 02:30,Bournemouth,Manchester City,Pinnacle,亚盘,,,,,,,0.75,2.02,1.88,0.996,0.971,2026-05-19 14:25
2026-05-19 20:30（临场①）,英超 EPL,2026-05-20 02:30,Bournemouth,Manchester City,Pinnacle,欧指,4.78,4.48,1.66,1.009,1.021,1.003,,,,,,2026-05-19 20:25
2026-05-19 20:30（临场①）,英超 EPL,2026-05-20 02:30,Bournemouth,Manchester City,Pinnacle,亚盘,,,,,,,0.75,2.1,1.84,1.029,0.956,2026-05-19 20:25
2026-05-19 23:30（临场②）,英超 EPL,2026-05-20 02:30,Bournemouth,Manchester City,Pinnacle,欧指,4.85,4.39,1.65,0.989,0.998,1.01,,,,,,2026-05-19 23:25
2026-05-19 23:30（临场②）,英超 EPL,2026-05-20 02:30,Bournemouth,Manchester City,Pinnacle,亚盘,,,,,,,0.75,2.11,1.83,1.074,0.916,2026-05-19 23:25
2026-05-20 01:00（临场③）,英超 EPL,2026-05-20 02:30,Bournemouth,Manchester City,Pinnacle,欧指,4.89,4.41,1.63,0.993,0.994,1.002,,,,,,2026-05-20 00:55
2026-05-20 01:00（临场③）,英超 EPL,2026-05-20 02:30,Bournemouth,Manchester City,Pinnacle,亚盘,,,,,,,1.0,1.85,2.09,0.959,1.028,2026-05-20 00:55
2026-05-20 02:00（临场④）,英超 EPL,2026-05-20 02:30,Bournemouth,Manchester City,Pinnacle,欧指,4.85,4.45,1.68,1.007,1.011,1.023,,,,,,2026-05-20 01:55
2026-05-20 02:00（临场④）,英超 EPL,2026-05-20 02:30,Bournemouth,Manchester City,Pinnacle,亚盘,,,,,,,0.75,2.09,1.85,1.056,0.93,2026-05-20 01:55
