快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-17 03:15（初盘①）,英超 EPL,2026-05-20 03:15,Chelsea,Tottenham Hotspur,William Hill,欧指,2.05,3.6,3.3,0.991,0.98,1.01,,,,,,2026-05-17 03:10
2026-05-17 03:15（初盘①）,英超 EPL,2026-05-20 03:15,Chelsea,Tottenham Hotspur,Pinnacle,欧指,2.07,3.68,3.39,1.001,1.002,1.037,,,,,,2026-05-17 03:10
2026-05-17 03:15（初盘①）,英超 EPL,2026-05-20 03:15,Chelsea,Tottenham Hotspur,Pinnacle,亚盘,,,,,,,-0.25,1.81,2.06,0.858,1.097,2026-05-17 03:10
2026-05-18 03:15（初盘②）,英超 EPL,2026-05-20 03:15,Chelsea,Tottenham Hotspur,William Hill,欧指,2.0,3.6,3.4,0.992,0.988,0.98,,,,,,2026-05-18 03:10
2026-05-18 03:15（初盘②）,英超 EPL,2026-05-20 03:15,Chelsea,Tottenham Hotspur,Pinnacle,欧指,2.06,3.61,3.68,1.021,0.991,1.061,,,,,,2026-05-18 03:10
2026-05-18 03:15（初盘②）,英超 EPL,2026-05-20 03:15,Chelsea,Tottenham Hotspur,Pinnacle,亚盘,,,,,,,-0.5,2.07,1.85,0.995,0.972,2026-05-18 03:10
2026-05-18 15:15（中盘①）,英超 EPL,2026-05-20 03:15,Chelsea,Tottenham Hotspur,William Hill,欧指,2.0,3.5,3.5,0.998,0.958,0.996,,,,,,2026-05-18 15:10
2026-05-18 15:15（中盘①）,英超 EPL,2026-05-20 03:15,Chelsea,Tottenham Hotspur,Pinnacle,欧指,2.01,3.66,3.78,1.003,1.001,1.076,,,,,,2026-05-18 15:09
2026-05-18 15:15（中盘①）,英超 EPL,2026-05-20 03:15,Chelsea,Tottenham Hotspur,Pinnacle,亚盘,,,,,,,-0.5,2.02,1.88,0.981,0.98,2026-05-18 15:09
2026-05-19 03:15（中盘②）,英超 EPL,2026-05-20 03:15,Chelsea,Tottenham Hotspur,William Hill,欧指,2.0,3.5,3.5,1.007,0.957,0.976,,,,,,2026-05-19 03:10
2026-05-19 03:15（中盘②）,英超 EPL,2026-05-20 03:15,Chelsea,Tottenham Hotspur,Pinnacle,欧指,2.02,3.64,3.76,1.017,0.996,1.048,,,,,,2026-05-19 03:10
2026-05-19 03:15（中盘②）,英超 EPL,2026-05-20 03:15,Chelsea,Tottenham Hotspur,Pinnacle,亚盘,,,,,,,-0.5,2.03,1.88,0.994,0.973,2026-05-19 03:10
2026-05-19 15:15（中盘③）,英超 EPL,2026-05-20 03:15,Chelsea,Tottenham Hotspur,William Hill,欧指,1.95,3.5,3.7,1.019,0.945,0.962,,,,,,2026-05-19 15:09
2026-05-19 15:15（中盘③）,英超 EPL,2026-05-20 03:15,Chelsea,Tottenham Hotspur,Pinnacle,欧指,1.92,3.83,3.97,1.003,1.034,1.033,,,,,,2026-05-19 15:10
2026-05-19 15:15（中盘③）,英超 EPL,2026-05-20 03:15,Chelsea,Tottenham Hotspur,Pinnacle,亚盘,,,,,,,-0.5,1.93,1.98,0.98,0.985,2026-05-19 15:10
2026-05-19 21:15（临场①）,英超 EPL,2026-05-20 03:15,Chelsea,Tottenham Hotspur,William Hill,欧指,1.95,3.6,3.7,1.001,0.985,0.983,,,,,,2026-05-19 21:09
