快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-17 20:00（初盘①）,中超 CSL,2026-05-20 20:00,Zhejiang,Shandong Luneng Taishan FC,Pinnacle,欧指,3.18,3.55,2.18,1.07,1.012,1.042,,,,,,2026-05-17 19:54
2026-05-17 20:00（初盘①）,中超 CSL,2026-05-20 20:00,Zhejiang,Shandong Luneng Taishan FC,Pinnacle,亚盘,,,,,,,0.25,1.93,1.9,1.021,0.892,2026-05-17 19:54
2026-05-17 20:00（初盘①）,中超 CSL,2026-05-20 20:00,Zhejiang,Shandong Luneng Taishan FC,Marathon Bet,欧指,3.02,3.74,2.08,1.017,1.067,0.995,,,,,,2026-05-17 19:54
2026-05-17 20:00（初盘①）,中超 CSL,2026-05-20 20:00,Zhejiang,Shandong Luneng Taishan FC,William Hill,欧指,3.0,3.5,2.1,1.01,0.998,1.004,,,,,,2026-05-17 19:54
2026-05-18 20:00（初盘②）,中超 CSL,2026-05-20 20:00,Zhejiang,Shandong Luneng Taishan FC,Pinnacle,欧指,2.95,3.54,2.31,1.05,0.993,1.045,,,,,,2026-05-18 19:55
2026-05-18 20:00（初盘②）,中超 CSL,2026-05-20 20:00,Zhejiang,Shandong Luneng Taishan FC,Pinnacle,亚盘,,,,,,,0.25,1.83,2.01,1.021,0.892,2026-05-18 19:55
2026-05-18 20:00（初盘②）,中超 CSL,2026-05-20 20:00,Zhejiang,Shandong Luneng Taishan FC,Marathon Bet,欧指,2.82,3.7,2.2,1.003,1.038,0.996,,,,,,2026-05-18 19:55
2026-05-18 20:00（初盘②）,中超 CSL,2026-05-20 20:00,Zhejiang,Shandong Luneng Taishan FC,William Hill,欧指,2.75,3.5,2.25,0.978,0.982,1.018,,,,,,2026-05-18 19:55
2026-05-18 20:00（初盘②）,中超 CSL,2026-05-20 20:00,Zhejiang,Shandong Luneng Taishan FC,Betfair,欧指,2.94,3.85,2.3,1.046,1.08,1.041,,,,,,2026-05-18 19:55
2026-05-19 08:00（中盘①）,中超 CSL,2026-05-20 20:00,Zhejiang,Shandong Luneng Taishan FC,Pinnacle,欧指,2.95,3.54,2.31,1.05,0.989,1.044,,,,,,2026-05-19 07:54
2026-05-19 08:00（中盘①）,中超 CSL,2026-05-20 20:00,Zhejiang,Shandong Luneng Taishan FC,Pinnacle,亚盘,,,,,,,0.25,1.83,2.01,1.017,0.901,2026-05-19 07:54
2026-05-19 08:00（中盘①）,中超 CSL,2026-05-20 20:00,Zhejiang,Shandong Luneng Taishan FC,Marathon Bet,欧指,2.82,3.7,2.2,1.003,1.033,0.994,,,,,,2026-05-19 07:54
2026-05-19 08:00（中盘①）,中超 CSL,2026-05-20 20:00,Zhejiang,Shandong Luneng Taishan FC,William Hill,欧指,2.75,3.5,2.25,0.979,0.977,1.017,,,,,,2026-05-19 07:54
