快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-20 19:35（初盘①）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Pinnacle,欧指,1.76,3.82,4.35,1.023,1.035,1.055,,,,,,2026-05-20 19:30
2026-05-20 19:35（初盘①）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Pinnacle,亚盘,,,,,,,-0.75,1.98,1.85,0.893,1.056,2026-05-20 19:30
2026-05-20 19:35（初盘①）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Marathon Bet,欧指,1.73,3.78,4.25,1.006,1.024,1.031,,,,,,2026-05-20 19:30
2026-05-20 19:35（初盘①）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,William Hill,欧指,1.75,3.6,4.0,1.017,0.975,0.97,,,,,,2026-05-20 19:29
2026-05-21 19:35（初盘②）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Pinnacle,欧指,1.73,3.92,4.43,1.013,1.046,1.05,,,,,,2026-05-21 19:30
2026-05-21 19:35（初盘②）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Pinnacle,亚盘,,,,,,,-0.75,1.93,1.9,0.885,1.072,2026-05-21 19:30
2026-05-21 19:35（初盘②）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Marathon Bet,欧指,1.7,3.84,4.33,0.995,1.025,1.026,,,,,,2026-05-21 19:29
2026-05-21 19:35（初盘②）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,William Hill,欧指,1.73,3.6,4.2,1.013,0.961,0.996,,,,,,2026-05-21 19:30
2026-05-21 19:35（初盘②）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Betfair,欧指,1.73,4.0,4.4,1.013,1.068,1.043,,,,,,2026-05-21 19:30
2026-05-22 07:35（中盘①）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Pinnacle,欧指,1.63,4.09,4.92,0.998,1.054,1.071,,,,,,2026-05-22 07:30
2026-05-22 07:35（中盘①）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Pinnacle,亚盘,,,,,,,-0.75,1.81,2.05,0.914,1.066,2026-05-22 07:30
2026-05-22 07:35（中盘①）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Marathon Bet,欧指,1.61,3.98,4.8,0.985,1.026,1.045,,,,,,2026-05-22 07:29
2026-05-22 07:35（中盘①）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,William Hill,欧指,1.67,3.75,4.6,1.022,0.967,1.001,,,,,,2026-05-22 07:30
2026-05-22 07:35（中盘①）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Betfair,欧指,1.66,4.1,4.8,1.016,1.057,1.045,,,,,,2026-05-22 07:30
2026-05-22 19:35（中盘②）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Pinnacle,欧指,1.62,4.18,4.87,1.005,1.059,1.048,,,,,,2026-05-22 19:30
2026-05-22 19:35（中盘②）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Pinnacle,亚盘,,,,,,,-0.75,1.8,2.07,0.934,1.044,2026-05-22 19:30
2026-05-22 19:35（中盘②）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Marathon Bet,欧指,1.61,4.05,4.75,0.999,1.026,1.023,,,,,,2026-05-22 19:30
2026-05-22 19:35（中盘②）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,William Hill,欧指,1.62,3.8,4.6,1.005,0.963,0.99,,,,,,2026-05-22 19:29
2026-05-22 19:35（中盘②）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Betfair,欧指,1.66,4.3,5.0,1.03,1.09,1.076,,,,,,2026-05-22 19:30
2026-05-23 07:35（中盘③）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Pinnacle,欧指,1.62,4.34,4.99,1.004,1.083,1.068,,,,,,2026-05-23 07:29
2026-05-23 07:35（中盘③）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Pinnacle,亚盘,,,,,,,-1.0,2.05,1.83,1.013,0.976,2026-05-23 07:29
2026-05-23 07:35（中盘③）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Marathon Bet,欧指,1.59,4.1,4.85,0.985,1.023,1.038,,,,,,2026-05-23 07:28
2026-05-23 07:35（中盘③）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,William Hill,欧指,1.62,3.9,4.75,1.004,0.973,1.017,,,,,,2026-05-23 07:28
2026-05-23 07:35（中盘③）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Betfair,欧指,1.68,4.4,5.0,1.041,1.098,1.07,,,,,,2026-05-23 07:30
2026-05-23 13:35（临场①）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Pinnacle,欧指,1.64,4.4,4.83,1.02,1.07,1.051,,,,,,2026-05-23 13:30
2026-05-23 13:35（临场①）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Pinnacle,亚盘,,,,,,,-0.75,1.82,2.09,0.919,1.08,2026-05-23 13:30
2026-05-23 13:35（临场①）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Marathon Bet,欧指,1.61,4.2,4.55,1.001,1.021,0.991,,,,,,2026-05-23 13:30
2026-05-23 13:35（临场①）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,William Hill,欧指,1.62,4.0,4.5,1.008,0.973,0.98,,,,,,2026-05-23 13:29
2026-05-23 13:35（临场①）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Betfair,欧指,1.69,4.4,5.0,1.051,1.07,1.088,,,,,,2026-05-23 13:30
2026-05-23 16:35（临场②）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Pinnacle,欧指,1.69,4.29,4.6,1.024,1.072,1.042,,,,,,2026-05-23 16:30
2026-05-23 16:35（临场②）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Pinnacle,亚盘,,,,,,,-0.75,1.88,2.01,0.936,1.056,2026-05-23 16:30
2026-05-23 16:35（临场②）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Marathon Bet,欧指,1.65,4.1,4.35,1.0,1.024,0.985,,,,,,2026-05-23 16:29
2026-05-23 16:35（临场②）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,William Hill,欧指,1.67,3.9,4.2,1.012,0.974,0.951,,,,,,2026-05-23 16:30
2026-05-23 16:35（临场②）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Betfair,欧指,1.74,4.2,4.8,1.054,1.049,1.087,,,,,,2026-05-23 16:30
2026-05-23 18:05（临场③）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Pinnacle,欧指,1.69,4.24,4.62,1.024,1.059,1.046,,,,,,2026-05-23 18:00
2026-05-23 18:05（临场③）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Pinnacle,亚盘,,,,,,,-0.75,1.89,2.0,0.935,1.054,2026-05-23 18:00
2026-05-23 18:05（临场③）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Marathon Bet,欧指,1.66,4.05,4.35,1.006,1.011,0.985,,,,,,2026-05-23 18:00
2026-05-23 18:05（临场③）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,William Hill,欧指,1.67,3.9,4.2,1.012,0.974,0.951,,,,,,2026-05-23 17:59
2026-05-23 18:05（临场③）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Betfair,欧指,1.73,4.3,4.8,1.048,1.074,1.087,,,,,,2026-05-23 18:00
2026-05-23 19:05（临场④）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Pinnacle,欧指,1.66,4.28,4.86,1.013,1.072,1.074,,,,,,2026-05-23 19:00
2026-05-23 19:05（临场④）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Pinnacle,亚盘,,,,,,,-0.75,1.84,2.06,0.924,1.073,2026-05-23 19:00
2026-05-23 19:05（临场④）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Marathon Bet,欧指,1.63,4.05,4.6,0.995,1.014,1.017,,,,,,2026-05-23 19:00
2026-05-23 19:05（临场④）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,William Hill,欧指,1.65,3.9,4.4,1.007,0.976,0.973,,,,,,2026-05-23 19:00
2026-05-23 19:05（临场④）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Betfair,欧指,1.7,4.3,5.0,1.037,1.077,1.105,,,,,,2026-05-23 19:00
2026-05-23 19:15（即时）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Pinnacle,欧指,1.66,4.25,4.89,1.019,1.065,1.062,,,,,,2026-05-23 19:14
2026-05-23 19:15（即时）,中超 CSL,2026-05-23 19:35,Beijing FC,Henan FC,Pinnacle,亚盘,,,,,,,-0.75,1.84,2.06,0.936,1.061,2026-05-23 19:14
