快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-20 20:00（初盘①）,中超 CSL,2026-05-23 20:00,Dalian Yingbo,Chengdu Rongcheng FC,Pinnacle,欧指,3.87,3.78,1.87,0.976,1.027,1.054,,,,,,2026-05-20 19:55
2026-05-20 20:00（初盘①）,中超 CSL,2026-05-23 20:00,Dalian Yingbo,Chengdu Rongcheng FC,Pinnacle,亚盘,,,,,,,0.5,1.96,1.88,0.951,0.975,2026-05-20 19:55
2026-05-20 20:00（初盘①）,中超 CSL,2026-05-23 20:00,Dalian Yingbo,Chengdu Rongcheng FC,Marathon Bet,欧指,3.78,3.72,1.83,0.954,1.011,1.032,,,,,,2026-05-20 19:55
2026-05-20 20:00（初盘①）,中超 CSL,2026-05-23 20:00,Dalian Yingbo,Chengdu Rongcheng FC,William Hill,欧指,3.75,3.5,1.85,0.946,0.951,1.043,,,,,,2026-05-20 19:55
2026-05-21 20:00（初盘②）,中超 CSL,2026-05-23 20:00,Dalian Yingbo,Chengdu Rongcheng FC,Pinnacle,欧指,3.78,3.72,1.91,1.009,1.023,1.046,,,,,,2026-05-21 19:55
2026-05-21 20:00（初盘②）,中超 CSL,2026-05-23 20:00,Dalian Yingbo,Chengdu Rongcheng FC,Pinnacle,亚盘,,,,,,,0.5,1.92,1.92,0.97,0.965,2026-05-21 19:55
2026-05-21 20:00（初盘②）,中超 CSL,2026-05-23 20:00,Dalian Yingbo,Chengdu Rongcheng FC,Marathon Bet,欧指,3.7,3.68,1.86,0.987,1.012,1.018,,,,,,2026-05-21 19:55
2026-05-21 20:00（初盘②）,中超 CSL,2026-05-23 20:00,Dalian Yingbo,Chengdu Rongcheng FC,William Hill,欧指,3.6,3.5,1.85,0.961,0.963,1.013,,,,,,2026-05-21 19:54
2026-05-21 20:00（初盘②）,中超 CSL,2026-05-23 20:00,Dalian Yingbo,Chengdu Rongcheng FC,Betfair,欧指,3.75,3.75,1.9,1.001,1.031,1.04,,,,,,2026-05-21 19:55
2026-05-22 08:00（中盘①）,中超 CSL,2026-05-23 20:00,Dalian Yingbo,Chengdu Rongcheng FC,Pinnacle,欧指,4.2,3.86,1.78,1.06,1.044,1.007,,,,,,2026-05-22 07:55
2026-05-22 08:00（中盘①）,中超 CSL,2026-05-23 20:00,Dalian Yingbo,Chengdu Rongcheng FC,Pinnacle,亚盘,,,,,,,0.75,1.83,2.01,0.901,1.057,2026-05-22 07:55
2026-05-22 08:00（中盘①）,中超 CSL,2026-05-23 20:00,Dalian Yingbo,Chengdu Rongcheng FC,Marathon Bet,欧指,4.05,3.78,1.76,1.022,1.022,0.995,,,,,,2026-05-22 07:55
2026-05-22 08:00（中盘①）,中超 CSL,2026-05-23 20:00,Dalian Yingbo,Chengdu Rongcheng FC,William Hill,欧指,4.0,3.6,1.75,1.009,0.974,0.99,,,,,,2026-05-22 07:55
2026-05-22 08:00（中盘①）,中超 CSL,2026-05-23 20:00,Dalian Yingbo,Chengdu Rongcheng FC,Betfair,欧指,4.1,3.8,1.81,1.035,1.028,1.024,,,,,,2026-05-22 07:55
2026-05-22 20:00（中盘②）,中超 CSL,2026-05-23 20:00,Dalian Yingbo,Chengdu Rongcheng FC,Pinnacle,欧指,4.04,3.84,1.82,1.025,1.045,1.02,,,,,,2026-05-22 19:55
2026-05-22 20:00（中盘②）,中超 CSL,2026-05-23 20:00,Dalian Yingbo,Chengdu Rongcheng FC,Pinnacle,亚盘,,,,,,,0.5,2.03,1.83,1.097,0.869,2026-05-22 19:55
2026-05-22 20:00（中盘②）,中超 CSL,2026-05-23 20:00,Dalian Yingbo,Chengdu Rongcheng FC,Marathon Bet,欧指,3.98,3.76,1.78,1.01,1.023,0.998,,,,,,2026-05-22 19:54
2026-05-22 20:00（中盘②）,中超 CSL,2026-05-23 20:00,Dalian Yingbo,Chengdu Rongcheng FC,William Hill,欧指,4.0,3.6,1.75,1.015,0.98,0.981,,,,,,2026-05-22 19:55
2026-05-22 20:00（中盘②）,中超 CSL,2026-05-23 20:00,Dalian Yingbo,Chengdu Rongcheng FC,Betfair,欧指,4.1,3.9,1.92,1.041,1.061,1.076,,,,,,2026-05-22 19:55
2026-05-23 08:00（中盘③）,中超 CSL,2026-05-23 20:00,Dalian Yingbo,Chengdu Rongcheng FC,Pinnacle,欧指,3.48,3.74,2.04,1.007,1.053,1.045,,,,,,2026-05-23 07:55
2026-05-23 08:00（中盘③）,中超 CSL,2026-05-23 20:00,Dalian Yingbo,Chengdu Rongcheng FC,Pinnacle,亚盘,,,,,,,0.5,1.83,2.05,0.973,0.98,2026-05-23 07:55
2026-05-23 08:00（中盘③）,中超 CSL,2026-05-23 20:00,Dalian Yingbo,Chengdu Rongcheng FC,Marathon Bet,欧指,3.42,3.55,1.98,0.989,1.0,1.014,,,,,,2026-05-23 07:52
2026-05-23 08:00（中盘③）,中超 CSL,2026-05-23 20:00,Dalian Yingbo,Chengdu Rongcheng FC,William Hill,欧指,3.3,3.4,2.0,0.955,0.958,1.024,,,,,,2026-05-23 07:54
2026-05-23 08:00（中盘③）,中超 CSL,2026-05-23 20:00,Dalian Yingbo,Chengdu Rongcheng FC,Betfair,欧指,3.8,3.8,2.06,1.099,1.07,1.055,,,,,,2026-05-23 07:55
2026-05-23 14:00（临场①）,中超 CSL,2026-05-23 20:00,Dalian Yingbo,Chengdu Rongcheng FC,Pinnacle,欧指,2.96,3.51,2.4,1.005,1.035,1.071,,,,,,2026-05-23 13:55
2026-05-23 14:00（临场①）,中超 CSL,2026-05-23 20:00,Dalian Yingbo,Chengdu Rongcheng FC,Pinnacle,亚盘,,,,,,,0.25,1.82,2.09,1.003,0.938,2026-05-23 13:55
2026-05-23 14:00（临场①）,中超 CSL,2026-05-23 20:00,Dalian Yingbo,Chengdu Rongcheng FC,Marathon Bet,欧指,2.91,3.36,2.28,0.988,0.991,1.017,,,,,,2026-05-23 13:55
2026-05-23 14:00（临场①）,中超 CSL,2026-05-23 20:00,Dalian Yingbo,Chengdu Rongcheng FC,William Hill,欧指,2.88,3.25,2.3,0.978,0.958,1.026,,,,,,2026-05-23 13:55
2026-05-23 14:00（临场①）,中超 CSL,2026-05-23 20:00,Dalian Yingbo,Chengdu Rongcheng FC,Betfair,欧指,3.1,3.55,2.44,1.053,1.047,1.089,,,,,,2026-05-23 13:55
