快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-20 19:00（初盘①）,中超 CSL,2026-05-23 19:00,Shanghai SIPG FC,Tianjin Jinmen Tiger FC,Pinnacle,欧指,1.67,3.85,4.93,1.014,1.043,1.062,,,,,,2026-05-20 18:55
2026-05-20 19:00（初盘①）,中超 CSL,2026-05-23 19:00,Shanghai SIPG FC,Tianjin Jinmen Tiger FC,Pinnacle,亚盘,,,,,,,-0.75,1.87,1.97,0.89,1.078,2026-05-20 18:55
2026-05-20 19:00（初盘①）,中超 CSL,2026-05-23 19:00,Shanghai SIPG FC,Tianjin Jinmen Tiger FC,Marathon Bet,欧指,1.65,3.8,4.75,1.002,1.029,1.023,,,,,,2026-05-20 18:55
2026-05-20 19:00（初盘①）,中超 CSL,2026-05-23 19:00,Shanghai SIPG FC,Tianjin Jinmen Tiger FC,William Hill,欧指,1.67,3.6,4.6,1.014,0.975,0.991,,,,,,2026-05-20 18:53
2026-05-21 19:00（初盘②）,中超 CSL,2026-05-23 19:00,Shanghai SIPG FC,Tianjin Jinmen Tiger FC,Pinnacle,欧指,1.68,3.79,4.94,1.015,1.024,1.055,,,,,,2026-05-21 18:54
2026-05-21 19:00（初盘②）,中超 CSL,2026-05-23 19:00,Shanghai SIPG FC,Tianjin Jinmen Tiger FC,Pinnacle,亚盘,,,,,,,-0.75,1.88,1.95,0.895,1.068,2026-05-21 18:54
2026-05-21 19:00（初盘②）,中超 CSL,2026-05-23 19:00,Shanghai SIPG FC,Tianjin Jinmen Tiger FC,Marathon Bet,欧指,1.66,3.74,4.8,1.003,1.01,1.025,,,,,,2026-05-21 18:54
2026-05-21 19:00（初盘②）,中超 CSL,2026-05-23 19:00,Shanghai SIPG FC,Tianjin Jinmen Tiger FC,William Hill,欧指,1.67,3.6,4.6,1.009,0.973,0.982,,,,,,2026-05-21 18:54
2026-05-21 19:00（初盘②）,中超 CSL,2026-05-23 19:00,Shanghai SIPG FC,Tianjin Jinmen Tiger FC,Betfair,欧指,1.74,3.85,5.1,1.051,1.04,1.089,,,,,,2026-05-21 18:55
2026-05-22 07:00（中盘①）,中超 CSL,2026-05-23 19:00,Shanghai SIPG FC,Tianjin Jinmen Tiger FC,Pinnacle,欧指,1.68,3.8,4.92,1.013,1.032,1.052,,,,,,2026-05-22 06:55
