快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-27 19:35（初盘①）,中超 CSL,2026-05-30 19:35,Chengdu Rongcheng FC,Shandong Luneng Taishan FC,Pinnacle,欧指,1.96,4.03,3.33,1.011,1.062,1.046,,,,,,2026-05-27 19:30
2026-05-27 19:35（初盘①）,中超 CSL,2026-05-30 19:35,Chengdu Rongcheng FC,Shandong Luneng Taishan FC,Pinnacle,亚盘,,,,,,,-0.5,1.97,1.86,1.082,0.897,2026-05-27 19:30
2026-05-27 19:35（初盘①）,中超 CSL,2026-05-30 19:35,Chengdu Rongcheng FC,Shandong Luneng Taishan FC,1xBet,欧指,1.99,4.02,3.38,1.027,1.059,1.062,,,,,,2026-05-27 19:30
2026-05-27 19:35（初盘①）,中超 CSL,2026-05-30 19:35,Chengdu Rongcheng FC,Shandong Luneng Taishan FC,1xBet,亚盘,,,,,,,0.0,1.53,2.55,0.841,1.23,2026-05-27 19:30
2026-05-28 19:35（初盘②）,中超 CSL,2026-05-30 19:35,Chengdu Rongcheng FC,Shandong Luneng Taishan FC,Pinnacle,欧指,1.95,4.05,3.34,1.005,1.059,1.046,,,,,,2026-05-28 19:30
2026-05-28 19:35（初盘②）,中超 CSL,2026-05-30 19:35,Chengdu Rongcheng FC,Shandong Luneng Taishan FC,Pinnacle,亚盘,,,,,,,-0.5,1.96,1.87,0.958,0.971,2026-05-28 19:30
2026-05-28 19:35（初盘②）,中超 CSL,2026-05-30 19:35,Chengdu Rongcheng FC,Shandong Luneng Taishan FC,1xBet,欧指,1.99,4.02,3.38,1.025,1.051,1.059,,,,,,2026-05-28 19:29
2026-05-28 19:35（初盘②）,中超 CSL,2026-05-30 19:35,Chengdu Rongcheng FC,Shandong Luneng Taishan FC,1xBet,亚盘,,,,,,,0.0,1.52,2.58,0.743,1.34,2026-05-28 19:29
2026-05-29 07:35（中盘①）,中超 CSL,2026-05-30 19:35,Chengdu Rongcheng FC,Shandong Luneng Taishan FC,Pinnacle,欧指,2.04,3.98,3.17,1.037,1.041,0.997,,,,,,2026-05-29 07:30
2026-05-29 07:35（中盘①）,中超 CSL,2026-05-30 19:35,Chengdu Rongcheng FC,Shandong Luneng Taishan FC,Pinnacle,亚盘,,,,,,,-0.25,1.81,2.04,0.931,1.024,2026-05-29 07:30
