快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-27 20:00（初盘①）,中超 CSL,2026-05-30 20:00,Chongqing Tonglianglong FC,Beijing FC,Pinnacle,欧指,3.88,3.53,1.93,1.057,1.04,1.002,,,,,,2026-05-27 19:55
2026-05-27 20:00（初盘①）,中超 CSL,2026-05-30 20:00,Chongqing Tonglianglong FC,Beijing FC,Pinnacle,亚盘,,,,,,,0.5,1.89,1.94,0.964,0.956,2026-05-27 19:55
2026-05-27 20:00（初盘①）,中超 CSL,2026-05-30 20:00,Chongqing Tonglianglong FC,Beijing FC,1xBet,欧指,3.92,3.56,1.96,1.068,1.049,1.018,,,,,,2026-05-27 19:54
2026-05-27 20:00（初盘①）,中超 CSL,2026-05-30 20:00,Chongqing Tonglianglong FC,Beijing FC,1xBet,亚盘,,,,,,,0.0,2.82,1.45,1.439,0.714,2026-05-27 19:54
2026-05-28 20:00（初盘②）,中超 CSL,2026-05-30 20:00,Chongqing Tonglianglong FC,Beijing FC,Pinnacle,欧指,4.04,3.58,1.88,1.064,1.035,0.993,,,,,,2026-05-28 19:55
2026-05-28 20:00（初盘②）,中超 CSL,2026-05-30 20:00,Chongqing Tonglianglong FC,Beijing FC,Pinnacle,亚盘,,,,,,,0.5,1.94,1.89,0.969,0.946,2026-05-28 19:55
2026-05-28 20:00（初盘②）,中超 CSL,2026-05-30 20:00,Chongqing Tonglianglong FC,Beijing FC,1xBet,欧指,4.07,3.6,1.91,1.072,1.041,1.009,,,,,,2026-05-28 19:55
2026-05-28 20:00（初盘②）,中超 CSL,2026-05-30 20:00,Chongqing Tonglianglong FC,Beijing FC,1xBet,亚盘,,,,,,,0.0,2.94,1.41,1.469,0.706,2026-05-28 19:55
2026-05-29 08:00（中盘①）,中超 CSL,2026-05-30 20:00,Chongqing Tonglianglong FC,Beijing FC,Pinnacle,欧指,4.04,3.58,1.88,1.061,1.028,0.992,,,,,,2026-05-29 07:55
2026-05-29 08:00（中盘①）,中超 CSL,2026-05-30 20:00,Chongqing Tonglianglong FC,Beijing FC,Pinnacle,亚盘,,,,,,,0.5,1.94,1.89,0.988,0.965,2026-05-29 07:55
2026-05-29 08:00（中盘①）,中超 CSL,2026-05-30 20:00,Chongqing Tonglianglong FC,Beijing FC,1xBet,欧指,4.07,3.6,1.91,1.069,1.034,1.008,,,,,,2026-05-29 07:55
2026-05-29 08:00（中盘①）,中超 CSL,2026-05-30 20:00,Chongqing Tonglianglong FC,Beijing FC,1xBet,亚盘,,,,,,,0.0,2.94,1.41,1.497,0.72,2026-05-29 07:55
2026-05-29 20:00（中盘②）,中超 CSL,2026-05-30 20:00,Chongqing Tonglianglong FC,Beijing FC,Pinnacle,欧指,4.04,3.58,1.88,1.059,1.029,0.995,,,,,,2026-05-29 19:55
2026-05-29 20:00（中盘②）,中超 CSL,2026-05-30 20:00,Chongqing Tonglianglong FC,Beijing FC,Pinnacle,亚盘,,,,,,,0.5,1.95,1.9,0.957,0.982,2026-05-29 19:55
2026-05-29 20:00（中盘②）,中超 CSL,2026-05-30 20:00,Chongqing Tonglianglong FC,Beijing FC,1xBet,欧指,4.07,3.6,1.91,1.067,1.034,1.011,,,,,,2026-05-29 19:54
2026-05-29 20:00（中盘②）,中超 CSL,2026-05-30 20:00,Chongqing Tonglianglong FC,Beijing FC,1xBet,亚盘,,,,,,,0.0,2.94,1.41,1.444,0.729,2026-05-29 19:54
2026-05-30 08:00（中盘③）,中超 CSL,2026-05-30 20:00,Chongqing Tonglianglong FC,Beijing FC,Pinnacle,欧指,4.06,3.59,1.92,1.062,1.036,1.012,,,,,,2026-05-30 07:54
2026-05-30 08:00（中盘③）,中超 CSL,2026-05-30 20:00,Chongqing Tonglianglong FC,Beijing FC,Pinnacle,亚盘,,,,,,,0.5,1.94,1.93,0.959,0.991,2026-05-30 07:54
2026-05-30 08:00（中盘③）,中超 CSL,2026-05-30 20:00,Chongqing Tonglianglong FC,Beijing FC,1xBet,欧指,4.0,3.58,1.93,1.046,1.033,1.017,,,,,,2026-05-30 07:54
2026-05-30 08:00（中盘③）,中超 CSL,2026-05-30 20:00,Chongqing Tonglianglong FC,Beijing FC,1xBet,亚盘,,,,,,,0.0,2.89,1.43,1.428,0.734,2026-05-30 07:54
2026-05-30 14:00（临场①）,中超 CSL,2026-05-30 20:00,Chongqing Tonglianglong FC,Beijing FC,Pinnacle,欧指,4.69,3.78,1.78,1.059,1.028,1.023,,,,,,2026-05-30 13:55
2026-05-30 14:00（临场①）,中超 CSL,2026-05-30 20:00,Chongqing Tonglianglong FC,Beijing FC,Pinnacle,亚盘,,,,,,,0.75,1.88,2.01,1.074,0.904,2026-05-30 13:55
2026-05-30 14:00（临场①）,中超 CSL,2026-05-30 20:00,Chongqing Tonglianglong FC,Beijing FC,1xBet,欧指,4.54,3.76,1.78,1.025,1.023,1.023,,,,,,2026-05-30 13:55
