快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-27 15:00（初盘①）,日职联 J League,2026-05-30 15:00,Gamba Osaka,Tokyo Verdy,Pinnacle,欧指,1.82,3.46,4.65,1.041,1.06,1.075,,,,,,2026-05-27 14:55
2026-05-27 15:00（初盘①）,日职联 J League,2026-05-30 15:00,Gamba Osaka,Tokyo Verdy,Pinnacle,亚盘,,,,,,,-0.5,1.83,2.04,1.0,1.0,2026-05-27 14:55
2026-05-27 15:00（初盘①）,日职联 J League,2026-05-30 15:00,Gamba Osaka,Tokyo Verdy,Marathon Bet,欧指,1.78,3.45,4.55,1.019,1.057,1.052,,,,,,2026-05-27 14:54
2026-05-28 15:00（初盘②）,日职联 J League,2026-05-30 15:00,Gamba Osaka,Tokyo Verdy,Pinnacle,欧指,1.81,3.5,4.67,1.033,1.065,1.073,,,,,,2026-05-28 14:55
2026-05-28 15:00（初盘②）,日职联 J League,2026-05-30 15:00,Gamba Osaka,Tokyo Verdy,Pinnacle,亚盘,,,,,,,-0.5,1.81,2.05,1.0,1.0,2026-05-28 14:55
2026-05-28 15:00（初盘②）,日职联 J League,2026-05-30 15:00,Gamba Osaka,Tokyo Verdy,Marathon Bet,欧指,1.77,3.48,4.55,1.01,1.059,1.045,,,,,,2026-05-28 14:53
2026-05-29 03:00（中盘①）,日职联 J League,2026-05-30 15:00,Gamba Osaka,Tokyo Verdy,Pinnacle,欧指,1.91,3.42,4.26,1.047,1.043,1.041,,,,,,2026-05-29 02:55
2026-05-29 03:00（中盘①）,日职联 J League,2026-05-30 15:00,Gamba Osaka,Tokyo Verdy,Pinnacle,亚盘,,,,,,,-0.5,1.92,1.93,1.0,1.0,2026-05-29 02:55
2026-05-29 03:00（中盘①）,日职联 J League,2026-05-30 15:00,Gamba Osaka,Tokyo Verdy,Marathon Bet,欧指,1.85,3.4,4.2,1.014,1.037,1.027,,,,,,2026-05-29 02:54
2026-05-29 15:00（中盘②）,日职联 J League,2026-05-30 15:00,Gamba Osaka,Tokyo Verdy,Pinnacle,欧指,1.91,3.42,4.26,1.046,1.043,1.043,,,,,,2026-05-29 14:55
