快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-27 19:00（初盘①）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,Pinnacle,欧指,1.8,3.88,4.07,1.003,1.051,1.07,,,,,,2026-05-27 18:55
2026-05-27 19:00（初盘①）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,Pinnacle,亚盘,,,,,,,-0.75,2.04,1.81,1.016,0.899,2026-05-27 18:55
2026-05-27 19:00（初盘①）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,1xBet,欧指,1.82,3.85,4.17,1.014,1.043,1.096,,,,,,2026-05-27 18:55
2026-05-27 19:00（初盘①）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,1xBet,亚盘,,,,,,,0.0,1.33,2.97,0.663,1.476,2026-05-27 18:55
2026-05-28 19:00（初盘②）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,Pinnacle,欧指,1.8,3.88,4.07,1.003,1.042,1.067,,,,,,2026-05-28 18:54
2026-05-28 19:00（初盘②）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,Pinnacle,亚盘,,,,,,,-0.75,2.04,1.81,1.034,0.894,2026-05-28 18:54
2026-05-28 19:00（初盘②）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,1xBet,欧指,1.82,3.85,4.17,1.014,1.034,1.093,,,,,,2026-05-28 18:54
2026-05-28 19:00（初盘②）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,1xBet,亚盘,,,,,,,0.0,1.33,2.97,0.674,1.467,2026-05-28 18:54
2026-05-29 07:00（中盘①）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,Pinnacle,欧指,1.8,3.88,4.07,1.008,1.032,1.055,,,,,,2026-05-29 06:55
2026-05-29 07:00（中盘①）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,Pinnacle,亚盘,,,,,,,-0.75,2.04,1.81,1.023,0.913,2026-05-29 06:55
2026-05-29 07:00（中盘①）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,1xBet,欧指,1.82,3.85,4.17,1.019,1.024,1.081,,,,,,2026-05-29 06:55
2026-05-29 07:00（中盘①）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,1xBet,亚盘,,,,,,,0.0,1.33,2.97,0.667,1.498,2026-05-29 06:55
2026-05-29 19:00（中盘②）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,Pinnacle,欧指,1.77,3.93,4.19,0.996,1.045,1.075,,,,,,2026-05-29 18:55
2026-05-29 19:00（中盘②）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,Pinnacle,亚盘,,,,,,,-0.75,2.0,1.85,0.853,1.101,2026-05-29 18:55
2026-05-29 19:00（中盘②）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,1xBet,欧指,1.79,3.88,4.32,1.007,1.031,1.108,,,,,,2026-05-29 18:55
2026-05-29 19:00（中盘②）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,1xBet,亚盘,,,,,,,-1.5,3.19,1.36,1.361,0.81,2026-05-29 18:55
2026-05-30 07:00（中盘③）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,Pinnacle,欧指,1.72,4.07,4.49,0.999,1.058,1.068,,,,,,2026-05-30 06:55
2026-05-30 07:00（中盘③）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,Pinnacle,亚盘,,,,,,,-0.75,1.93,1.93,0.869,1.098,2026-05-30 06:55
2026-05-30 07:00（中盘③）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,1xBet,欧指,1.74,3.96,4.54,1.011,1.029,1.08,,,,,,2026-05-30 06:55
2026-05-30 07:00（中盘③）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,1xBet,亚盘,,,,,,,-1.5,3.02,1.4,1.36,0.796,2026-05-30 06:55
2026-05-30 13:00（临场①）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,Pinnacle,欧指,1.73,4.09,4.57,1.005,1.06,1.072,,,,,,2026-05-30 12:55
2026-05-30 13:00（临场①）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,Pinnacle,亚盘,,,,,,,-0.75,1.93,1.95,0.874,1.1,2026-05-30 12:55
2026-05-30 13:00（临场①）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,1xBet,欧指,1.73,3.97,4.58,1.005,1.029,1.075,,,,,,2026-05-30 12:55
2026-05-30 13:00（临场①）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,1xBet,亚盘,,,,,,,-1.5,3.0,1.4,1.359,0.79,2026-05-30 12:55
2026-05-30 16:00（临场②）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,Pinnacle,欧指,1.78,4.03,4.31,1.021,1.048,1.046,,,,,,2026-05-30 15:55
2026-05-30 16:00（临场②）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,Pinnacle,亚盘,,,,,,,-0.75,2.0,1.88,0.885,1.085,2026-05-30 15:55
2026-05-30 16:00（临场②）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,1xBet,欧指,1.76,3.94,4.41,1.01,1.025,1.071,,,,,,2026-05-30 15:54
2026-05-30 16:00（临场②）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,1xBet,亚盘,,,,,,,-1.5,3.08,1.39,1.363,0.803,2026-05-30 15:54
2026-05-30 17:30（临场③）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,Pinnacle,欧指,1.8,4.01,4.23,1.022,1.044,1.05,,,,,,2026-05-30 17:25
2026-05-30 17:30（临场③）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,Pinnacle,亚盘,,,,,,,-0.75,2.03,1.87,0.887,1.088,2026-05-30 17:25
2026-05-30 17:30（临场③）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,1xBet,欧指,1.79,3.96,4.22,1.016,1.031,1.047,,,,,,2026-05-30 17:25
2026-05-30 17:30（临场③）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,1xBet,亚盘,,,,,,,-1.5,3.13,1.37,1.368,0.797,2026-05-30 17:25
2026-05-30 18:30（临场④）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,Pinnacle,欧指,2.09,3.78,3.36,1.05,1.022,1.015,,,,,,2026-05-30 18:25
2026-05-30 18:30（临场④）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,Pinnacle,亚盘,,,,,,,-0.25,1.84,2.06,0.926,1.04,2026-05-30 18:25
2026-05-30 18:30（临场④）,中超 CSL,2026-05-30 19:00,Henan FC,Zhejiang,1xBet,欧指,2.04,3.77,3.42,1.025,1.02,1.033,,,,,,2026-05-30 18:24
