快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-27 13:00（初盘①）,日职联 J League,2026-05-30 13:00,Hiroshima Sanfrecce FC,Kawasaki Frontale,Pinnacle,欧指,1.65,4.11,4.88,1.043,1.059,1.081,,,,,,2026-05-27 12:55
2026-05-27 13:00（初盘①）,日职联 J League,2026-05-30 13:00,Hiroshima Sanfrecce FC,Kawasaki Frontale,Pinnacle,亚盘,,,,,,,-0.75,1.83,2.03,1.0,1.0,2026-05-27 12:55
2026-05-27 13:00（初盘①）,日职联 J League,2026-05-30 13:00,Hiroshima Sanfrecce FC,Kawasaki Frontale,Marathon Bet,欧指,1.62,4.05,4.8,1.024,1.044,1.063,,,,,,2026-05-27 12:54
2026-05-28 13:00（初盘②）,日职联 J League,2026-05-30 13:00,Hiroshima Sanfrecce FC,Kawasaki Frontale,Pinnacle,欧指,1.65,4.11,4.88,1.041,1.054,1.075,,,,,,2026-05-28 12:55
2026-05-28 13:00（初盘②）,日职联 J League,2026-05-30 13:00,Hiroshima Sanfrecce FC,Kawasaki Frontale,Pinnacle,亚盘,,,,,,,-0.75,1.83,2.03,1.0,1.0,2026-05-28 12:55
2026-05-28 13:00（初盘②）,日职联 J League,2026-05-30 13:00,Hiroshima Sanfrecce FC,Kawasaki Frontale,Marathon Bet,欧指,1.62,4.05,4.8,1.022,1.039,1.057,,,,,,2026-05-28 12:53
2026-05-29 01:00（中盘①）,日职联 J League,2026-05-30 13:00,Hiroshima Sanfrecce FC,Kawasaki Frontale,Pinnacle,欧指,1.65,4.11,4.88,1.023,1.054,1.069,,,,,,2026-05-29 00:55
2026-05-29 01:00（中盘①）,日职联 J League,2026-05-30 13:00,Hiroshima Sanfrecce FC,Kawasaki Frontale,Pinnacle,亚盘,,,,,,,-0.75,1.83,2.03,1.0,1.0,2026-05-29 00:55
2026-05-29 01:00（中盘①）,日职联 J League,2026-05-30 13:00,Hiroshima Sanfrecce FC,Kawasaki Frontale,Marathon Bet,欧指,1.62,4.05,4.8,1.004,1.038,1.052,,,,,,2026-05-29 00:55
2026-05-29 13:00（中盘②）,日职联 J League,2026-05-30 13:00,Hiroshima Sanfrecce FC,Kawasaki Frontale,Pinnacle,欧指,1.65,4.11,4.87,1.023,1.054,1.068,,,,,,2026-05-29 12:55
2026-05-29 13:00（中盘②）,日职联 J League,2026-05-30 13:00,Hiroshima Sanfrecce FC,Kawasaki Frontale,Pinnacle,亚盘,,,,,,,-0.75,1.84,2.04,1.0,1.0,2026-05-29 12:55
2026-05-29 13:00（中盘②）,日职联 J League,2026-05-30 13:00,Hiroshima Sanfrecce FC,Kawasaki Frontale,Marathon Bet,欧指,1.62,4.05,4.8,1.004,1.038,1.052,,,,,,2026-05-29 12:54
2026-05-30 01:00（中盘③）,日职联 J League,2026-05-30 13:00,Hiroshima Sanfrecce FC,Kawasaki Frontale,Pinnacle,欧指,1.65,4.21,5.0,1.023,1.074,1.092,,,,,,2026-05-30 00:55
2026-05-30 01:00（中盘③）,日职联 J League,2026-05-30 13:00,Hiroshima Sanfrecce FC,Kawasaki Frontale,Pinnacle,亚盘,,,,,,,-0.75,1.84,2.06,1.0,1.0,2026-05-30 00:55
2026-05-30 01:00（中盘③）,日职联 J League,2026-05-30 13:00,Hiroshima Sanfrecce FC,Kawasaki Frontale,Marathon Bet,欧指,1.61,4.1,4.8,0.998,1.046,1.048,,,,,,2026-05-30 00:55
2026-05-30 07:00（临场①）,日职联 J League,2026-05-30 13:00,Hiroshima Sanfrecce FC,Kawasaki Frontale,Pinnacle,欧指,1.72,4.06,4.8,1.05,1.043,1.063,,,,,,2026-05-30 06:55
2026-05-30 07:00（临场①）,日职联 J League,2026-05-30 13:00,Hiroshima Sanfrecce FC,Kawasaki Frontale,Pinnacle,亚盘,,,,,,,-0.75,1.92,1.99,1.0,1.0,2026-05-30 06:55
2026-05-30 07:00（临场①）,日职联 J League,2026-05-30 13:00,Hiroshima Sanfrecce FC,Kawasaki Frontale,Marathon Bet,欧指,1.65,4.0,4.65,1.007,1.028,1.03,,,,,,2026-05-30 06:55
2026-05-30 10:00（临场②）,日职联 J League,2026-05-30 13:00,Hiroshima Sanfrecce FC,Kawasaki Frontale,Pinnacle,欧指,1.73,4.03,4.76,1.055,1.037,1.056,,,,,,2026-05-30 09:55
2026-05-30 10:00（临场②）,日职联 J League,2026-05-30 13:00,Hiroshima Sanfrecce FC,Kawasaki Frontale,Pinnacle,亚盘,,,,,,,-0.75,1.93,1.97,1.0,1.0,2026-05-30 09:55
2026-05-30 10:00（临场②）,日职联 J League,2026-05-30 13:00,Hiroshima Sanfrecce FC,Kawasaki Frontale,Marathon Bet,欧指,1.66,3.98,4.6,1.012,1.024,1.021,,,,,,2026-05-30 09:54
2026-05-30 11:30（临场③）,日职联 J League,2026-05-30 13:00,Hiroshima Sanfrecce FC,Kawasaki Frontale,Pinnacle,欧指,1.75,4.02,4.6,1.04,1.044,1.077,,,,,,2026-05-30 11:24
