快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-27 18:00（初盘①）,日职联 J League,2026-05-30 18:00,Kyoto Purple Sanga,Kashiwa Reysol,Pinnacle,欧指,3.14,3.28,2.34,1.058,1.065,1.051,,,,,,2026-05-27 17:55
2026-05-27 18:00（初盘①）,日职联 J League,2026-05-30 18:00,Kyoto Purple Sanga,Kashiwa Reysol,Pinnacle,亚盘,,,,,,,0.25,1.84,2.01,1.0,1.0,2026-05-27 17:55
2026-05-27 18:00（初盘①）,日职联 J League,2026-05-30 18:00,Kyoto Purple Sanga,Kashiwa Reysol,Marathon Bet,欧指,3.02,3.32,2.27,1.018,1.078,1.02,,,,,,2026-05-27 17:55
2026-05-28 18:00（初盘②）,日职联 J League,2026-05-30 18:00,Kyoto Purple Sanga,Kashiwa Reysol,Pinnacle,欧指,3.14,3.28,2.34,1.055,1.061,1.049,,,,,,2026-05-28 17:55
2026-05-28 18:00（初盘②）,日职联 J League,2026-05-30 18:00,Kyoto Purple Sanga,Kashiwa Reysol,Pinnacle,亚盘,,,,,,,0.25,1.84,2.01,1.0,1.0,2026-05-28 17:55
2026-05-28 18:00（初盘②）,日职联 J League,2026-05-30 18:00,Kyoto Purple Sanga,Kashiwa Reysol,Marathon Bet,欧指,3.04,3.32,2.26,1.021,1.074,1.013,,,,,,2026-05-28 17:55
2026-05-29 06:00（中盘①）,日职联 J League,2026-05-30 18:00,Kyoto Purple Sanga,Kashiwa Reysol,Pinnacle,欧指,3.14,3.28,2.34,1.046,1.056,1.039,,,,,,2026-05-29 05:55
2026-05-29 06:00（中盘①）,日职联 J League,2026-05-30 18:00,Kyoto Purple Sanga,Kashiwa Reysol,Pinnacle,亚盘,,,,,,,0.25,1.84,2.01,1.0,1.0,2026-05-29 05:55
2026-05-29 06:00（中盘①）,日职联 J League,2026-05-30 18:00,Kyoto Purple Sanga,Kashiwa Reysol,Marathon Bet,欧指,3.04,3.32,2.26,1.012,1.069,1.004,,,,,,2026-05-29 05:55
2026-05-29 18:00（中盘②）,日职联 J League,2026-05-30 18:00,Kyoto Purple Sanga,Kashiwa Reysol,Pinnacle,欧指,3.14,3.28,2.34,1.046,1.032,1.049,,,,,,2026-05-29 17:55
2026-05-29 18:00（中盘②）,日职联 J League,2026-05-30 18:00,Kyoto Purple Sanga,Kashiwa Reysol,Pinnacle,亚盘,,,,,,,0.25,1.85,2.02,1.0,1.0,2026-05-29 17:55
2026-05-29 18:00（中盘②）,日职联 J League,2026-05-30 18:00,Kyoto Purple Sanga,Kashiwa Reysol,Marathon Bet,欧指,3.04,3.32,2.26,1.013,1.045,1.013,,,,,,2026-05-29 17:54
2026-05-30 06:00（中盘③）,日职联 J League,2026-05-30 18:00,Kyoto Purple Sanga,Kashiwa Reysol,Pinnacle,欧指,3.17,3.32,2.36,1.055,1.043,1.057,,,,,,2026-05-30 05:55
2026-05-30 06:00（中盘③）,日职联 J League,2026-05-30 18:00,Kyoto Purple Sanga,Kashiwa Reysol,Pinnacle,亚盘,,,,,,,0.25,1.85,2.03,1.0,1.0,2026-05-30 05:55
2026-05-30 06:00（中盘③）,日职联 J League,2026-05-30 18:00,Kyoto Purple Sanga,Kashiwa Reysol,Marathon Bet,欧指,3.04,3.32,2.26,1.012,1.043,1.013,,,,,,2026-05-30 05:54
2026-05-30 12:00（临场①）,日职联 J League,2026-05-30 18:00,Kyoto Purple Sanga,Kashiwa Reysol,Pinnacle,欧指,3.23,3.27,2.39,1.071,1.028,1.07,,,,,,2026-05-30 11:55
2026-05-30 12:00（临场①）,日职联 J League,2026-05-30 18:00,Kyoto Purple Sanga,Kashiwa Reysol,Pinnacle,亚盘,,,,,,,0.25,1.86,2.05,1.0,1.0,2026-05-30 11:55
2026-05-30 12:00（临场①）,日职联 J League,2026-05-30 18:00,Kyoto Purple Sanga,Kashiwa Reysol,Marathon Bet,欧指,3.04,3.28,2.28,1.008,1.031,1.021,,,,,,2026-05-30 11:54
2026-05-30 15:00（临场②）,日职联 J League,2026-05-30 18:00,Kyoto Purple Sanga,Kashiwa Reysol,Pinnacle,欧指,3.24,3.24,2.41,1.074,1.02,1.077,,,,,,2026-05-30 14:55
2026-05-30 15:00（临场②）,日职联 J League,2026-05-30 18:00,Kyoto Purple Sanga,Kashiwa Reysol,Pinnacle,亚盘,,,,,,,0.25,1.85,2.06,1.0,1.0,2026-05-30 14:55
2026-05-30 15:00（临场②）,日职联 J League,2026-05-30 18:00,Kyoto Purple Sanga,Kashiwa Reysol,Marathon Bet,欧指,3.04,3.24,2.3,1.007,1.02,1.028,,,,,,2026-05-30 14:55
2026-05-30 16:30（临场③）,日职联 J League,2026-05-30 18:00,Kyoto Purple Sanga,Kashiwa Reysol,Pinnacle,欧指,3.23,3.22,2.42,1.067,1.036,1.055,,,,,,2026-05-30 16:25
2026-05-30 16:30（临场③）,日职联 J League,2026-05-30 18:00,Kyoto Purple Sanga,Kashiwa Reysol,Pinnacle,亚盘,,,,,,,0.25,1.85,2.07,1.0,1.0,2026-05-30 16:25
2026-05-30 16:30（临场③）,日职联 J League,2026-05-30 18:00,Kyoto Purple Sanga,Kashiwa Reysol,Marathon Bet,欧指,3.05,3.24,2.3,1.007,1.042,1.003,,,,,,2026-05-30 16:25
2026-05-30 17:30（临场④）,日职联 J League,2026-05-30 18:00,Kyoto Purple Sanga,Kashiwa Reysol,Pinnacle,欧指,3.22,3.24,2.42,1.064,1.041,1.056,,,,,,2026-05-30 17:25
2026-05-30 17:30（临场④）,日职联 J League,2026-05-30 18:00,Kyoto Purple Sanga,Kashiwa Reysol,Pinnacle,亚盘,,,,,,,0.25,1.85,2.07,1.0,1.0,2026-05-30 17:25
2026-05-30 17:30（临场④）,日职联 J League,2026-05-30 18:00,Kyoto Purple Sanga,Kashiwa Reysol,Marathon Bet,欧指,3.04,3.26,2.29,1.005,1.048,0.999,,,,,,2026-05-30 17:25
