快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-27 16:00（初盘①）,日职联 J League,2026-05-30 16:00,V-Varen Nagasaki,Mito HollyHock,Pinnacle,欧指,2.21,3.34,3.35,1.042,1.068,1.072,,,,,,2026-05-27 15:55
2026-05-27 16:00（初盘①）,日职联 J League,2026-05-30 16:00,V-Varen Nagasaki,Mito HollyHock,Pinnacle,亚盘,,,,,,,-0.25,1.91,1.94,1.0,1.0,2026-05-27 15:55
2026-05-27 16:00（初盘①）,日职联 J League,2026-05-30 16:00,V-Varen Nagasaki,Mito HollyHock,Marathon Bet,欧指,2.15,3.35,3.24,1.014,1.072,1.037,,,,,,2026-05-27 15:54
2026-05-29 04:00（中盘①）,日职联 J League,2026-05-30 16:00,V-Varen Nagasaki,Mito HollyHock,Pinnacle,欧指,2.37,3.39,3.0,1.046,1.062,1.033,,,,,,2026-05-29 03:55
2026-05-29 04:00（中盘①）,日职联 J League,2026-05-30 16:00,V-Varen Nagasaki,Mito HollyHock,Pinnacle,亚盘,,,,,,,-0.25,2.05,1.81,1.0,1.0,2026-05-29 03:55
2026-05-29 04:00（中盘①）,日职联 J League,2026-05-30 16:00,V-Varen Nagasaki,Mito HollyHock,Marathon Bet,欧指,2.31,3.35,2.93,1.019,1.049,1.009,,,,,,2026-05-29 03:55
2026-05-29 16:00（中盘②）,日职联 J League,2026-05-30 16:00,V-Varen Nagasaki,Mito HollyHock,Pinnacle,欧指,2.37,3.39,3.0,1.046,1.062,1.033,,,,,,2026-05-29 15:55
2026-05-29 16:00（中盘②）,日职联 J League,2026-05-30 16:00,V-Varen Nagasaki,Mito HollyHock,Pinnacle,亚盘,,,,,,,-0.25,2.06,1.82,1.0,1.0,2026-05-29 15:55
2026-05-29 16:00（中盘②）,日职联 J League,2026-05-30 16:00,V-Varen Nagasaki,Mito HollyHock,Marathon Bet,欧指,2.31,3.35,2.93,1.019,1.049,1.009,,,,,,2026-05-29 15:54
2026-05-30 04:00（中盘③）,日职联 J League,2026-05-30 16:00,V-Varen Nagasaki,Mito HollyHock,Pinnacle,欧指,2.41,3.37,3.05,1.062,1.056,1.047,,,,,,2026-05-30 03:55
2026-05-30 04:00（中盘③）,日职联 J League,2026-05-30 16:00,V-Varen Nagasaki,Mito HollyHock,Pinnacle,亚盘,,,,,,,-0.25,2.08,1.82,1.0,1.0,2026-05-30 03:55
2026-05-30 04:00（中盘③）,日职联 J League,2026-05-30 16:00,V-Varen Nagasaki,Mito HollyHock,Marathon Bet,欧指,2.31,3.35,2.93,1.018,1.05,1.005,,,,,,2026-05-30 03:54
2026-05-30 10:00（临场①）,日职联 J League,2026-05-30 16:00,V-Varen Nagasaki,Mito HollyHock,Pinnacle,欧指,2.41,3.41,3.07,1.061,1.065,1.052,,,,,,2026-05-30 09:55
2026-05-30 10:00（临场①）,日职联 J League,2026-05-30 16:00,V-Varen Nagasaki,Mito HollyHock,Pinnacle,亚盘,,,,,,,-0.25,2.08,1.83,1.0,1.0,2026-05-30 09:55
2026-05-30 10:00（临场①）,日职联 J League,2026-05-30 16:00,V-Varen Nagasaki,Mito HollyHock,Marathon Bet,欧指,2.31,3.35,2.93,1.017,1.046,1.004,,,,,,2026-05-30 09:54
2026-05-30 13:00（临场②）,日职联 J League,2026-05-30 16:00,V-Varen Nagasaki,Mito HollyHock,Pinnacle,欧指,2.45,3.33,3.08,1.071,1.041,1.049,,,,,,2026-05-30 12:55
2026-05-30 13:00（临场②）,日职联 J League,2026-05-30 16:00,V-Varen Nagasaki,Mito HollyHock,Pinnacle,亚盘,,,,,,,-0.25,2.11,1.82,1.0,1.0,2026-05-30 12:55
2026-05-30 13:00（临场②）,日职联 J League,2026-05-30 16:00,V-Varen Nagasaki,Mito HollyHock,Marathon Bet,欧指,2.33,3.3,2.94,1.018,1.031,1.001,,,,,,2026-05-30 12:55
2026-05-30 14:30（临场③）,日职联 J League,2026-05-30 16:00,V-Varen Nagasaki,Mito HollyHock,Pinnacle,欧指,2.47,3.28,3.1,1.078,1.028,1.055,,,,,,2026-05-30 14:25
2026-05-30 14:30（临场③）,日职联 J League,2026-05-30 16:00,V-Varen Nagasaki,Mito HollyHock,Pinnacle,亚盘,,,,,,,-0.25,2.11,1.81,1.0,1.0,2026-05-30 14:25
2026-05-30 14:30（临场③）,日职联 J League,2026-05-30 16:00,V-Varen Nagasaki,Mito HollyHock,Marathon Bet,欧指,2.35,3.26,2.94,1.025,1.022,1.001,,,,,,2026-05-30 14:24
2026-05-30 15:30（临场④）,日职联 J League,2026-05-30 16:00,V-Varen Nagasaki,Mito HollyHock,Pinnacle,欧指,2.72,3.2,2.83,1.066,1.032,1.051,,,,,,2026-05-30 15:25
2026-05-30 15:30（临场④）,日职联 J League,2026-05-30 16:00,V-Varen Nagasaki,Mito HollyHock,Pinnacle,亚盘,,,,,,,0.0,1.92,1.99,1.0,1.0,2026-05-30 15:25
2026-05-30 15:30（临场④）,日职联 J League,2026-05-30 16:00,V-Varen Nagasaki,Mito HollyHock,Marathon Bet,欧指,2.58,3.18,2.7,1.011,1.025,1.003,,,,,,2026-05-30 15:24
