快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-29 13:00（初盘②）,日职联 J League,2026-05-31 13:00,Fagiano Okayama,Urawa Red Diamonds,Pinnacle,欧指,3.08,3.12,2.47,1.075,1.025,1.056,,,,,,2026-05-29 12:55
2026-05-29 13:00（初盘②）,日职联 J League,2026-05-31 13:00,Fagiano Okayama,Urawa Red Diamonds,Pinnacle,亚盘,,,,,,,0.25,1.77,2.11,1.0,1.0,2026-05-29 12:55
2026-05-29 13:00（初盘②）,日职联 J League,2026-05-31 13:00,Fagiano Okayama,Urawa Red Diamonds,Marathon Bet,欧指,2.96,3.2,2.38,1.033,1.051,1.017,,,,,,2026-05-29 12:54
2026-05-30 01:00（中盘①）,日职联 J League,2026-05-31 13:00,Fagiano Okayama,Urawa Red Diamonds,Pinnacle,欧指,3.08,3.12,2.47,1.068,1.016,1.05,,,,,,2026-05-30 00:55
2026-05-30 01:00（中盘①）,日职联 J League,2026-05-31 13:00,Fagiano Okayama,Urawa Red Diamonds,Pinnacle,亚盘,,,,,,,0.25,1.77,2.11,1.0,1.0,2026-05-30 00:55
2026-05-30 01:00（中盘①）,日职联 J League,2026-05-31 13:00,Fagiano Okayama,Urawa Red Diamonds,Marathon Bet,欧指,2.96,3.2,2.38,1.027,1.042,1.012,,,,,,2026-05-30 00:55
2026-05-30 13:00（中盘②）,日职联 J League,2026-05-31 13:00,Fagiano Okayama,Urawa Red Diamonds,Pinnacle,欧指,3.08,3.12,2.47,1.068,1.016,1.05,,,,,,2026-05-30 12:55
2026-05-30 13:00（中盘②）,日职联 J League,2026-05-31 13:00,Fagiano Okayama,Urawa Red Diamonds,Pinnacle,亚盘,,,,,,,0.25,1.78,2.12,1.0,1.0,2026-05-30 12:55
2026-05-30 13:00（中盘②）,日职联 J League,2026-05-31 13:00,Fagiano Okayama,Urawa Red Diamonds,Marathon Bet,欧指,2.96,3.2,2.38,1.027,1.042,1.012,,,,,,2026-05-30 12:55
2026-05-31 01:00（中盘③）,日职联 J League,2026-05-31 13:00,Fagiano Okayama,Urawa Red Diamonds,Pinnacle,欧指,3.15,3.16,2.47,1.088,1.024,1.049,,,,,,2026-05-31 00:55
2026-05-31 01:00（中盘③）,日职联 J League,2026-05-31 13:00,Fagiano Okayama,Urawa Red Diamonds,Pinnacle,亚盘,,,,,,,0.25,1.8,2.11,1.003,1.037,2026-05-31 00:55
2026-05-31 01:00（中盘③）,日职联 J League,2026-05-31 13:00,Fagiano Okayama,Urawa Red Diamonds,Marathon Bet,欧指,2.96,3.2,2.38,1.022,1.037,1.011,,,,,,2026-05-31 00:55
2026-05-31 07:00（临场①）,日职联 J League,2026-05-31 13:00,Fagiano Okayama,Urawa Red Diamonds,Pinnacle,欧指,3.16,3.16,2.5,1.057,1.032,1.059,,,,,,2026-05-31 06:55
2026-05-31 07:00（临场①）,日职联 J League,2026-05-31 13:00,Fagiano Okayama,Urawa Red Diamonds,Pinnacle,亚盘,,,,,,,0.25,1.8,2.13,1.0,1.044,2026-05-31 06:55
2026-05-31 07:00（临场①）,日职联 J League,2026-05-31 13:00,Fagiano Okayama,Urawa Red Diamonds,Marathon Bet,欧指,2.96,3.2,2.38,0.99,1.045,1.008,,,,,,2026-05-31 06:54
2026-05-31 10:00（临场②）,日职联 J League,2026-05-31 13:00,Fagiano Okayama,Urawa Red Diamonds,Pinnacle,欧指,3.22,3.16,2.46,1.072,1.032,1.046,,,,,,2026-05-31 09:55
2026-05-31 10:00（临场②）,日职联 J League,2026-05-31 13:00,Fagiano Okayama,Urawa Red Diamonds,Pinnacle,亚盘,,,,,,,0.25,1.83,2.1,1.0,1.045,2026-05-31 09:55
2026-05-31 10:00（临场②）,日职联 J League,2026-05-31 13:00,Fagiano Okayama,Urawa Red Diamonds,Marathon Bet,欧指,3.02,3.18,2.34,1.005,1.039,0.995,,,,,,2026-05-31 09:55
2026-05-31 11:30（临场③）,日职联 J League,2026-05-31 13:00,Fagiano Okayama,Urawa Red Diamonds,Pinnacle,欧指,3.1,3.19,2.52,1.064,1.042,1.048,,,,,,2026-05-31 11:25
2026-05-31 11:30（临场③）,日职联 J League,2026-05-31 13:00,Fagiano Okayama,Urawa Red Diamonds,Pinnacle,亚盘,,,,,,,0.25,1.79,2.15,1.011,1.026,2026-05-31 11:25
2026-05-31 11:30（临场③）,日职联 J League,2026-05-31 13:00,Fagiano Okayama,Urawa Red Diamonds,Marathon Bet,欧指,2.96,3.18,2.38,1.016,1.039,0.99,,,,,,2026-05-31 11:25
2026-05-31 12:30（临场④）,日职联 J League,2026-05-31 13:00,Fagiano Okayama,Urawa Red Diamonds,Pinnacle,欧指,2.79,3.19,2.78,1.037,1.049,1.067,,,,,,2026-05-31 12:25
2026-05-31 12:30（临场④）,日职联 J League,2026-05-31 13:00,Fagiano Okayama,Urawa Red Diamonds,Pinnacle,亚盘,,,,,,,0.0,1.95,1.95,1.021,1.018,2026-05-31 12:25
2026-05-31 12:30（临场④）,日职联 J League,2026-05-31 13:00,Fagiano Okayama,Urawa Red Diamonds,Marathon Bet,欧指,2.7,3.08,2.65,1.003,1.013,1.017,,,,,,2026-05-31 12:24
