快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-28 00:01（初盘①）,欧冠 Champions League,2026-05-31 00:00,Paris Saint Germain,Arsenal,1xBet,欧指,2.4,3.39,3.29,1.03,1.026,1.03,,,,,,2026-05-28 00:00
2026-05-28 00:01（初盘①）,欧冠 Champions League,2026-05-31 00:00,Paris Saint Germain,Arsenal,1xBet,亚盘,,,,,,,0.0,1.71,2.32,0.743,1.299,2026-05-28 00:00
2026-05-28 00:01（初盘①）,欧冠 Champions League,2026-05-31 00:00,Paris Saint Germain,Arsenal,Betfair,欧指,2.46,3.4,3.3,1.056,1.029,1.033,,,,,,2026-05-28 00:00
2026-05-28 00:01（初盘①）,欧冠 Champions League,2026-05-31 00:00,Paris Saint Germain,Arsenal,Pinnacle,欧指,2.36,3.35,3.22,1.013,1.014,1.008,,,,,,2026-05-28 00:00
2026-05-28 00:01（初盘①）,欧冠 Champions League,2026-05-31 00:00,Paris Saint Germain,Arsenal,Pinnacle,亚盘,,,,,,,-0.25,2.03,1.88,0.882,1.053,2026-05-28 00:00
2026-05-29 00:01（初盘②）,欧冠 Champions League,2026-05-31 00:00,Paris Saint Germain,Arsenal,1xBet,欧指,2.4,3.39,3.29,1.034,1.031,1.026,,,,,,2026-05-28 23:59
2026-05-29 00:01（初盘②）,欧冠 Champions League,2026-05-31 00:00,Paris Saint Germain,Arsenal,1xBet,亚盘,,,,,,,0.0,1.71,2.32,0.746,1.294,2026-05-28 23:59
2026-05-29 00:01（初盘②）,欧冠 Champions League,2026-05-31 00:00,Paris Saint Germain,Arsenal,Betfair,欧指,2.42,3.45,3.3,1.043,1.049,1.029,,,,,,2026-05-28 23:59
2026-05-29 00:01（初盘②）,欧冠 Champions League,2026-05-31 00:00,Paris Saint Germain,Arsenal,Pinnacle,欧指,2.35,3.36,3.23,1.013,1.021,1.007,,,,,,2026-05-28 23:59
2026-05-29 00:01（初盘②）,欧冠 Champions League,2026-05-31 00:00,Paris Saint Germain,Arsenal,Pinnacle,亚盘,,,,,,,-0.25,2.02,1.88,0.881,1.049,2026-05-28 23:59
2026-05-29 12:01（中盘①）,欧冠 Champions League,2026-05-31 00:00,Paris Saint Germain,Arsenal,1xBet,欧指,2.37,3.37,3.37,1.035,1.017,1.038,,,,,,2026-05-29 11:59
2026-05-29 12:01（中盘①）,欧冠 Champions League,2026-05-31 00:00,Paris Saint Germain,Arsenal,1xBet,亚盘,,,,,,,0.0,1.69,2.36,0.744,1.308,2026-05-29 11:59
2026-05-29 12:01（中盘①）,欧冠 Champions League,2026-05-31 00:00,Paris Saint Germain,Arsenal,Betfair,欧指,2.42,3.45,3.3,1.057,1.042,1.016,,,,,,2026-05-29 12:00
2026-05-29 12:01（中盘①）,欧冠 Champions League,2026-05-31 00:00,Paris Saint Germain,Arsenal,Pinnacle,欧指,2.32,3.37,3.28,1.013,1.017,1.01,,,,,,2026-05-29 12:00
