快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-28 13:00（初盘①）,日职联 J League,2026-05-31 13:00,Shimizu S Pulse,Yokohama F Marinos,Pinnacle,欧指,2.42,3.26,3.04,1.067,1.047,1.066,,,,,,2026-05-28 12:55
2026-05-28 13:00（初盘①）,日职联 J League,2026-05-31 13:00,Shimizu S Pulse,Yokohama F Marinos,Pinnacle,亚盘,,,,,,,-0.25,2.08,1.79,1.0,1.0,2026-05-28 12:55
2026-05-28 13:00（初盘①）,日职联 J League,2026-05-31 13:00,Shimizu S Pulse,Yokohama F Marinos,Marathon Bet,欧指,2.33,3.32,2.92,1.027,1.067,1.024,,,,,,2026-05-28 12:53
2026-05-29 13:00（初盘②）,日职联 J League,2026-05-31 13:00,Shimizu S Pulse,Yokohama F Marinos,Pinnacle,欧指,2.42,3.24,3.04,1.059,1.039,1.061,,,,,,2026-05-29 12:55
2026-05-29 13:00（初盘②）,日职联 J League,2026-05-31 13:00,Shimizu S Pulse,Yokohama F Marinos,Pinnacle,亚盘,,,,,,,-0.25,2.08,1.79,1.0,1.0,2026-05-29 12:55
2026-05-29 13:00（初盘②）,日职联 J League,2026-05-31 13:00,Shimizu S Pulse,Yokohama F Marinos,Marathon Bet,欧指,2.33,3.32,2.92,1.02,1.065,1.019,,,,,,2026-05-29 12:54
2026-05-30 01:00（中盘①）,日职联 J League,2026-05-31 13:00,Shimizu S Pulse,Yokohama F Marinos,Pinnacle,欧指,2.42,3.24,3.04,1.055,1.033,1.055,,,,,,2026-05-30 00:55
2026-05-30 01:00（中盘①）,日职联 J League,2026-05-31 13:00,Shimizu S Pulse,Yokohama F Marinos,Pinnacle,亚盘,,,,,,,-0.25,2.08,1.79,1.0,1.0,2026-05-30 00:55
2026-05-30 01:00（中盘①）,日职联 J League,2026-05-31 13:00,Shimizu S Pulse,Yokohama F Marinos,Marathon Bet,欧指,2.33,3.32,2.92,1.016,1.059,1.013,,,,,,2026-05-30 00:55
2026-05-30 13:00（中盘②）,日职联 J League,2026-05-31 13:00,Shimizu S Pulse,Yokohama F Marinos,Pinnacle,欧指,2.53,3.24,2.89,1.065,1.015,1.044,,,,,,2026-05-30 12:55
2026-05-30 13:00（中盘②）,日职联 J League,2026-05-31 13:00,Shimizu S Pulse,Yokohama F Marinos,Pinnacle,亚盘,,,,,,,0.0,1.81,2.07,1.0,1.0,2026-05-30 12:55
2026-05-30 13:00（中盘②）,日职联 J League,2026-05-31 13:00,Shimizu S Pulse,Yokohama F Marinos,Marathon Bet,欧指,2.41,3.3,2.82,1.014,1.034,1.019,,,,,,2026-05-30 12:55
2026-05-31 01:00（中盘③）,日职联 J League,2026-05-31 13:00,Shimizu S Pulse,Yokohama F Marinos,Pinnacle,欧指,2.59,3.29,2.87,1.079,1.029,1.039,,,,,,2026-05-31 00:55
2026-05-31 01:00（中盘③）,日职联 J League,2026-05-31 13:00,Shimizu S Pulse,Yokohama F Marinos,Pinnacle,亚盘,,,,,,,0.0,1.85,2.05,1.016,1.022,2026-05-31 00:55
2026-05-31 01:00（中盘③）,日职联 J League,2026-05-31 13:00,Shimizu S Pulse,Yokohama F Marinos,Marathon Bet,欧指,2.41,3.3,2.82,1.004,1.032,1.021,,,,,,2026-05-31 00:55
