快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-28 18:59（初盘①）,中超 CSL,2026-05-31 19:00,Tianjin Jinmen Tiger FC,Dalian Yingbo,Pinnacle,欧指,3.03,3.27,2.39,1.048,1.039,1.029,,,,,,2026-05-28 18:54
2026-05-28 18:59（初盘①）,中超 CSL,2026-05-31 19:00,Tianjin Jinmen Tiger FC,Dalian Yingbo,Pinnacle,亚盘,,,,,,,0.25,1.8,2.05,1.047,0.858,2026-05-28 18:54
2026-05-29 18:59（初盘②）,中超 CSL,2026-05-31 19:00,Tianjin Jinmen Tiger FC,Dalian Yingbo,Pinnacle,欧指,2.97,3.22,2.46,1.048,1.027,1.023,,,,,,2026-05-29 18:55
2026-05-29 18:59（初盘②）,中超 CSL,2026-05-31 19:00,Tianjin Jinmen Tiger FC,Dalian Yingbo,Pinnacle,亚盘,,,,,,,0.25,1.76,2.11,1.002,0.889,2026-05-29 18:55
2026-05-30 06:59（中盘①）,中超 CSL,2026-05-31 19:00,Tianjin Jinmen Tiger FC,Dalian Yingbo,Pinnacle,欧指,2.97,3.22,2.46,1.044,1.024,1.019,,,,,,2026-05-30 06:55
2026-05-30 06:59（中盘①）,中超 CSL,2026-05-31 19:00,Tianjin Jinmen Tiger FC,Dalian Yingbo,Pinnacle,亚盘,,,,,,,0.25,1.76,2.11,0.974,0.927,2026-05-30 06:55
2026-05-30 18:59（中盘②）,中超 CSL,2026-05-31 19:00,Tianjin Jinmen Tiger FC,Dalian Yingbo,Pinnacle,欧指,2.97,3.22,2.46,1.044,1.022,1.019,,,,,,2026-05-30 18:55
2026-05-30 18:59（中盘②）,中超 CSL,2026-05-31 19:00,Tianjin Jinmen Tiger FC,Dalian Yingbo,Pinnacle,亚盘,,,,,,,0.25,1.76,2.12,1.006,0.905,2026-05-30 18:55
2026-05-31 06:59（中盘③）,中超 CSL,2026-05-31 19:00,Tianjin Jinmen Tiger FC,Dalian Yingbo,Pinnacle,欧指,3.0,3.26,2.47,1.049,1.038,1.023,,,,,,2026-05-31 06:55
2026-05-31 06:59（中盘③）,中超 CSL,2026-05-31 19:00,Tianjin Jinmen Tiger FC,Dalian Yingbo,Pinnacle,亚盘,,,,,,,0.25,1.78,2.12,1.008,0.909,2026-05-31 06:55
2026-05-31 12:59（临场①）,中超 CSL,2026-05-31 19:00,Tianjin Jinmen Tiger FC,Dalian Yingbo,Pinnacle,欧指,3.11,3.29,2.42,1.068,1.041,1.01,,,,,,2026-05-31 12:55
2026-05-31 12:59（临场①）,中超 CSL,2026-05-31 19:00,Tianjin Jinmen Tiger FC,Dalian Yingbo,Pinnacle,亚盘,,,,,,,0.25,1.83,2.08,1.02,0.897,2026-05-31 12:55
2026-05-31 15:59（临场②）,中超 CSL,2026-05-31 19:00,Tianjin Jinmen Tiger FC,Dalian Yingbo,Pinnacle,欧指,3.07,3.3,2.44,1.053,1.043,1.018,,,,,,2026-05-31 15:55
2026-05-31 15:59（临场②）,中超 CSL,2026-05-31 19:00,Tianjin Jinmen Tiger FC,Dalian Yingbo,Pinnacle,亚盘,,,,,,,0.25,1.81,2.1,1.051,0.882,2026-05-31 15:55
2026-05-31 17:29（临场③）,中超 CSL,2026-05-31 19:00,Tianjin Jinmen Tiger FC,Dalian Yingbo,Pinnacle,欧指,2.85,3.24,2.64,1.034,1.03,1.047,,,,,,2026-05-31 17:24
2026-05-31 17:29（临场③）,中超 CSL,2026-05-31 19:00,Tianjin Jinmen Tiger FC,Dalian Yingbo,Pinnacle,亚盘,,,,,,,0.0,2.02,1.87,1.122,0.803,2026-05-31 17:24
2026-05-31 18:29（临场④）,中超 CSL,2026-05-31 19:00,Tianjin Jinmen Tiger FC,Dalian Yingbo,Pinnacle,欧指,2.89,3.24,2.61,1.031,1.035,1.04,,,,,,2026-05-31 18:25
2026-05-31 18:29（临场④）,中超 CSL,2026-05-31 19:00,Tianjin Jinmen Tiger FC,Dalian Yingbo,Pinnacle,亚盘,,,,,,,0.0,2.05,1.85,1.131,0.792,2026-05-31 18:25
2026-05-31 20:04（即时）,中超 CSL,2026-05-31 18:59,Tianjin Jinmen Tiger FC,Dalian Yingbo,Pinnacle,欧指,1.85,3.2,4.69,1.027,0.994,1.03,,,,,,2026-05-31 20:04
2026-05-31 20:04（即时）,中超 CSL,2026-05-31 18:59,Tianjin Jinmen Tiger FC,Dalian Yingbo,Pinnacle,亚盘,,,,,,,0.5,1.86,2.0,0.765,1.136,2026-05-31 20:04
