快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-05-28 19:35（初盘①）,中超 CSL,2026-05-31 19:35,Wuhan Three Towns,Yunnan Yukun,Pinnacle,欧指,2.81,3.56,2.39,1.057,1.025,1.018,,,,,,2026-05-28 19:30
2026-05-28 19:35（初盘①）,中超 CSL,2026-05-31 19:35,Wuhan Three Towns,Yunnan Yukun,Pinnacle,亚盘,,,,,,,0.25,1.78,2.09,0.889,0.982,2026-05-28 19:30
2026-05-29 19:35（初盘②）,中超 CSL,2026-05-31 19:35,Wuhan Three Towns,Yunnan Yukun,Pinnacle,欧指,2.81,3.58,2.38,1.054,1.025,1.014,,,,,,2026-05-29 19:29
2026-05-29 19:35（初盘②）,中超 CSL,2026-05-31 19:35,Wuhan Three Towns,Yunnan Yukun,Pinnacle,亚盘,,,,,,,0.25,1.78,2.08,0.903,0.974,2026-05-29 19:29
2026-05-30 07:35（中盘①）,中超 CSL,2026-05-31 19:35,Wuhan Three Towns,Yunnan Yukun,Pinnacle,欧指,2.72,3.65,2.42,1.03,1.04,1.027,,,,,,2026-05-30 07:30
2026-05-30 07:35（中盘①）,中超 CSL,2026-05-31 19:35,Wuhan Three Towns,Yunnan Yukun,Pinnacle,亚盘,,,,,,,0.0,2.04,1.81,1.033,0.869,2026-05-30 07:30
2026-05-30 19:35（中盘②）,中超 CSL,2026-05-31 19:35,Wuhan Three Towns,Yunnan Yukun,Pinnacle,欧指,2.89,3.65,2.3,1.055,1.029,1.002,,,,,,2026-05-30 19:30
2026-05-30 19:35（中盘②）,中超 CSL,2026-05-31 19:35,Wuhan Three Towns,Yunnan Yukun,Pinnacle,亚盘,,,,,,,0.25,1.84,2.02,1.05,0.891,2026-05-30 19:30
2026-05-31 07:35（中盘③）,中超 CSL,2026-05-31 19:35,Wuhan Three Towns,Yunnan Yukun,Pinnacle,欧指,2.85,3.7,2.36,1.044,1.04,1.021,,,,,,2026-05-31 07:30
2026-05-31 07:35（中盘③）,中超 CSL,2026-05-31 19:35,Wuhan Three Towns,Yunnan Yukun,Pinnacle,亚盘,,,,,,,0.25,1.81,2.07,1.012,0.923,2026-05-31 07:30
2026-05-31 16:35（临场②）,中超 CSL,2026-05-31 19:35,Wuhan Three Towns,Yunnan Yukun,Pinnacle,欧指,2.86,3.79,2.35,1.044,1.055,1.02,,,,,,2026-05-31 16:30
2026-05-31 16:35（临场②）,中超 CSL,2026-05-31 19:35,Wuhan Three Towns,Yunnan Yukun,Pinnacle,亚盘,,,,,,,0.25,1.83,2.07,1.043,0.922,2026-05-31 16:30
2026-05-31 18:05（临场③）,中超 CSL,2026-05-31 19:35,Wuhan Three Towns,Yunnan Yukun,Pinnacle,欧指,2.73,3.81,2.44,1.03,1.048,1.038,,,,,,2026-05-31 18:00
2026-05-31 18:05（临场③）,中超 CSL,2026-05-31 19:35,Wuhan Three Towns,Yunnan Yukun,Pinnacle,亚盘,,,,,,,0.0,2.06,1.84,1.141,0.826,2026-05-31 18:00
2026-05-31 19:05（临场④）,中超 CSL,2026-05-31 19:35,Wuhan Three Towns,Yunnan Yukun,Pinnacle,欧指,2.49,3.88,2.63,1.026,1.056,1.03,,,,,,2026-05-31 19:00
2026-05-31 19:05（临场④）,中超 CSL,2026-05-31 19:35,Wuhan Three Towns,Yunnan Yukun,Pinnacle,亚盘,,,,,,,0.0,1.89,2.0,1.102,0.847,2026-05-31 19:00
2026-05-31 20:05（即时）,中超 CSL,2026-05-31 19:35,Wuhan Three Towns,Yunnan Yukun,Pinnacle,欧指,2.07,3.28,3.59,1.048,0.986,1.074,,,,,,2026-05-31 20:05
2026-05-31 20:05（即时）,中超 CSL,2026-05-31 19:35,Wuhan Three Towns,Yunnan Yukun,Pinnacle,亚盘,,,,,,,-0.25,1.79,2.07,0.758,1.19,2026-05-31 20:05
