快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-06-09 03:00（初盘①）,世界杯 FIFA World Cup,2026-06-12 03:00,Mexico,South Africa,Pinnacle,欧指,1.41,4.61,8.74,0.996,1.043,1.019,,,,,,2026-06-09 02:55
2026-06-09 03:00（初盘①）,世界杯 FIFA World Cup,2026-06-12 03:00,Mexico,South Africa,Pinnacle,亚盘,,,,,,,-1.25,2.05,1.87,1.042,0.977,2026-06-09 02:55
2026-06-09 03:00（初盘①）,世界杯 FIFA World Cup,2026-06-12 03:00,Mexico,South Africa,Betfair,欧指,1.45,4.7,9.8,1.025,1.064,1.143,,,,,,2026-06-09 02:55
2026-06-09 03:00（初盘①）,世界杯 FIFA World Cup,2026-06-12 03:00,Mexico,South Africa,William Hill,欧指,1.44,4.0,7.5,1.017,0.905,0.875,,,,,,2026-06-09 02:55
2026-06-10 03:00（初盘②）,世界杯 FIFA World Cup,2026-06-12 03:00,Mexico,South Africa,Pinnacle,欧指,1.41,4.62,8.77,1.001,1.035,0.999,,,,,,2026-06-10 02:54
2026-06-10 03:00（初盘②）,世界杯 FIFA World Cup,2026-06-12 03:00,Mexico,South Africa,Pinnacle,亚盘,,,,,,,-1.25,2.04,1.87,1.019,1.003,2026-06-10 02:54
2026-06-10 03:00（初盘②）,世界杯 FIFA World Cup,2026-06-12 03:00,Mexico,South Africa,Betfair,欧指,1.44,4.8,9.8,1.023,1.075,1.116,,,,,,2026-06-10 02:55
2026-06-10 03:00（初盘②）,世界杯 FIFA World Cup,2026-06-12 03:00,Mexico,South Africa,William Hill,欧指,1.4,4.2,8.0,0.994,0.941,0.911,,,,,,2026-06-10 02:53
2026-06-10 15:00（中盘①）,世界杯 FIFA World Cup,2026-06-12 03:00,Mexico,South Africa,Pinnacle,欧指,1.41,4.62,8.76,0.999,1.035,1.004,,,,,,2026-06-10 14:55
2026-06-10 15:00（中盘①）,世界杯 FIFA World Cup,2026-06-12 03:00,Mexico,South Africa,Pinnacle,亚盘,,,,,,,-1.25,2.04,1.87,1.023,0.988,2026-06-10 14:55
