快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-06-09 10:00（初盘①）,世界杯 FIFA World Cup,2026-06-12 10:00,South Korea,Czech Republic,Betfair,欧指,2.74,3.25,3.0,1.04,1.038,1.055,,,,,,2026-06-09 09:55
2026-06-09 10:00（初盘①）,世界杯 FIFA World Cup,2026-06-12 10:00,South Korea,Czech Republic,Pinnacle,欧指,2.66,3.14,2.95,1.01,1.003,1.038,,,,,,2026-06-09 09:55
2026-06-09 10:00（初盘①）,世界杯 FIFA World Cup,2026-06-12 10:00,South Korea,Czech Republic,Pinnacle,亚盘,,,,,,,0.0,1.85,2.06,0.95,1.078,2026-06-09 09:55
2026-06-09 10:00（初盘①）,世界杯 FIFA World Cup,2026-06-12 10:00,South Korea,Czech Republic,William Hill,欧指,2.6,3.0,2.8,0.987,0.959,0.985,,,,,,2026-06-09 09:54
2026-06-10 10:00（初盘②）,世界杯 FIFA World Cup,2026-06-12 10:00,South Korea,Czech Republic,Betfair,欧指,2.78,3.25,2.96,1.055,1.042,1.042,,,,,,2026-06-10 09:55
2026-06-10 10:00（初盘②）,世界杯 FIFA World Cup,2026-06-12 10:00,South Korea,Czech Republic,Pinnacle,欧指,2.67,3.14,2.94,1.013,1.007,1.035,,,,,,2026-06-10 09:54
2026-06-10 10:00（初盘②）,世界杯 FIFA World Cup,2026-06-12 10:00,South Korea,Czech Republic,Pinnacle,亚盘,,,,,,,0.0,1.86,2.05,0.955,1.072,2026-06-10 09:54
2026-06-10 10:00（初盘②）,世界杯 FIFA World Cup,2026-06-12 10:00,South Korea,Czech Republic,William Hill,欧指,2.6,3.0,2.8,0.987,0.962,0.986,,,,,,2026-06-10 09:54
2026-06-10 22:00（中盘①）,世界杯 FIFA World Cup,2026-06-12 10:00,South Korea,Czech Republic,Betfair,欧指,2.78,3.2,2.98,1.053,1.033,1.045,,,,,,2026-06-10 21:55
2026-06-10 22:00（中盘①）,世界杯 FIFA World Cup,2026-06-12 10:00,South Korea,Czech Republic,Pinnacle,欧指,2.7,3.15,2.9,1.023,1.017,1.017,,,,,,2026-06-10 21:55
2026-06-10 22:00（中盘①）,世界杯 FIFA World Cup,2026-06-12 10:00,South Korea,Czech Republic,Pinnacle,亚盘,,,,,,,0.0,1.88,2.03,0.956,1.061,2026-06-10 21:55
2026-06-10 22:00（中盘①）,世界杯 FIFA World Cup,2026-06-12 10:00,South Korea,Czech Republic,William Hill,欧指,2.6,3.0,2.8,0.985,0.968,0.982,,,,,,2026-06-10 21:55
2026-06-11 10:00（中盘②）,世界杯 FIFA World Cup,2026-06-12 10:00,South Korea,Czech Republic,Betfair,欧指,2.8,3.2,2.98,1.048,1.039,1.053,,,,,,2026-06-11 09:55
2026-06-11 10:00（中盘②）,世界杯 FIFA World Cup,2026-06-12 10:00,South Korea,Czech Republic,Pinnacle,欧指,2.74,3.1,2.89,1.026,1.006,1.022,,,,,,2026-06-11 09:55
2026-06-11 10:00（中盘②）,世界杯 FIFA World Cup,2026-06-12 10:00,South Korea,Czech Republic,Pinnacle,亚盘,,,,,,,0.0,1.9,2.01,1.024,1.012,2026-06-11 09:55
2026-06-11 10:00（中盘②）,世界杯 FIFA World Cup,2026-06-12 10:00,South Korea,Czech Republic,William Hill,欧指,2.62,3.0,2.75,0.981,0.974,0.972,,,,,,2026-06-11 09:55
2026-06-11 22:00（中盘③）,世界杯 FIFA World Cup,2026-06-12 10:00,South Korea,Czech Republic,Betfair,欧指,2.76,3.15,3.05,0.997,1.047,1.023,,,,,,2026-06-11 21:55
2026-06-11 22:00（中盘③）,世界杯 FIFA World Cup,2026-06-12 10:00,South Korea,Czech Republic,Pinnacle,欧指,2.76,3.1,2.97,0.997,1.03,0.996,,,,,,2026-06-11 21:55
2026-06-11 22:00（中盘③）,世界杯 FIFA World Cup,2026-06-12 10:00,South Korea,Czech Republic,Pinnacle,亚盘,,,,,,,0.0,1.89,2.04,0.961,1.052,2026-06-11 21:55
2026-06-11 22:00（中盘③）,世界杯 FIFA World Cup,2026-06-12 10:00,South Korea,Czech Republic,William Hill,欧指,2.62,2.9,2.8,0.946,0.964,0.939,,,,,,2026-06-11 21:54
2026-06-12 04:00（临场①）,世界杯 FIFA World Cup,2026-06-12 10:00,South Korea,Czech Republic,Betfair,欧指,2.72,3.15,3.1,1.036,1.035,1.045,,,,,,2026-06-12 03:55
