快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-06-10 03:00（初盘①）,世界杯 FIFA World Cup,2026-06-13 03:00,Canada,Bosnia & Herzegovina,Betfair,欧指,1.88,3.7,4.9,1.037,1.029,1.083,,,,,,2026-06-10 02:55
2026-06-10 03:00（初盘①）,世界杯 FIFA World Cup,2026-06-13 03:00,Canada,Bosnia & Herzegovina,Pinnacle,欧指,1.83,3.71,4.57,1.01,1.032,1.01,,,,,,2026-06-10 02:54
2026-06-10 03:00（初盘①）,世界杯 FIFA World Cup,2026-06-13 03:00,Canada,Bosnia & Herzegovina,Pinnacle,亚盘,,,,,,,-0.5,1.83,2.08,0.926,0.997,2026-06-10 02:54
2026-06-10 03:00（初盘①）,世界杯 FIFA World Cup,2026-06-13 03:00,Canada,Bosnia & Herzegovina,William Hill,欧指,1.8,3.5,4.33,0.993,0.973,0.957,,,,,,2026-06-10 02:53
2026-06-11 03:00（初盘②）,世界杯 FIFA World Cup,2026-06-13 03:00,Canada,Bosnia & Herzegovina,Betfair,欧指,1.87,3.7,5.0,1.046,1.03,1.066,,,,,,2026-06-11 02:55
2026-06-11 03:00（初盘②）,世界杯 FIFA World Cup,2026-06-13 03:00,Canada,Bosnia & Herzegovina,Pinnacle,欧指,1.81,3.63,4.84,1.012,1.011,1.032,,,,,,2026-06-11 02:55
2026-06-11 03:00（初盘②）,世界杯 FIFA World Cup,2026-06-13 03:00,Canada,Bosnia & Herzegovina,Pinnacle,亚盘,,,,,,,-0.75,2.07,1.85,0.958,1.009,2026-06-11 02:55
2026-06-11 03:00（初盘②）,世界杯 FIFA World Cup,2026-06-13 03:00,Canada,Bosnia & Herzegovina,William Hill,欧指,1.8,3.4,4.4,1.007,0.947,0.938,,,,,,2026-06-11 02:55
2026-06-11 15:00（中盘①）,世界杯 FIFA World Cup,2026-06-13 03:00,Canada,Bosnia & Herzegovina,Betfair,欧指,1.87,3.75,4.9,1.033,1.07,1.057,,,,,,2026-06-11 14:55
2026-06-11 15:00（中盘①）,世界杯 FIFA World Cup,2026-06-13 03:00,Canada,Bosnia & Herzegovina,Pinnacle,欧指,1.84,3.6,4.67,1.016,1.027,1.007,,,,,,2026-06-11 14:55
