快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-06-11 12:00（初盘①）,世界杯 FIFA World Cup,2026-06-14 12:00,Australia,Turkey,Betfair,欧指,5.7,3.9,1.75,1.107,1.041,1.029,,,,,,2026-06-11 11:54
2026-06-11 12:00（初盘①）,世界杯 FIFA World Cup,2026-06-14 12:00,Australia,Turkey,Pinnacle,欧指,5.23,3.89,1.7,1.016,1.038,0.999,,,,,,2026-06-11 11:55
2026-06-11 12:00（初盘①）,世界杯 FIFA World Cup,2026-06-14 12:00,Australia,Turkey,Pinnacle,亚盘,,,,,,,0.75,1.99,1.92,1.019,0.954,2026-06-11 11:55
2026-06-12 12:00（初盘②）,世界杯 FIFA World Cup,2026-06-14 12:00,Australia,Turkey,Betfair,欧指,5.5,3.95,1.76,1.07,1.045,1.032,,,,,,2026-06-12 11:55
2026-06-12 12:00（初盘②）,世界杯 FIFA World Cup,2026-06-14 12:00,Australia,Turkey,Pinnacle,欧指,5.07,3.8,1.74,0.987,1.005,1.02,,,,,,2026-06-12 11:55
2026-06-12 12:00（初盘②）,世界杯 FIFA World Cup,2026-06-14 12:00,Australia,Turkey,Pinnacle,亚盘,,,,,,,0.75,1.93,1.97,0.962,1.007,2026-06-12 11:55
2026-06-13 00:00（中盘①）,世界杯 FIFA World Cup,2026-06-14 12:00,Australia,Turkey,Betfair,欧指,5.5,3.9,1.77,1.07,1.029,1.039,,,,,,2026-06-12 23:55
2026-06-13 00:00（中盘①）,世界杯 FIFA World Cup,2026-06-14 12:00,Australia,Turkey,Pinnacle,欧指,5.04,3.81,1.74,0.981,1.005,1.022,,,,,,2026-06-12 23:55
2026-06-13 00:00（中盘①）,世界杯 FIFA World Cup,2026-06-14 12:00,Australia,Turkey,Pinnacle,亚盘,,,,,,,0.75,1.93,1.97,0.958,1.002,2026-06-12 23:55
2026-06-13 12:00（中盘②）,世界杯 FIFA World Cup,2026-06-14 12:00,Australia,Turkey,Betfair,欧指,5.5,3.9,1.77,1.068,1.033,1.036,,,,,,2026-06-13 11:55
2026-06-13 12:00（中盘②）,世界杯 FIFA World Cup,2026-06-14 12:00,Australia,Turkey,Pinnacle,欧指,5.13,3.85,1.72,0.996,1.02,1.007,,,,,,2026-06-13 11:55
2026-06-13 12:00（中盘②）,世界杯 FIFA World Cup,2026-06-14 12:00,Australia,Turkey,Pinnacle,亚盘,,,,,,,0.75,1.96,1.94,0.982,0.989,2026-06-13 11:55
2026-06-14 00:00（中盘③）,世界杯 FIFA World Cup,2026-06-14 12:00,Australia,Turkey,Betfair,欧指,5.7,3.95,1.74,1.084,1.046,1.021,,,,,,2026-06-13 23:55
2026-06-14 00:00（中盘③）,世界杯 FIFA World Cup,2026-06-14 12:00,Australia,Turkey,Pinnacle,欧指,5.43,3.87,1.72,1.033,1.025,1.009,,,,,,2026-06-13 23:55
2026-06-14 00:00（中盘③）,世界杯 FIFA World Cup,2026-06-14 12:00,Australia,Turkey,Pinnacle,亚盘,,,,,,,0.75,2.0,1.93,0.985,0.991,2026-06-13 23:55
2026-06-14 06:00（临场①）,世界杯 FIFA World Cup,2026-06-14 12:00,Australia,Turkey,Betfair,欧指,5.7,3.95,1.74,1.076,1.045,1.024,,,,,,2026-06-14 05:55
2026-06-14 06:00（临场①）,世界杯 FIFA World Cup,2026-06-14 12:00,Australia,Turkey,Pinnacle,欧指,5.44,3.88,1.71,1.026,1.026,1.006,,,,,,2026-06-14 05:55
2026-06-14 06:00（临场①）,世界杯 FIFA World Cup,2026-06-14 12:00,Australia,Turkey,Pinnacle,亚盘,,,,,,,0.75,2.0,1.93,1.015,0.96,2026-06-14 05:55
2026-06-14 09:00（临场②）,世界杯 FIFA World Cup,2026-06-14 12:00,Australia,Turkey,Betfair,欧指,5.7,3.95,1.73,1.07,1.04,1.022,,,,,,2026-06-14 08:55
2026-06-14 09:00（临场②）,世界杯 FIFA World Cup,2026-06-14 12:00,Australia,Turkey,Pinnacle,欧指,5.49,3.89,1.71,1.031,1.024,1.011,,,,,,2026-06-14 08:55
2026-06-14 09:00（临场②）,世界杯 FIFA World Cup,2026-06-14 12:00,Australia,Turkey,Pinnacle,亚盘,,,,,,,0.75,2.02,1.92,1.019,0.959,2026-06-14 08:55
2026-06-14 10:30（临场③）,世界杯 FIFA World Cup,2026-06-14 12:00,Australia,Turkey,Betfair,欧指,5.7,3.95,1.74,1.062,1.038,1.028,,,,,,2026-06-14 10:25
2026-06-14 10:30（临场③）,世界杯 FIFA World Cup,2026-06-14 12:00,Australia,Turkey,Pinnacle,欧指,5.53,3.83,1.72,1.031,1.007,1.016,,,,,,2026-06-14 10:25
2026-06-14 10:30（临场③）,世界杯 FIFA World Cup,2026-06-14 12:00,Australia,Turkey,Pinnacle,亚盘,,,,,,,0.75,2.0,1.93,1.013,0.96,2026-06-14 10:25
2026-06-14 11:30（临场④）,世界杯 FIFA World Cup,2026-06-14 12:00,Australia,Turkey,Betfair,欧指,5.7,3.85,1.75,1.075,1.027,1.02,,,,,,2026-06-14 11:25
2026-06-14 11:30（临场④）,世界杯 FIFA World Cup,2026-06-14 12:00,Australia,Turkey,Pinnacle,欧指,5.32,3.68,1.77,1.003,0.981,1.032,,,,,,2026-06-14 11:25
2026-06-14 11:30（临场④）,世界杯 FIFA World Cup,2026-06-14 12:00,Australia,Turkey,Pinnacle,亚盘,,,,,,,0.75,1.93,2.01,0.963,1.014,2026-06-14 11:25
