快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-06-11 06:04（初盘①）,世界杯 FIFA World Cup,2026-06-14 06:00,Brazil,Morocco,Pinnacle,欧指,1.68,3.77,5.6,1.02,0.985,1.006,,,,,,2026-06-11 06:00
2026-06-11 06:04（初盘①）,世界杯 FIFA World Cup,2026-06-14 06:00,Brazil,Morocco,Pinnacle,亚盘,,,,,,,-0.75,1.89,2.02,0.869,1.15,2026-06-11 06:00
2026-06-11 06:04（初盘①）,世界杯 FIFA World Cup,2026-06-14 06:00,Brazil,Morocco,Betfair,欧指,1.72,3.9,5.9,1.045,1.019,1.06,,,,,,2026-06-11 06:00
2026-06-12 06:04（初盘②）,世界杯 FIFA World Cup,2026-06-14 06:00,Brazil,Morocco,Pinnacle,欧指,1.7,3.74,5.52,1.018,0.979,1.006,,,,,,2026-06-12 06:00
2026-06-12 06:04（初盘②）,世界杯 FIFA World Cup,2026-06-14 06:00,Brazil,Morocco,Pinnacle,亚盘,,,,,,,-0.75,1.91,2.0,0.899,1.091,2026-06-12 06:00
2026-06-12 06:04（初盘②）,世界杯 FIFA World Cup,2026-06-14 06:00,Brazil,Morocco,Betfair,欧指,1.73,3.95,5.8,1.036,1.034,1.057,,,,,,2026-06-12 06:00
2026-06-12 18:04（中盘①）,世界杯 FIFA World Cup,2026-06-14 06:00,Brazil,Morocco,Pinnacle,欧指,1.65,3.88,5.81,1.007,1.0,1.019,,,,,,2026-06-12 18:00
2026-06-12 18:04（中盘①）,世界杯 FIFA World Cup,2026-06-14 06:00,Brazil,Morocco,Pinnacle,亚盘,,,,,,,-0.75,1.84,2.08,0.889,1.105,2026-06-12 18:00
2026-06-12 18:04（中盘①）,世界杯 FIFA World Cup,2026-06-14 06:00,Brazil,Morocco,Betfair,欧指,1.69,4.0,6.0,1.031,1.031,1.052,,,,,,2026-06-12 18:00
2026-06-13 06:04（中盘②）,世界杯 FIFA World Cup,2026-06-14 06:00,Brazil,Morocco,Pinnacle,欧指,1.69,3.76,5.58,1.013,0.987,1.023,,,,,,2026-06-13 05:59
