快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-06-12 01:00（初盘①）,世界杯 FIFA World Cup,2026-06-15 01:00,Germany,Curaçao,Pinnacle,欧指,1.04,19.0,41.0,0.998,1.074,1.024,,,,,,2026-06-12 00:55
2026-06-12 01:00（初盘①）,世界杯 FIFA World Cup,2026-06-15 01:00,Germany,Curaçao,Pinnacle,亚盘,,,,,,,-3.25,1.84,2.02,0.933,1.09,2026-06-12 00:55
2026-06-12 01:00（初盘①）,世界杯 FIFA World Cup,2026-06-15 01:00,Germany,Curaçao,Betfair,欧指,1.06,23.0,44.0,1.018,1.3,1.099,,,,,,2026-06-12 00:55
2026-06-12 01:00（初盘①）,世界杯 FIFA World Cup,2026-06-15 01:00,Germany,Curaçao,William Hill,欧指,1.05,15.0,36.0,1.008,0.848,0.899,,,,,,2026-06-12 00:55
2026-06-13 01:00（初盘②）,世界杯 FIFA World Cup,2026-06-15 01:00,Germany,Curaçao,Pinnacle,欧指,1.04,19.0,41.0,0.997,1.077,1.008,,,,,,2026-06-13 00:55
2026-06-13 01:00（初盘②）,世界杯 FIFA World Cup,2026-06-15 01:00,Germany,Curaçao,Pinnacle,亚盘,,,,,,,-3.5,2.0,1.85,1.0,1.009,2026-06-13 00:55
2026-06-13 01:00（初盘②）,世界杯 FIFA World Cup,2026-06-15 01:00,Germany,Curaçao,Betfair,欧指,1.06,25.0,44.0,1.016,1.417,1.082,,,,,,2026-06-13 00:55
2026-06-13 01:00（初盘②）,世界杯 FIFA World Cup,2026-06-15 01:00,Germany,Curaçao,William Hill,欧指,1.05,17.0,36.0,1.007,0.964,0.885,,,,,,2026-06-13 00:54
2026-06-13 13:00（中盘①）,世界杯 FIFA World Cup,2026-06-15 01:00,Germany,Curaçao,Pinnacle,欧指,1.04,19.0,41.0,0.998,1.073,1.011,,,,,,2026-06-13 12:55
2026-06-13 13:00（中盘①）,世界杯 FIFA World Cup,2026-06-15 01:00,Germany,Curaçao,Pinnacle,亚盘,,,,,,,-3.25,1.85,2.0,0.954,1.058,2026-06-13 12:55
