快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-06-12 04:00（初盘①）,世界杯 FIFA World Cup,2026-06-15 04:00,Netherlands,Japan,Pinnacle,欧指,2.04,3.62,3.72,1.008,1.024,1.014,,,,,,2026-06-12 03:55
2026-06-12 04:00（初盘①）,世界杯 FIFA World Cup,2026-06-15 04:00,Netherlands,Japan,Pinnacle,亚盘,,,,,,,-0.5,2.05,1.86,1.057,0.948,2026-06-12 03:55
2026-06-12 04:00（初盘①）,世界杯 FIFA World Cup,2026-06-15 04:00,Netherlands,Japan,Betfair,欧指,2.08,3.7,3.9,1.028,1.047,1.064,,,,,,2026-06-12 03:55
2026-06-12 04:00（初盘①）,世界杯 FIFA World Cup,2026-06-15 04:00,Netherlands,Japan,William Hill,欧指,1.95,3.4,3.6,0.964,0.962,0.982,,,,,,2026-06-12 03:55
2026-06-13 04:00（初盘②）,世界杯 FIFA World Cup,2026-06-15 04:00,Netherlands,Japan,Pinnacle,欧指,2.01,3.65,3.82,1.011,1.022,1.015,,,,,,2026-06-13 03:55
2026-06-13 04:00（初盘②）,世界杯 FIFA World Cup,2026-06-15 04:00,Netherlands,Japan,Pinnacle,亚盘,,,,,,,-0.5,2.02,1.89,1.053,0.948,2026-06-13 03:55
2026-06-13 04:00（初盘②）,世界杯 FIFA World Cup,2026-06-15 04:00,Netherlands,Japan,Betfair,欧指,2.08,3.7,3.95,1.047,1.036,1.049,,,,,,2026-06-13 03:55
2026-06-13 04:00（初盘②）,世界杯 FIFA World Cup,2026-06-15 04:00,Netherlands,Japan,William Hill,欧指,1.95,3.4,3.75,0.981,0.952,0.996,,,,,,2026-06-13 03:55
2026-06-13 16:00（中盘①）,世界杯 FIFA World Cup,2026-06-15 04:00,Netherlands,Japan,Pinnacle,欧指,2.01,3.64,3.8,1.013,1.022,1.014,,,,,,2026-06-13 15:55
2026-06-13 16:00（中盘①）,世界杯 FIFA World Cup,2026-06-15 04:00,Netherlands,Japan,Pinnacle,亚盘,,,,,,,-0.5,2.02,1.88,1.052,0.947,2026-06-13 15:55
2026-06-13 16:00（中盘①）,世界杯 FIFA World Cup,2026-06-15 04:00,Netherlands,Japan,Betfair,欧指,2.08,3.7,3.9,1.048,1.039,1.041,,,,,,2026-06-13 15:55
2026-06-13 16:00（中盘①）,世界杯 FIFA World Cup,2026-06-15 04:00,Netherlands,Japan,William Hill,欧指,1.95,3.4,3.75,0.983,0.955,1.001,,,,,,2026-06-13 15:55
2026-06-14 04:00（中盘②）,世界杯 FIFA World Cup,2026-06-15 04:00,Netherlands,Japan,Pinnacle,欧指,2.0,3.7,3.77,1.003,1.043,1.005,,,,,,2026-06-14 03:55
2026-06-14 04:00（中盘②）,世界杯 FIFA World Cup,2026-06-15 04:00,Netherlands,Japan,Pinnacle,亚盘,,,,,,,-0.5,2.01,1.89,1.048,0.95,2026-06-14 03:55
2026-06-14 04:00（中盘②）,世界杯 FIFA World Cup,2026-06-15 04:00,Netherlands,Japan,Betfair,欧指,2.08,3.7,3.95,1.043,1.043,1.053,,,,,,2026-06-14 03:55
2026-06-14 04:00（中盘②）,世界杯 FIFA World Cup,2026-06-15 04:00,Netherlands,Japan,William Hill,欧指,1.95,3.4,3.7,0.978,0.959,0.986,,,,,,2026-06-14 03:54
2026-06-14 16:00（中盘③）,世界杯 FIFA World Cup,2026-06-15 04:00,Netherlands,Japan,Pinnacle,欧指,2.07,3.56,3.78,1.025,1.012,1.023,,,,,,2026-06-14 15:55
2026-06-14 16:00（中盘③）,世界杯 FIFA World Cup,2026-06-15 04:00,Netherlands,Japan,Pinnacle,亚盘,,,,,,,-0.5,2.08,1.85,1.058,0.951,2026-06-14 15:55
2026-06-14 16:00（中盘③）,世界杯 FIFA World Cup,2026-06-15 04:00,Netherlands,Japan,Betfair,欧指,2.1,3.6,3.9,1.04,1.023,1.056,,,,,,2026-06-14 15:55
2026-06-14 16:00（中盘③）,世界杯 FIFA World Cup,2026-06-15 04:00,Netherlands,Japan,William Hill,欧指,2.0,3.4,3.5,0.991,0.966,0.947,,,,,,2026-06-14 15:54
2026-06-14 22:00（临场①）,世界杯 FIFA World Cup,2026-06-15 04:00,Netherlands,Japan,Pinnacle,欧指,2.1,3.48,3.86,1.022,1.014,1.047,,,,,,2026-06-14 21:55
2026-06-14 22:00（临场①）,世界杯 FIFA World Cup,2026-06-15 04:00,Netherlands,Japan,Pinnacle,亚盘,,,,,,,-0.5,2.1,1.84,1.061,0.95,2026-06-14 21:55
2026-06-14 22:00（临场①）,世界杯 FIFA World Cup,2026-06-15 04:00,Netherlands,Japan,Betfair,欧指,2.14,3.55,3.9,1.042,1.035,1.058,,,,,,2026-06-14 21:55
2026-06-14 22:00（临场①）,世界杯 FIFA World Cup,2026-06-15 04:00,Netherlands,Japan,William Hill,欧指,2.0,3.3,3.5,0.974,0.962,0.949,,,,,,2026-06-14 21:55
2026-06-15 00:36（即时）,世界杯 FIFA World Cup,2026-06-15 04:00,Netherlands,Japan,Pinnacle,欧指,2.09,3.5,3.87,1.013,1.02,1.051,,,,,,2026-06-15 00:36
2026-06-15 00:36（即时）,世界杯 FIFA World Cup,2026-06-15 04:00,Netherlands,Japan,Pinnacle,亚盘,,,,,,,-0.5,2.1,1.85,1.058,0.954,2026-06-15 00:36
2026-06-15 00:36（即时）,世界杯 FIFA World Cup,2026-06-15 04:00,Netherlands,Japan,Betfair,欧指,2.14,3.55,3.9,1.038,1.035,1.059,,,,,,2026-06-15 00:36
2026-06-15 00:36（即时）,世界杯 FIFA World Cup,2026-06-15 04:00,Netherlands,Japan,William Hill,欧指,2.0,3.3,3.5,0.97,0.962,0.95,,,,,,2026-06-15 00:36
