快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-06-12 10:00（初盘①）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Betfair,欧指,1.94,3.6,4.7,1.023,1.05,1.082,,,,,,2026-06-12 09:55
2026-06-12 10:00（初盘①）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Pinnacle,欧指,1.91,3.51,4.43,1.007,1.024,1.02,,,,,,2026-06-12 09:55
2026-06-12 10:00（初盘①）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Pinnacle,亚盘,,,,,,,-0.5,1.92,1.99,1.057,0.94,2026-06-12 09:55
2026-06-12 10:00（初盘①）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,William Hill,欧指,1.85,3.3,4.2,0.975,0.963,0.967,,,,,,2026-06-12 09:54
2026-06-13 10:00（初盘②）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Betfair,欧指,1.95,3.65,4.6,1.033,1.064,1.061,,,,,,2026-06-13 09:55
2026-06-13 10:00（初盘②）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Pinnacle,欧指,1.89,3.56,4.42,1.001,1.038,1.019,,,,,,2026-06-13 09:55
2026-06-13 10:00（初盘②）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Pinnacle,亚盘,,,,,,,-0.5,1.9,2.0,1.048,0.94,2026-06-13 09:55
2026-06-13 10:00（初盘②）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,William Hill,欧指,1.85,3.3,4.2,0.98,0.962,0.968,,,,,,2026-06-13 09:54
2026-06-13 22:00（中盘①）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Betfair,欧指,1.96,3.6,4.6,1.04,1.052,1.051,,,,,,2026-06-13 21:55
2026-06-13 22:00（中盘①）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Pinnacle,欧指,1.91,3.54,4.36,1.014,1.035,0.996,,,,,,2026-06-13 21:55
2026-06-13 22:00（中盘①）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Pinnacle,亚盘,,,,,,,-0.5,1.92,1.98,1.053,0.94,2026-06-13 21:55
2026-06-13 22:00（中盘①）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,William Hill,欧指,1.85,3.3,4.2,0.982,0.965,0.959,,,,,,2026-06-13 21:54
2026-06-14 10:00（中盘②）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Betfair,欧指,1.98,3.6,4.5,1.053,1.045,1.021,,,,,,2026-06-14 09:55
2026-06-14 10:00（中盘②）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Pinnacle,欧指,1.93,3.52,4.32,1.026,1.022,0.98,,,,,,2026-06-14 09:55
2026-06-14 10:00（中盘②）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Pinnacle,亚盘,,,,,,,-0.5,1.93,1.97,1.05,0.943,2026-06-14 09:55
2026-06-14 10:00（中盘②）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,William Hill,欧指,1.85,3.3,4.2,0.984,0.958,0.953,,,,,,2026-06-14 09:55
2026-06-14 22:00（中盘③）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Betfair,欧指,2.0,3.5,4.6,1.035,1.031,1.089,,,,,,2026-06-14 21:55
2026-06-14 22:00（中盘③）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Pinnacle,欧指,1.96,3.47,4.41,1.015,1.022,1.044,,,,,,2026-06-14 21:55
2026-06-14 22:00（中盘③）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Pinnacle,亚盘,,,,,,,-0.5,1.96,1.96,1.045,0.951,2026-06-14 21:55
2026-06-14 22:00（中盘③）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,William Hill,欧指,1.91,3.2,4.0,0.989,0.942,0.947,,,,,,2026-06-14 21:55
2026-06-15 04:00（临场①）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Betfair,欧指,2.0,3.45,4.6,1.035,1.023,1.084,,,,,,2026-06-15 03:55
2026-06-15 04:00（临场①）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Pinnacle,欧指,1.98,3.43,4.42,1.024,1.017,1.041,,,,,,2026-06-15 03:55
2026-06-15 04:00（临场①）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Pinnacle,亚盘,,,,,,,-0.5,1.98,1.95,1.06,0.943,2026-06-15 03:55
2026-06-15 04:00（临场①）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,William Hill,欧指,1.91,3.25,4.0,0.988,0.964,0.942,,,,,,2026-06-15 03:54
2026-06-15 07:00（临场②）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Betfair,欧指,1.94,3.5,4.8,1.028,1.029,1.076,,,,,,2026-06-15 06:55
2026-06-15 07:00（临场②）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Pinnacle,欧指,1.94,3.44,4.61,1.028,1.011,1.034,,,,,,2026-06-15 06:55
2026-06-15 07:00（临场②）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Pinnacle,亚盘,,,,,,,-0.5,1.94,1.99,1.054,0.942,2026-06-15 06:55
2026-06-15 07:00（临场②）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,William Hill,欧指,1.85,3.25,4.2,0.98,0.955,0.942,,,,,,2026-06-15 06:54
2026-06-15 08:30（临场③）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Betfair,欧指,1.95,3.55,4.7,1.034,1.035,1.055,,,,,,2026-06-15 08:25
2026-06-15 08:30（临场③）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Pinnacle,欧指,1.93,3.45,4.65,1.023,1.006,1.043,,,,,,2026-06-15 08:25
2026-06-15 08:30（临场③）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Pinnacle,亚盘,,,,,,,-0.5,1.93,2.0,1.045,0.95,2026-06-15 08:25
2026-06-15 08:30（临场③）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,William Hill,欧指,1.85,3.25,4.2,0.981,0.948,0.942,,,,,,2026-06-15 08:25
2026-06-15 09:30（临场④）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Betfair,欧指,1.9,3.55,5.0,1.031,1.03,1.079,,,,,,2026-06-15 09:25
2026-06-15 09:30（临场④）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Pinnacle,欧指,1.87,3.49,4.97,1.015,1.013,1.073,,,,,,2026-06-15 09:25
2026-06-15 09:30（临场④）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Pinnacle,亚盘,,,,,,,-0.5,1.87,2.07,1.036,0.957,2026-06-15 09:25
2026-06-15 09:30（临场④）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,William Hill,欧指,1.83,3.25,4.5,0.993,0.943,0.971,,,,,,2026-06-15 09:24
2026-06-15 09:32（即时）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Betfair,欧指,1.88,3.55,5.2,1.025,1.028,1.11,,,,,,2026-06-15 09:32
2026-06-15 09:32（即时）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Pinnacle,欧指,1.87,3.49,4.97,1.02,1.011,1.061,,,,,,2026-06-15 09:32
2026-06-15 09:32（即时）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,Pinnacle,亚盘,,,,,,,-0.5,1.87,2.07,1.049,0.943,2026-06-15 09:32
2026-06-15 09:32（即时）,世界杯 FIFA World Cup,2026-06-15 10:00,Sweden,Tunisia,William Hill,欧指,1.8,3.25,4.6,0.982,0.941,0.982,,,,,,2026-06-15 09:31
