快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-06-13 03:00（初盘①）,世界杯 FIFA World Cup,2026-06-16 03:00,Belgium,Egypt,Pinnacle,欧指,1.61,4.09,5.9,0.997,1.04,1.04,,,,,,2026-06-13 02:55
2026-06-13 03:00（初盘①）,世界杯 FIFA World Cup,2026-06-16 03:00,Belgium,Egypt,Pinnacle,亚盘,,,,,,,-1.0,2.12,1.81,0.946,1.047,2026-06-13 02:55
2026-06-13 03:00（初盘①）,世界杯 FIFA World Cup,2026-06-16 03:00,Belgium,Egypt,William Hill,欧指,1.62,3.75,5.0,1.004,0.954,0.881,,,,,,2026-06-13 02:54
2026-06-13 03:00（初盘①）,世界杯 FIFA World Cup,2026-06-16 03:00,Belgium,Egypt,Betfair,欧指,1.66,4.1,6.2,1.028,1.043,1.093,,,,,,2026-06-13 02:55
2026-06-14 03:00（初盘②）,世界杯 FIFA World Cup,2026-06-16 03:00,Belgium,Egypt,Pinnacle,欧指,1.61,4.07,5.82,1.001,1.031,1.028,,,,,,2026-06-14 02:55
2026-06-14 03:00（初盘②）,世界杯 FIFA World Cup,2026-06-16 03:00,Belgium,Egypt,Pinnacle,亚盘,,,,,,,-0.75,1.81,2.12,0.886,1.12,2026-06-14 02:55
2026-06-14 03:00（初盘②）,世界杯 FIFA World Cup,2026-06-16 03:00,Belgium,Egypt,William Hill,欧指,1.62,3.75,5.0,1.007,0.949,0.883,,,,,,2026-06-14 02:54
2026-06-14 03:00（初盘②）,世界杯 FIFA World Cup,2026-06-16 03:00,Belgium,Egypt,Betfair,欧指,1.65,4.1,6.2,1.025,1.038,1.095,,,,,,2026-06-14 02:55
2026-06-14 15:00（中盘①）,世界杯 FIFA World Cup,2026-06-16 03:00,Belgium,Egypt,Pinnacle,欧指,1.62,4.05,5.78,1.006,1.033,1.015,,,,,,2026-06-14 14:55
2026-06-14 15:00（中盘①）,世界杯 FIFA World Cup,2026-06-16 03:00,Belgium,Egypt,Pinnacle,亚盘,,,,,,,-0.75,1.81,2.11,0.888,1.113,2026-06-14 14:55
2026-06-14 15:00（中盘①）,世界杯 FIFA World Cup,2026-06-16 03:00,Belgium,Egypt,William Hill,欧指,1.62,3.75,5.0,1.006,0.957,0.878,,,,,,2026-06-14 14:54
2026-06-14 15:00（中盘①）,世界杯 FIFA World Cup,2026-06-16 03:00,Belgium,Egypt,Betfair,欧指,1.66,4.1,6.2,1.031,1.046,1.089,,,,,,2026-06-14 14:55
2026-06-15 03:00（中盘②）,世界杯 FIFA World Cup,2026-06-16 03:00,Belgium,Egypt,Pinnacle,欧指,1.62,4.02,5.76,1.0,1.029,1.022,,,,,,2026-06-15 02:55
2026-06-15 03:00（中盘②）,世界杯 FIFA World Cup,2026-06-16 03:00,Belgium,Egypt,Pinnacle,亚盘,,,,,,,-0.75,1.83,2.1,0.894,1.112,2026-06-15 02:55
2026-06-15 03:00（中盘②）,世界杯 FIFA World Cup,2026-06-16 03:00,Belgium,Egypt,William Hill,欧指,1.62,3.75,5.0,1.0,0.96,0.887,,,,,,2026-06-15 02:54
2026-06-15 03:00（中盘②）,世界杯 FIFA World Cup,2026-06-16 03:00,Belgium,Egypt,Betfair,欧指,1.66,4.1,6.2,1.025,1.05,1.1,,,,,,2026-06-15 02:55
2026-06-15 15:00（中盘③）,世界杯 FIFA World Cup,2026-06-16 03:00,Belgium,Egypt,Pinnacle,欧指,1.61,4.11,6.18,1.012,1.039,1.046,,,,,,2026-06-15 14:55
2026-06-15 15:00（中盘③）,世界杯 FIFA World Cup,2026-06-16 03:00,Belgium,Egypt,Pinnacle,亚盘,,,,,,,-1.0,2.07,1.87,0.992,1.012,2026-06-15 14:55
2026-06-15 15:00（中盘③）,世界杯 FIFA World Cup,2026-06-16 03:00,Belgium,Egypt,William Hill,欧指,1.6,3.75,5.5,1.006,0.948,0.931,,,,,,2026-06-15 14:55
2026-06-15 15:00（中盘③）,世界杯 FIFA World Cup,2026-06-16 03:00,Belgium,Egypt,Betfair,欧指,1.63,4.1,6.4,1.025,1.036,1.083,,,,,,2026-06-15 14:55
2026-06-15 21:00（临场①）,世界杯 FIFA World Cup,2026-06-16 03:00,Belgium,Egypt,Pinnacle,欧指,1.61,4.12,6.19,1.013,1.03,1.053,,,,,,2026-06-15 20:55
2026-06-15 21:00（临场①）,世界杯 FIFA World Cup,2026-06-16 03:00,Belgium,Egypt,Pinnacle,亚盘,,,,,,,-1.0,2.06,1.87,0.995,1.003,2026-06-15 20:55
2026-06-15 21:00（临场①）,世界杯 FIFA World Cup,2026-06-16 03:00,Belgium,Egypt,William Hill,欧指,1.6,3.8,5.5,1.007,0.95,0.936,,,,,,2026-06-15 20:55
2026-06-15 21:00（临场①）,世界杯 FIFA World Cup,2026-06-16 03:00,Belgium,Egypt,Betfair,欧指,1.64,4.2,6.4,1.032,1.05,1.089,,,,,,2026-06-15 20:55
2026-06-16 00:00（临场②）,世界杯 FIFA World Cup,2026-06-16 03:00,Belgium,Egypt,Pinnacle,欧指,1.62,4.14,6.06,1.023,1.02,1.026,,,,,,2026-06-15 23:55
