快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-06-13 09:00（初盘①）,世界杯 FIFA World Cup,2026-06-16 09:00,Iran,New Zealand,Pinnacle,欧指,1.84,3.53,4.78,1.011,1.016,1.016,,,,,,2026-06-13 08:55
2026-06-13 09:00（初盘①）,世界杯 FIFA World Cup,2026-06-16 09:00,Iran,New Zealand,Pinnacle,亚盘,,,,,,,-0.5,1.85,2.07,1.055,0.927,2026-06-13 08:55
2026-06-13 09:00（初盘①）,世界杯 FIFA World Cup,2026-06-16 09:00,Iran,New Zealand,William Hill,欧指,1.8,3.5,4.33,0.989,1.008,0.92,,,,,,2026-06-13 08:55
2026-06-13 09:00（初盘①）,世界杯 FIFA World Cup,2026-06-16 09:00,Iran,New Zealand,Betfair,欧指,1.88,3.6,5.1,1.033,1.036,1.084,,,,,,2026-06-13 08:55
2026-06-14 09:00（初盘②）,世界杯 FIFA World Cup,2026-06-16 09:00,Iran,New Zealand,Pinnacle,欧指,1.84,3.53,4.78,1.007,1.023,1.019,,,,,,2026-06-14 08:55
2026-06-14 09:00（初盘②）,世界杯 FIFA World Cup,2026-06-16 09:00,Iran,New Zealand,Pinnacle,亚盘,,,,,,,-0.5,1.85,2.07,1.05,0.931,2026-06-14 08:55
2026-06-14 09:00（初盘②）,世界杯 FIFA World Cup,2026-06-16 09:00,Iran,New Zealand,William Hill,欧指,1.8,3.5,4.33,0.985,1.014,0.923,,,,,,2026-06-14 08:55
2026-06-14 09:00（初盘②）,世界杯 FIFA World Cup,2026-06-16 09:00,Iran,New Zealand,Betfair,欧指,1.9,3.6,5.0,1.04,1.043,1.066,,,,,,2026-06-14 08:55
2026-06-14 21:00（中盘①）,世界杯 FIFA World Cup,2026-06-16 09:00,Iran,New Zealand,Pinnacle,欧指,1.84,3.53,4.79,1.007,1.026,1.021,,,,,,2026-06-14 20:55
2026-06-14 21:00（中盘①）,世界杯 FIFA World Cup,2026-06-16 09:00,Iran,New Zealand,Pinnacle,亚盘,,,,,,,-0.5,1.85,2.07,1.05,0.93,2026-06-14 20:55
2026-06-14 21:00（中盘①）,世界杯 FIFA World Cup,2026-06-16 09:00,Iran,New Zealand,William Hill,欧指,1.8,3.5,4.33,0.985,1.017,0.923,,,,,,2026-06-14 20:54
2026-06-14 21:00（中盘①）,世界杯 FIFA World Cup,2026-06-16 09:00,Iran,New Zealand,Betfair,欧指,1.91,3.55,5.0,1.045,1.031,1.066,,,,,,2026-06-14 20:55
2026-06-15 09:00（中盘②）,世界杯 FIFA World Cup,2026-06-16 09:00,Iran,New Zealand,Pinnacle,欧指,1.95,3.4,4.36,1.022,1.023,0.99,,,,,,2026-06-15 08:55
2026-06-15 09:00（中盘②）,世界杯 FIFA World Cup,2026-06-16 09:00,Iran,New Zealand,Pinnacle,亚盘,,,,,,,-0.5,1.96,1.94,1.063,0.928,2026-06-15 08:55
2026-06-15 09:00（中盘②）,世界杯 FIFA World Cup,2026-06-16 09:00,Iran,New Zealand,William Hill,欧指,1.85,3.1,4.4,0.969,0.933,0.999,,,,,,2026-06-15 08:54
2026-06-15 09:00（中盘②）,世界杯 FIFA World Cup,2026-06-16 09:00,Iran,New Zealand,Betfair,欧指,1.98,3.45,4.7,1.038,1.038,1.067,,,,,,2026-06-15 08:55
2026-06-15 21:00（中盘③）,世界杯 FIFA World Cup,2026-06-16 09:00,Iran,New Zealand,Pinnacle,欧指,1.84,3.54,5.06,1.003,1.041,1.065,,,,,,2026-06-15 20:55
2026-06-15 21:00（中盘③）,世界杯 FIFA World Cup,2026-06-16 09:00,Iran,New Zealand,Pinnacle,亚盘,,,,,,,-0.5,1.84,2.1,0.88,1.098,2026-06-15 20:55
2026-06-15 21:00（中盘③）,世界杯 FIFA World Cup,2026-06-16 09:00,Iran,New Zealand,William Hill,欧指,1.75,3.5,4.4,0.954,1.029,0.927,,,,,,2026-06-15 20:55
2026-06-15 21:00（中盘③）,世界杯 FIFA World Cup,2026-06-16 09:00,Iran,New Zealand,Betfair,欧指,1.87,3.6,5.1,1.02,1.059,1.074,,,,,,2026-06-15 20:55
2026-06-16 03:00（临场①）,世界杯 FIFA World Cup,2026-06-16 09:00,Iran,New Zealand,Pinnacle,欧指,1.81,3.6,5.12,1.015,1.033,1.026,,,,,,2026-06-16 02:55
2026-06-16 03:00（临场①）,世界杯 FIFA World Cup,2026-06-16 09:00,Iran,New Zealand,Pinnacle,亚盘,,,,,,,-0.75,2.09,1.85,0.99,0.973,2026-06-16 02:55
2026-06-16 03:00（临场①）,世界杯 FIFA World Cup,2026-06-16 09:00,Iran,New Zealand,William Hill,欧指,1.75,3.5,4.6,0.981,1.004,0.922,,,,,,2026-06-16 02:55
2026-06-16 03:00（临场①）,世界杯 FIFA World Cup,2026-06-16 09:00,Iran,New Zealand,Betfair,欧指,1.84,3.65,5.3,1.032,1.047,1.062,,,,,,2026-06-16 02:55
