快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-06-13 00:00（初盘①）,世界杯 FIFA World Cup,2026-06-16 00:00,Spain,Cape Verde,Pinnacle,欧指,1.08,11.65,28.37,0.991,1.035,1.086,,,,,,2026-06-12 23:55
2026-06-13 00:00（初盘①）,世界杯 FIFA World Cup,2026-06-16 00:00,Spain,Cape Verde,Pinnacle,亚盘,,,,,,,-2.5,1.91,1.94,1.017,0.993,2026-06-12 23:55
2026-06-13 00:00（初盘①）,世界杯 FIFA World Cup,2026-06-16 00:00,Spain,Cape Verde,Betfair,欧指,1.1,15.0,32.0,1.009,1.332,1.225,,,,,,2026-06-12 23:55
2026-06-13 00:00（初盘①）,世界杯 FIFA World Cup,2026-06-16 00:00,Spain,Cape Verde,William Hill,欧指,1.1,10.0,23.0,1.009,0.888,0.881,,,,,,2026-06-12 23:54
2026-06-14 00:00（初盘②）,世界杯 FIFA World Cup,2026-06-16 00:00,Spain,Cape Verde,Pinnacle,欧指,1.07,11.85,29.33,0.986,1.039,1.126,,,,,,2026-06-13 23:55
2026-06-14 00:00（初盘②）,世界杯 FIFA World Cup,2026-06-16 00:00,Spain,Cape Verde,Pinnacle,亚盘,,,,,,,-2.5,1.91,1.94,1.019,0.992,2026-06-13 23:55
2026-06-14 00:00（初盘②）,世界杯 FIFA World Cup,2026-06-16 00:00,Spain,Cape Verde,Betfair,欧指,1.1,14.5,32.0,1.014,1.272,1.229,,,,,,2026-06-13 23:55
2026-06-14 00:00（初盘②）,世界杯 FIFA World Cup,2026-06-16 00:00,Spain,Cape Verde,William Hill,欧指,1.1,10.0,23.0,1.014,0.877,0.883,,,,,,2026-06-13 23:54
2026-06-14 12:00（中盘①）,世界杯 FIFA World Cup,2026-06-16 00:00,Spain,Cape Verde,Pinnacle,欧指,1.08,11.54,28.3,0.994,1.02,1.096,,,,,,2026-06-14 11:55
2026-06-14 12:00（中盘①）,世界杯 FIFA World Cup,2026-06-16 00:00,Spain,Cape Verde,Pinnacle,亚盘,,,,,,,-2.5,1.94,1.91,1.017,1.001,2026-06-14 11:55
2026-06-14 12:00（中盘①）,世界杯 FIFA World Cup,2026-06-16 00:00,Spain,Cape Verde,Betfair,欧指,1.1,14.5,32.0,1.013,1.282,1.24,,,,,,2026-06-14 11:55
2026-06-14 12:00（中盘①）,世界杯 FIFA World Cup,2026-06-16 00:00,Spain,Cape Verde,William Hill,欧指,1.1,10.0,23.0,1.013,0.884,0.891,,,,,,2026-06-14 11:55
2026-06-15 00:00（中盘②）,世界杯 FIFA World Cup,2026-06-16 00:00,Spain,Cape Verde,Pinnacle,欧指,1.09,11.47,21.13,0.999,1.011,0.848,,,,,,2026-06-14 23:55
2026-06-15 00:00（中盘②）,世界杯 FIFA World Cup,2026-06-16 00:00,Spain,Cape Verde,Pinnacle,亚盘,,,,,,,-2.5,1.95,1.9,1.02,0.99,2026-06-14 23:55
2026-06-15 00:00（中盘②）,世界杯 FIFA World Cup,2026-06-16 00:00,Spain,Cape Verde,Betfair,欧指,1.11,13.5,32.0,1.018,1.19,1.284,,,,,,2026-06-14 23:55
2026-06-15 00:00（中盘②）,世界杯 FIFA World Cup,2026-06-16 00:00,Spain,Cape Verde,William Hill,欧指,1.1,10.0,23.0,1.008,0.881,0.923,,,,,,2026-06-14 23:55
2026-06-15 12:00（中盘③）,世界杯 FIFA World Cup,2026-06-16 00:00,Spain,Cape Verde,Pinnacle,欧指,1.07,13.0,26.08,0.988,1.076,0.932,,,,,,2026-06-15 11:55
2026-06-15 12:00（中盘③）,世界杯 FIFA World Cup,2026-06-16 00:00,Spain,Cape Verde,Pinnacle,亚盘,,,,,,,-2.75,2.01,1.85,1.075,0.936,2026-06-15 11:55
