快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-06-14 09:05（初盘①）,世界杯 FIFA World Cup,2026-06-17 09:00,Argentina,Algeria,Pinnacle,欧指,1.42,4.49,9.02,1.024,0.98,1.006,,,,,,2026-06-14 09:00
2026-06-14 09:05（初盘①）,世界杯 FIFA World Cup,2026-06-17 09:00,Argentina,Algeria,Pinnacle,亚盘,,,,,,,-1.25,1.97,1.93,0.929,1.095,2026-06-14 09:00
2026-06-14 09:05（初盘①）,世界杯 FIFA World Cup,2026-06-17 09:00,Argentina,Algeria,Betfair,欧指,1.42,4.9,10.0,1.024,1.07,1.116,,,,,,2026-06-14 09:00
2026-06-14 09:05（初盘①）,世界杯 FIFA World Cup,2026-06-17 09:00,Argentina,Algeria,William Hill,欧指,1.4,4.2,8.0,1.01,0.917,0.893,,,,,,2026-06-14 09:00
2026-06-15 09:05（初盘②）,世界杯 FIFA World Cup,2026-06-17 09:00,Argentina,Algeria,Pinnacle,欧指,1.4,4.57,9.33,1.012,0.995,1.041,,,,,,2026-06-15 09:00
2026-06-15 09:05（初盘②）,世界杯 FIFA World Cup,2026-06-17 09:00,Argentina,Algeria,Pinnacle,亚盘,,,,,,,-1.25,1.94,1.96,0.924,1.106,2026-06-15 09:00
2026-06-15 09:05（初盘②）,世界杯 FIFA World Cup,2026-06-17 09:00,Argentina,Algeria,Betfair,欧指,1.42,4.8,10.0,1.027,1.045,1.116,,,,,,2026-06-15 09:00
2026-06-15 09:05（初盘②）,世界杯 FIFA World Cup,2026-06-17 09:00,Argentina,Algeria,William Hill,欧指,1.36,4.4,8.5,0.983,0.958,0.948,,,,,,2026-06-15 08:59
2026-06-15 21:05（中盘①）,世界杯 FIFA World Cup,2026-06-17 09:00,Argentina,Algeria,Pinnacle,欧指,1.4,4.58,9.34,1.007,1.0,1.054,,,,,,2026-06-15 20:58
2026-06-15 21:05（中盘①）,世界杯 FIFA World Cup,2026-06-17 09:00,Argentina,Algeria,Pinnacle,亚盘,,,,,,,-1.25,1.93,1.97,0.918,1.109,2026-06-15 20:58
