快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-06-14 12:00（初盘①）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,Pinnacle,欧指,1.34,5.45,9.17,1.015,1.004,1.008,,,,,,2026-06-14 11:55
2026-06-14 12:00（初盘①）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,Pinnacle,亚盘,,,,,,,-1.5,2.0,1.91,1.017,1.023,2026-06-14 11:55
2026-06-14 12:00（初盘①）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,Betfair,欧指,1.37,5.7,10.0,1.038,1.051,1.1,,,,,,2026-06-14 11:55
2026-06-14 12:00（初盘①）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,William Hill,欧指,1.33,5.0,8.5,1.008,0.922,0.935,,,,,,2026-06-14 11:55
2026-06-15 12:00（初盘②）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,Pinnacle,欧指,1.34,5.45,9.18,1.004,1.03,1.039,,,,,,2026-06-15 11:55
2026-06-15 12:00（初盘②）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,Pinnacle,亚盘,,,,,,,-1.5,2.0,1.91,1.014,1.025,2026-06-15 11:55
2026-06-15 12:00（初盘②）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,Betfair,欧指,1.37,5.7,10.0,1.027,1.077,1.132,,,,,,2026-06-15 11:55
2026-06-15 12:00（初盘②）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,William Hill,欧指,1.33,5.0,8.5,0.997,0.945,0.962,,,,,,2026-06-15 11:54
2026-06-16 00:00（中盘①）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,Pinnacle,欧指,1.36,5.3,8.7,1.023,0.993,0.966,,,,,,2026-06-15 23:55
2026-06-16 00:00（中盘①）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,Pinnacle,亚盘,,,,,,,-1.5,2.06,1.85,1.027,1.005,2026-06-15 23:55
2026-06-16 00:00（中盘①）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,Betfair,欧指,1.37,5.7,10.0,1.03,1.068,1.11,,,,,,2026-06-15 23:55
2026-06-16 00:00（中盘①）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,William Hill,欧指,1.33,4.8,8.5,1.0,0.899,0.944,,,,,,2026-06-15 23:54
2026-06-16 12:00（中盘②）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,Pinnacle,欧指,1.36,5.35,8.7,1.013,1.012,0.999,,,,,,2026-06-16 11:55
2026-06-16 12:00（中盘②）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,Pinnacle,亚盘,,,,,,,-1.5,2.05,1.86,1.019,1.015,2026-06-16 11:55
2026-06-16 12:00（中盘②）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,Betfair,欧指,1.37,5.7,9.6,1.021,1.078,1.102,,,,,,2026-06-16 11:55
2026-06-16 12:00（中盘②）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,William Hill,欧指,1.33,5.0,8.5,0.991,0.946,0.976,,,,,,2026-06-16 11:55
2026-06-17 00:00（中盘③）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,Pinnacle,欧指,1.38,5.3,9.1,1.019,1.038,1.038,,,,,,2026-06-16 23:55
2026-06-17 00:00（中盘③）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,Pinnacle,亚盘,,,,,,,-1.25,1.87,2.07,0.927,1.115,2026-06-16 23:55
2026-06-17 00:00（中盘③）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,Betfair,欧指,1.39,5.4,9.6,1.026,1.058,1.095,,,,,,2026-06-16 23:55
2026-06-17 00:00（中盘③）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,William Hill,欧指,1.33,4.8,8.5,0.982,0.94,0.97,,,,,,2026-06-16 23:54
2026-06-17 06:00（临场①）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,Pinnacle,欧指,1.38,5.3,9.5,1.02,1.043,1.062,,,,,,2026-06-17 05:55
2026-06-17 06:00（临场①）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,Pinnacle,亚盘,,,,,,,-1.25,1.85,2.09,0.92,1.122,2026-06-17 05:55
2026-06-17 06:00（临场①）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,Betfair,欧指,1.4,5.3,10.0,1.034,1.043,1.118,,,,,,2026-06-17 05:55
2026-06-17 06:00（临场①）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,William Hill,欧指,1.33,4.8,8.5,0.983,0.944,0.95,,,,,,2026-06-17 05:54
2026-06-17 09:00（临场②）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,Pinnacle,欧指,1.4,5.0,9.45,1.018,1.022,1.098,,,,,,2026-06-17 08:55
2026-06-17 09:00（临场②）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,Pinnacle,亚盘,,,,,,,-1.25,1.93,2.01,0.924,1.112,2026-06-17 08:55
2026-06-17 09:00（临场②）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,Betfair,欧指,1.43,5.0,9.2,1.04,1.022,1.069,,,,,,2026-06-17 08:55
2026-06-17 09:00（临场②）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,William Hill,欧指,1.36,4.75,7.5,0.989,0.971,0.871,,,,,,2026-06-17 08:55
2026-06-17 10:30（临场③）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,Pinnacle,欧指,1.43,4.85,8.85,1.031,1.005,1.045,,,,,,2026-06-17 10:25
2026-06-17 10:30（临场③）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,Pinnacle,亚盘,,,,,,,-1.25,1.99,1.94,0.939,1.084,2026-06-17 10:25
2026-06-17 10:30（临场③）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,Betfair,欧指,1.44,5.0,9.2,1.039,1.036,1.087,,,,,,2026-06-17 10:25
2026-06-17 10:30（临场③）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,William Hill,欧指,1.36,4.75,7.0,0.981,0.984,0.827,,,,,,2026-06-17 10:25
2026-06-17 11:30（临场④）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,Pinnacle,欧指,1.4,5.05,9.25,1.019,1.036,1.047,,,,,,2026-06-17 11:25
2026-06-17 11:30（临场④）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,Pinnacle,亚盘,,,,,,,-1.25,1.91,2.03,0.922,1.11,2026-06-17 11:25
2026-06-17 11:30（临场④）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,Betfair,欧指,1.42,5.1,9.4,1.034,1.046,1.064,,,,,,2026-06-17 11:25
2026-06-17 11:30（临场④）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,William Hill,欧指,1.36,4.75,7.5,0.99,0.975,0.849,,,,,,2026-06-17 11:24
2026-06-17 11:34（即时）,世界杯 FIFA World Cup,2026-06-17 12:00,Austria,Jordan,Pinnacle,欧指,1.4,5.05,9.25,1.018,1.036,1.051,,,,,,2026-06-17 11:34
