快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-06-14 03:00（初盘①）,世界杯 FIFA World Cup,2026-06-17 03:00,France,Senegal,Pinnacle,欧指,1.48,4.46,7.31,1.012,1.018,1.007,,,,,,2026-06-14 02:55
2026-06-14 03:00（初盘①）,世界杯 FIFA World Cup,2026-06-17 03:00,France,Senegal,Pinnacle,亚盘,,,,,,,-1.0,1.82,2.1,0.929,1.086,2026-06-14 02:55
2026-06-14 03:00（初盘①）,世界杯 FIFA World Cup,2026-06-17 03:00,France,Senegal,Betfair,欧指,1.51,4.6,8.0,1.032,1.05,1.102,,,,,,2026-06-14 02:55
2026-06-14 03:00（初盘①）,世界杯 FIFA World Cup,2026-06-17 03:00,France,Senegal,William Hill,欧指,1.44,4.2,6.5,0.984,0.959,0.895,,,,,,2026-06-14 02:54
2026-06-15 03:00（初盘②）,世界杯 FIFA World Cup,2026-06-17 03:00,France,Senegal,Pinnacle,欧指,1.48,4.49,7.22,1.012,1.024,1.002,,,,,,2026-06-15 02:55
2026-06-15 03:00（初盘②）,世界杯 FIFA World Cup,2026-06-17 03:00,France,Senegal,Pinnacle,亚盘,,,,,,,-1.0,1.83,2.1,0.932,1.091,2026-06-15 02:55
2026-06-15 03:00（初盘②）,世界杯 FIFA World Cup,2026-06-17 03:00,France,Senegal,Betfair,欧指,1.51,4.6,8.0,1.033,1.049,1.11,,,,,,2026-06-15 02:55
2026-06-15 03:00（初盘②）,世界杯 FIFA World Cup,2026-06-17 03:00,France,Senegal,William Hill,欧指,1.44,4.2,6.5,0.985,0.958,0.902,,,,,,2026-06-15 02:54
2026-06-15 15:00（中盘①）,世界杯 FIFA World Cup,2026-06-17 03:00,France,Senegal,Pinnacle,欧指,1.48,4.5,7.23,1.014,1.029,0.977,,,,,,2026-06-15 14:55
2026-06-15 15:00（中盘①）,世界杯 FIFA World Cup,2026-06-17 03:00,France,Senegal,Pinnacle,亚盘,,,,,,,-1.0,1.82,2.11,0.929,1.092,2026-06-15 14:55
2026-06-15 15:00（中盘①）,世界杯 FIFA World Cup,2026-06-17 03:00,France,Senegal,Betfair,欧指,1.51,4.6,8.2,1.035,1.051,1.108,,,,,,2026-06-15 14:55
2026-06-15 15:00（中盘①）,世界杯 FIFA World Cup,2026-06-17 03:00,France,Senegal,William Hill,欧指,1.44,4.2,6.5,0.987,0.96,0.878,,,,,,2026-06-15 14:55
2026-06-16 03:00（中盘②）,世界杯 FIFA World Cup,2026-06-17 03:00,France,Senegal,Pinnacle,欧指,1.47,4.52,7.29,1.005,1.031,0.997,,,,,,2026-06-16 02:55
2026-06-16 03:00（中盘②）,世界杯 FIFA World Cup,2026-06-17 03:00,France,Senegal,Pinnacle,亚盘,,,,,,,-1.0,1.81,2.12,0.92,1.099,2026-06-16 02:55
