快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-06-15 04:00（初盘①）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,Pinnacle,欧指,1.73,3.9,4.97,1.007,1.029,0.98,,,,,,2026-06-15 03:55
2026-06-15 04:00（初盘①）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,Pinnacle,亚盘,,,,,,,-0.75,1.97,1.93,0.911,1.06,2026-06-15 03:55
2026-06-15 04:00（初盘①）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,Betfair,欧指,1.78,3.85,5.5,1.036,1.016,1.085,,,,,,2026-06-15 03:55
2026-06-15 04:00（初盘①）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,1xBet,欧指,1.75,3.88,5.07,1.019,1.024,1.0,,,,,,2026-06-15 03:55
2026-06-15 04:00（初盘①）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,1xBet,亚盘,,,,,,,-1.5,3.08,1.39,1.424,0.763,2026-06-15 03:55
2026-06-16 04:00（初盘②）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,Pinnacle,欧指,1.74,3.88,4.96,1.009,1.024,0.98,,,,,,2026-06-16 03:55
2026-06-16 04:00（初盘②）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,Pinnacle,亚盘,,,,,,,-0.75,1.98,1.93,0.905,1.061,2026-06-16 03:55
2026-06-16 04:00（初盘②）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,Betfair,欧指,1.78,3.9,5.4,1.032,1.03,1.067,,,,,,2026-06-16 03:55
2026-06-16 04:00（初盘②）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,1xBet,欧指,1.79,3.9,5.02,1.038,1.03,0.992,,,,,,2026-06-16 03:55
2026-06-16 04:00（初盘②）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,1xBet,亚盘,,,,,,,-1.5,3.24,1.37,1.481,0.753,2026-06-16 03:55
2026-06-16 16:00（中盘①）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,Pinnacle,欧指,1.74,3.87,4.97,1.01,1.021,0.985,,,,,,2026-06-16 15:55
2026-06-16 16:00（中盘①）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,Pinnacle,亚盘,,,,,,,-0.75,1.98,1.93,0.905,1.06,2026-06-16 15:55
2026-06-16 16:00（中盘①）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,Betfair,欧指,1.77,3.9,5.5,1.028,1.029,1.09,,,,,,2026-06-16 15:55
2026-06-16 16:00（中盘①）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,1xBet,欧指,1.79,3.9,5.02,1.039,1.029,0.995,,,,,,2026-06-16 15:54
2026-06-16 16:00（中盘①）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,1xBet,亚盘,,,,,,,-1.5,3.24,1.37,1.481,0.753,2026-06-16 15:54
2026-06-17 04:00（中盘②）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,Pinnacle,欧指,1.74,3.74,5.16,1.007,0.995,1.021,,,,,,2026-06-17 03:55
2026-06-17 04:00（中盘②）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,Pinnacle,亚盘,,,,,,,-0.75,1.98,1.93,0.908,1.059,2026-06-17 03:55
2026-06-17 04:00（中盘②）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,Betfair,欧指,1.78,3.85,5.5,1.03,1.025,1.088,,,,,,2026-06-17 03:55
2026-06-17 04:00（中盘②）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,1xBet,欧指,1.78,3.85,5.18,1.03,1.025,1.024,,,,,,2026-06-17 03:55
2026-06-17 04:00（中盘②）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,1xBet,亚盘,,,,,,,-1.5,3.18,1.39,1.458,0.763,2026-06-17 03:55
2026-06-17 16:00（中盘③）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,Pinnacle,欧指,1.73,3.75,5.19,1.003,1.0,1.017,,,,,,2026-06-17 15:55
2026-06-17 16:00（中盘③）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,Pinnacle,亚盘,,,,,,,-0.75,1.97,1.93,0.901,1.055,2026-06-17 15:55
2026-06-17 16:00（中盘③）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,Betfair,欧指,1.77,3.85,5.5,1.026,1.027,1.078,,,,,,2026-06-17 15:55
2026-06-17 16:00（中盘③）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,1xBet,欧指,1.77,3.9,5.18,1.026,1.04,1.015,,,,,,2026-06-17 15:55
2026-06-17 16:00（中盘③）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,1xBet,亚盘,,,,,,,-1.5,3.18,1.39,1.455,0.76,2026-06-17 15:55
2026-06-17 22:00（临场①）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,Pinnacle,欧指,1.74,3.81,5.37,1.014,1.015,1.021,,,,,,2026-06-17 21:55
2026-06-17 22:00（临场①）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,Pinnacle,亚盘,,,,,,,-0.75,1.96,1.97,0.922,1.054,2026-06-17 21:55
2026-06-17 22:00（临场①）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,Betfair,欧指,1.75,3.9,5.6,1.02,1.039,1.065,,,,,,2026-06-17 21:55
2026-06-17 22:00（临场①）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,1xBet,欧指,1.76,3.83,5.33,1.026,1.02,1.014,,,,,,2026-06-17 21:55
2026-06-17 22:00（临场①）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,1xBet,亚盘,,,,,,,-1.5,3.02,1.42,1.421,0.76,2026-06-17 21:55
2026-06-18 01:00（临场②）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,Pinnacle,欧指,1.74,3.83,5.38,1.012,1.021,1.022,,,,,,2026-06-18 00:55
2026-06-18 01:00（临场②）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,Pinnacle,亚盘,,,,,,,-0.75,1.95,1.98,0.911,1.071,2026-06-18 00:55
2026-06-18 01:00（临场②）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,Betfair,欧指,1.76,3.9,5.6,1.024,1.04,1.064,,,,,,2026-06-18 00:55
2026-06-18 01:00（临场②）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,1xBet,欧指,1.77,3.85,5.28,1.029,1.026,1.003,,,,,,2026-06-18 00:54
2026-06-18 01:00（临场②）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,1xBet,亚盘,,,,,,,-1.5,3.02,1.42,1.41,0.768,2026-06-18 00:54
2026-06-18 02:30（临场③）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,Pinnacle,欧指,1.72,3.83,5.52,1.008,1.012,1.034,,,,,,2026-06-18 02:25
2026-06-18 02:30（临场③）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,Pinnacle,亚盘,,,,,,,-0.75,1.93,2.0,0.91,1.071,2026-06-18 02:25
2026-06-18 02:30（临场③）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,Betfair,欧指,1.73,3.95,5.7,1.014,1.044,1.068,,,,,,2026-06-18 02:25
2026-06-18 02:30（临场③）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,1xBet,欧指,1.74,3.88,5.43,1.02,1.025,1.018,,,,,,2026-06-18 02:25
2026-06-18 02:30（临场③）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,1xBet,亚盘,,,,,,,-1.5,2.98,1.43,1.406,0.766,2026-06-18 02:25
2026-06-18 02:31（即时）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,Pinnacle,欧指,1.72,3.83,5.52,1.009,1.011,1.033,,,,,,2026-06-18 02:31
2026-06-18 02:31（即时）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,Pinnacle,亚盘,,,,,,,-0.75,1.93,2.0,0.911,1.071,2026-06-18 02:31
2026-06-18 02:31（即时）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,Betfair,欧指,1.73,3.95,5.7,1.015,1.043,1.066,,,,,,2026-06-18 02:31
2026-06-18 02:31（即时）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,1xBet,欧指,1.74,3.88,5.43,1.021,1.024,1.016,,,,,,2026-06-18 02:31
2026-06-18 02:31（即时）,世界杯 FIFA World Cup,2026-06-18 04:00,England,Croatia,1xBet,亚盘,,,,,,,-1.5,2.98,1.43,1.407,0.766,2026-06-18 02:31
