快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-06-15 01:00（初盘①）,世界杯 FIFA World Cup,2026-06-18 01:00,Portugal,DR Congo,Betfair,欧指,1.32,6.0,12.5,1.031,1.07,1.175,,,,,,2026-06-15 00:55
2026-06-15 01:00（初盘①）,世界杯 FIFA World Cup,2026-06-18 01:00,Portugal,DR Congo,Pinnacle,欧指,1.29,5.75,11.22,1.008,1.026,1.055,,,,,,2026-06-15 00:55
2026-06-15 01:00（初盘①）,世界杯 FIFA World Cup,2026-06-18 01:00,Portugal,DR Congo,Pinnacle,亚盘,,,,,,,-1.5,1.89,2.02,0.969,1.051,2026-06-15 00:55
2026-06-15 01:00（初盘①）,世界杯 FIFA World Cup,2026-06-18 01:00,Portugal,DR Congo,William Hill,欧指,1.29,5.0,10.0,1.008,0.892,0.94,,,,,,2026-06-15 00:55
2026-06-16 01:00（初盘②）,世界杯 FIFA World Cup,2026-06-18 01:00,Portugal,DR Congo,Betfair,欧指,1.31,6.0,13.0,1.024,1.056,1.16,,,,,,2026-06-16 00:55
2026-06-16 01:00（初盘②）,世界杯 FIFA World Cup,2026-06-18 01:00,Portugal,DR Congo,Pinnacle,欧指,1.28,5.81,11.68,1.001,1.023,1.042,,,,,,2026-06-16 00:55
2026-06-16 01:00（初盘②）,世界杯 FIFA World Cup,2026-06-18 01:00,Portugal,DR Congo,Pinnacle,亚盘,,,,,,,-1.5,1.87,2.04,1.012,1.024,2026-06-16 00:55
2026-06-16 01:00（初盘②）,世界杯 FIFA World Cup,2026-06-18 01:00,Portugal,DR Congo,William Hill,欧指,1.29,5.0,10.0,1.009,0.88,0.893,,,,,,2026-06-16 00:55
2026-06-16 13:00（中盘①）,世界杯 FIFA World Cup,2026-06-18 01:00,Portugal,DR Congo,Betfair,欧指,1.31,6.0,13.0,1.023,1.068,1.176,,,,,,2026-06-16 12:55
2026-06-16 13:00（中盘①）,世界杯 FIFA World Cup,2026-06-18 01:00,Portugal,DR Congo,Pinnacle,欧指,1.28,5.76,11.64,1.0,1.026,1.053,,,,,,2026-06-16 12:55
2026-06-16 13:00（中盘①）,世界杯 FIFA World Cup,2026-06-18 01:00,Portugal,DR Congo,Pinnacle,亚盘,,,,,,,-1.5,1.88,2.03,1.015,1.02,2026-06-16 12:55
2026-06-16 13:00（中盘①）,世界杯 FIFA World Cup,2026-06-18 01:00,Portugal,DR Congo,William Hill,欧指,1.3,5.0,10.0,1.016,0.89,0.905,,,,,,2026-06-16 12:55
