快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-06-15 10:00（初盘①）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Pinnacle,欧指,9.26,4.77,1.39,1.044,1.029,1.006,,,,,,2026-06-15 09:55
2026-06-15 10:00（初盘①）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Pinnacle,亚盘,,,,,,,1.25,1.99,1.92,1.004,0.997,2026-06-15 09:55
2026-06-15 10:00（初盘①）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Betfair,欧指,10.5,4.9,1.41,1.184,1.057,1.021,,,,,,2026-06-15 09:55
2026-06-15 10:00（初盘①）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,William Hill,欧指,6.5,4.5,1.33,0.733,0.971,0.963,,,,,,2026-06-15 09:54
2026-06-16 10:00（初盘②）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Pinnacle,欧指,9.47,4.83,1.38,1.055,1.032,1.003,,,,,,2026-06-16 09:55
2026-06-16 10:00（初盘②）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Pinnacle,亚盘,,,,,,,1.25,2.01,1.89,1.008,0.987,2026-06-16 09:55
2026-06-16 10:00（初盘②）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Betfair,欧指,10.5,5.1,1.4,1.17,1.09,1.017,,,,,,2026-06-16 09:55
2026-06-16 10:00（初盘②）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,William Hill,欧指,6.5,4.5,1.33,0.724,0.962,0.966,,,,,,2026-06-16 09:54
2026-06-16 22:00（中盘①）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Pinnacle,欧指,9.26,4.94,1.37,1.012,1.05,0.997,,,,,,2026-06-16 21:55
2026-06-16 22:00（中盘①）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Pinnacle,亚盘,,,,,,,1.25,2.03,1.88,1.013,0.986,2026-06-16 21:55
2026-06-16 22:00（中盘①）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Betfair,欧指,10.5,5.1,1.4,1.148,1.084,1.019,,,,,,2026-06-16 21:55
2026-06-16 22:00（中盘①）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,William Hill,欧指,8.5,4.4,1.36,0.929,0.935,0.99,,,,,,2026-06-16 21:55
2026-06-17 10:00（中盘②）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Pinnacle,欧指,9.36,4.96,1.37,0.988,1.036,1.005,,,,,,2026-06-17 09:55
2026-06-17 10:00（中盘②）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Pinnacle,亚盘,,,,,,,1.25,2.04,1.87,1.116,0.914,2026-06-17 09:55
2026-06-17 10:00（中盘②）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Betfair,欧指,10.5,5.0,1.4,1.108,1.045,1.027,,,,,,2026-06-17 09:55
2026-06-17 10:00（中盘②）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,William Hill,欧指,9.0,4.5,1.36,0.95,0.94,0.998,,,,,,2026-06-17 09:55
2026-06-17 22:00（中盘③）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Pinnacle,欧指,10.0,4.95,1.39,1.069,1.04,1.017,,,,,,2026-06-17 21:55
2026-06-17 22:00（中盘③）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Pinnacle,亚盘,,,,,,,1.25,2.05,1.88,1.117,0.915,2026-06-17 21:55
2026-06-17 22:00（中盘③）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Betfair,欧指,10.5,5.1,1.4,1.123,1.071,1.024,,,,,,2026-06-17 21:55
2026-06-17 22:00（中盘③）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,William Hill,欧指,8.5,4.5,1.36,0.909,0.945,0.995,,,,,,2026-06-17 21:53
2026-06-18 04:00（临场①）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Pinnacle,欧指,10.0,4.95,1.39,1.067,1.035,1.018,,,,,,2026-06-18 03:55
2026-06-18 04:00（临场①）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Pinnacle,亚盘,,,,,,,1.25,2.06,1.88,1.114,0.924,2026-06-18 03:55
2026-06-18 04:00（临场①）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Betfair,欧指,10.5,5.0,1.4,1.121,1.045,1.025,,,,,,2026-06-18 03:55
2026-06-18 07:00（临场②）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Pinnacle,欧指,9.5,4.75,1.42,1.049,1.014,1.028,,,,,,2026-06-18 06:55
2026-06-18 07:00（临场②）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Pinnacle,亚盘,,,,,,,1.25,1.95,1.98,1.091,0.935,2026-06-18 06:55
2026-06-18 07:00（临场②）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Betfair,欧指,10.0,4.9,1.42,1.104,1.046,1.028,,,,,,2026-06-18 06:55
2026-06-18 07:00（临场②）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,William Hill,欧指,8.5,4.4,1.36,0.938,0.94,0.985,,,,,,2026-06-18 06:55
2026-06-18 08:30（临场③）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Pinnacle,欧指,9.5,4.75,1.42,1.044,1.008,1.028,,,,,,2026-06-18 08:25
2026-06-18 08:30（临场③）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Pinnacle,亚盘,,,,,,,1.25,1.97,1.96,1.1,0.93,2026-06-18 08:25
2026-06-18 08:30（临场③）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Betfair,欧指,10.5,4.9,1.42,1.154,1.04,1.028,,,,,,2026-06-18 08:25
2026-06-18 08:30（临场③）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,William Hill,欧指,8.5,4.4,1.36,0.934,0.934,0.985,,,,,,2026-06-18 08:25
2026-06-18 09:30（临场④）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Pinnacle,欧指,10.5,5.1,1.37,1.101,1.049,1.01,,,,,,2026-06-18 09:25
2026-06-18 09:30（临场④）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Pinnacle,亚盘,,,,,,,1.25,2.08,1.87,1.115,0.926,2026-06-18 09:25
2026-06-18 09:30（临场④）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Betfair,欧指,11.5,5.2,1.37,1.206,1.069,1.01,,,,,,2026-06-18 09:25
2026-06-18 09:30（临场④）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,William Hill,欧指,9.0,4.5,1.36,0.944,0.925,1.002,,,,,,2026-06-18 09:25
2026-06-18 09:33（即时）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Pinnacle,欧指,10.5,5.1,1.37,1.087,1.043,1.014,,,,,,2026-06-18 09:32
2026-06-18 09:33（即时）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Pinnacle,亚盘,,,,,,,1.25,2.08,1.87,1.115,0.926,2026-06-18 09:32
2026-06-18 09:33（即时）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,Betfair,欧指,11.5,5.2,1.37,1.191,1.064,1.014,,,,,,2026-06-18 09:33
2026-06-18 09:33（即时）,世界杯 FIFA World Cup,2026-06-18 10:00,Uzbekistan,Colombia,William Hill,欧指,9.0,4.6,1.35,0.932,0.941,0.999,,,,,,2026-06-18 09:32
