快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-06-16 06:00（初盘①）,世界杯 FIFA World Cup,2026-06-19 06:00,Canada,Qatar,Betfair,欧指,1.31,6.0,12.5,1.033,1.061,1.077,,,,,,2026-06-16 05:55
2026-06-16 06:00（初盘①）,世界杯 FIFA World Cup,2026-06-19 06:00,Canada,Qatar,Pinnacle,欧指,1.28,5.91,11.62,1.009,1.045,1.001,,,,,,2026-06-16 05:55
2026-06-16 06:00（初盘①）,世界杯 FIFA World Cup,2026-06-19 06:00,Canada,Qatar,Pinnacle,亚盘,,,,,,,-1.5,1.87,2.04,1.013,1.02,2026-06-16 05:55
2026-06-16 06:00（初盘①）,世界杯 FIFA World Cup,2026-06-19 06:00,Canada,Qatar,William Hill,欧指,1.25,5.0,11.0,0.986,0.884,0.948,,,,,,2026-06-16 05:54
2026-06-17 06:00（初盘②）,世界杯 FIFA World Cup,2026-06-19 06:00,Canada,Qatar,Betfair,欧指,1.31,6.0,12.5,1.028,1.065,1.107,,,,,,2026-06-17 05:55
2026-06-17 06:00（初盘②）,世界杯 FIFA World Cup,2026-06-19 06:00,Canada,Qatar,Pinnacle,欧指,1.29,5.81,11.24,1.012,1.031,0.996,,,,,,2026-06-17 05:55
2026-06-17 06:00（初盘②）,世界杯 FIFA World Cup,2026-06-19 06:00,Canada,Qatar,Pinnacle,亚盘,,,,,,,-1.5,1.9,2.0,1.022,1.009,2026-06-17 05:55
2026-06-17 06:00（初盘②）,世界杯 FIFA World Cup,2026-06-19 06:00,Canada,Qatar,William Hill,欧指,1.29,5.0,10.0,1.012,0.887,0.886,,,,,,2026-06-17 05:54
2026-06-17 18:00（中盘①）,世界杯 FIFA World Cup,2026-06-19 06:00,Canada,Qatar,Betfair,欧指,1.32,6.0,12.0,1.036,1.071,1.069,,,,,,2026-06-17 17:55
2026-06-17 18:00（中盘①）,世界杯 FIFA World Cup,2026-06-19 06:00,Canada,Qatar,Pinnacle,欧指,1.29,5.81,11.26,1.012,1.037,1.003,,,,,,2026-06-17 17:55
