快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-06-17 11:00（初盘①）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,FanDuel,欧指,1.95,3.4,4.0,0.961,1.018,1.028,,,,,,2026-06-17 10:55
2026-06-17 11:00（初盘①）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,Betfair,欧指,2.06,3.55,4.2,1.015,1.063,1.079,,,,,,2026-06-17 10:55
2026-06-17 11:00（初盘①）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,Pinnacle,欧指,2.04,3.43,3.98,1.006,1.027,1.022,,,,,,2026-06-17 10:55
2026-06-17 11:00（初盘①）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,Pinnacle,亚盘,,,,,,,-0.5,2.05,1.87,1.05,0.965,2026-06-17 10:55
2026-06-17 11:00（初盘①）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,DraftKings,欧指,1.95,3.4,4.2,0.961,1.018,1.079,,,,,,2026-06-17 10:55
2026-06-17 11:00（初盘①）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,Ladbrokes,欧指,2.05,3.3,3.6,1.01,0.988,0.925,,,,,,2026-06-17 10:55
2026-06-17 11:00（初盘①）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,William Hill,欧指,2.0,3.1,3.75,0.986,0.928,0.963,,,,,,2026-06-17 10:55
2026-06-17 11:00（初盘①）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,BetMGM,欧指,2.05,3.3,3.5,1.01,0.988,0.899,,,,,,2026-06-17 10:42
2026-06-17 11:00（初盘①）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,Caesars,欧指,1.98,3.25,3.8,0.976,0.973,0.976,,,,,,2026-06-17 10:54
2026-06-18 11:00（初盘②）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,FanDuel,欧指,1.95,3.3,4.0,0.97,0.987,1.016,,,,,,2026-06-18 10:55
2026-06-18 11:00（初盘②）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,Betfair,欧指,2.08,3.5,4.2,1.035,1.046,1.067,,,,,,2026-06-18 10:55
2026-06-18 11:00（初盘②）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,Pinnacle,欧指,2.03,3.43,3.98,1.01,1.025,1.011,,,,,,2026-06-18 10:55
2026-06-18 11:00（初盘②）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,Pinnacle,亚盘,,,,,,,-0.5,2.04,1.87,1.045,0.965,2026-06-18 10:55
2026-06-18 11:00（初盘②）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,DraftKings,欧指,1.95,3.4,4.2,0.97,1.016,1.067,,,,,,2026-06-18 10:55
2026-06-18 11:00（初盘②）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,Ladbrokes,欧指,2.05,3.3,3.6,1.02,0.987,0.914,,,,,,2026-06-18 10:55
2026-06-18 11:00（初盘②）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,William Hill,欧指,2.0,3.2,3.8,0.995,0.957,0.965,,,,,,2026-06-18 10:55
2026-06-18 11:00（初盘②）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,BetMGM,欧指,2.05,3.3,3.5,1.02,0.987,0.889,,,,,,2026-06-18 10:55
2026-06-18 11:00（初盘②）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,Caesars,欧指,1.98,3.25,3.8,0.985,0.972,0.965,,,,,,2026-06-18 10:54
2026-06-18 23:00（中盘①）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,FanDuel,欧指,2.0,3.3,3.9,0.991,0.992,1.001,,,,,,2026-06-18 22:55
2026-06-18 23:00（中盘①）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,Betfair,欧指,2.1,3.5,4.1,1.041,1.052,1.053,,,,,,2026-06-18 22:55
2026-06-18 23:00（中盘①）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,Pinnacle,欧指,2.04,3.43,3.95,1.011,1.031,1.014,,,,,,2026-06-18 22:55
2026-06-18 23:00（中盘①）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,Pinnacle,亚盘,,,,,,,-0.5,2.05,1.86,1.048,0.962,2026-06-18 22:55
2026-06-18 23:00（中盘①）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,DraftKings,欧指,1.95,3.4,4.2,0.966,1.022,1.078,,,,,,2026-06-18 22:55
2026-06-18 23:00（中盘①）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,Ladbrokes,欧指,2.0,3.3,3.8,0.991,0.992,0.976,,,,,,2026-06-18 22:55
2026-06-18 23:00（中盘①）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,William Hill,欧指,2.0,3.2,3.75,0.991,0.962,0.963,,,,,,2026-06-18 22:54
2026-06-18 23:00（中盘①）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,BetMGM,欧指,2.0,3.3,3.8,0.991,0.992,0.976,,,,,,2026-06-18 22:55
2026-06-18 23:00（中盘①）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,Caesars,欧指,1.98,3.25,3.8,0.981,0.977,0.976,,,,,,2026-06-18 22:54
2026-06-19 11:00（中盘②）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,FanDuel,欧指,2.05,3.3,3.9,1.005,0.985,1.017,,,,,,2026-06-19 10:54
2026-06-19 11:00（中盘②）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,Betfair,欧指,2.1,3.45,4.1,1.029,1.03,1.069,,,,,,2026-06-19 10:55
2026-06-19 11:00（中盘②）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,Pinnacle,欧指,2.1,3.42,3.76,1.029,1.021,0.98,,,,,,2026-06-19 10:55
2026-06-19 11:00（中盘②）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,Pinnacle,亚盘,,,,,,,-0.5,2.11,1.81,1.054,0.958,2026-06-19 10:55
2026-06-19 11:00（中盘②）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,DraftKings,欧指,2.1,3.35,3.8,1.029,1.0,0.991,,,,,,2026-06-19 10:54
2026-06-19 11:00（中盘②）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,Ladbrokes,欧指,2.05,3.3,3.6,1.005,0.985,0.939,,,,,,2026-06-19 10:54
2026-06-19 11:00（中盘②）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,William Hill,欧指,2.05,3.25,3.6,1.005,0.97,0.939,,,,,,2026-06-19 10:55
2026-06-19 11:00（中盘②）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,Caesars,欧指,1.98,3.3,3.7,0.97,0.985,0.965,,,,,,2026-06-19 10:53
2026-06-19 23:00（中盘③）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,FanDuel,欧指,2.0,3.3,3.8,0.978,0.98,1.001,,,,,,2026-06-19 22:54
2026-06-19 23:00（中盘③）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,Betfair,欧指,2.12,3.5,4.0,1.037,1.039,1.054,,,,,,2026-06-19 22:55
2026-06-19 23:00（中盘③）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,Pinnacle,欧指,2.08,3.46,3.94,1.017,1.027,1.038,,,,,,2026-06-19 22:55
2026-06-19 23:00（中盘③）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,Pinnacle,亚盘,,,,,,,-0.5,2.09,1.85,1.049,0.969,2026-06-19 22:55
2026-06-19 23:00（中盘③）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,DraftKings,欧指,2.05,3.4,3.85,1.003,1.01,1.014,,,,,,2026-06-19 22:55
2026-06-19 23:00（中盘③）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,Ladbrokes,欧指,2.0,3.3,3.7,0.978,0.98,0.975,,,,,,2026-06-19 22:54
2026-06-19 23:00（中盘③）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,William Hill,欧指,2.0,3.2,3.7,0.978,0.95,0.975,,,,,,2026-06-19 22:54
2026-06-19 23:00（中盘③）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,BetMGM,欧指,2.0,3.3,3.7,0.978,0.98,0.975,,,,,,2026-06-19 22:54
2026-06-19 23:00（中盘③）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,Caesars,欧指,2.01,3.3,3.7,0.983,0.98,0.975,,,,,,2026-06-19 22:52
2026-06-20 05:00（临场①）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,FanDuel,欧指,2.05,3.4,3.8,0.999,1.007,1.008,,,,,,2026-06-20 04:55
2026-06-20 05:00（临场①）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,Betfair,欧指,2.12,3.5,4.0,1.033,1.037,1.061,,,,,,2026-06-20 04:55
2026-06-20 05:00（临场①）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,Pinnacle,欧指,2.1,3.45,3.91,1.023,1.022,1.038,,,,,,2026-06-20 04:55
2026-06-20 05:00（临场①）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,Pinnacle,亚盘,,,,,,,-0.5,2.1,1.85,1.049,0.97,2026-06-20 04:55
2026-06-20 05:00（临场①）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,DraftKings,欧指,2.05,3.4,3.85,0.999,1.007,1.022,,,,,,2026-06-20 04:54
2026-06-20 05:00（临场①）,世界杯 FIFA World Cup,2026-06-20 11:00,Turkey,Paraguay,Ladbrokes,欧指,2.05,3.3,3.7,0.999,0.978,0.982,,,,,,2026-06-20 04:55
