快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-06-17 03:00（初盘①）,世界杯 FIFA World Cup,2026-06-20 03:00,USA,Australia,Betfair,欧指,1.63,4.6,5.8,1.022,1.097,1.068,,,,,,2026-06-17 02:55
2026-06-17 03:00（初盘①）,世界杯 FIFA World Cup,2026-06-20 03:00,USA,Australia,1xBet,欧指,1.63,4.31,5.85,1.022,1.028,1.077,,,,,,2026-06-17 02:53
2026-06-17 03:00（初盘①）,世界杯 FIFA World Cup,2026-06-20 03:00,USA,Australia,1xBet,亚盘,,,,,,,-1.5,2.76,1.48,1.332,0.808,2026-06-17 02:53
2026-06-17 03:00（初盘①）,世界杯 FIFA World Cup,2026-06-20 03:00,USA,Australia,Pinnacle,欧指,1.58,4.48,5.49,0.99,1.068,1.011,,,,,,2026-06-17 02:55
2026-06-17 03:00（初盘①）,世界杯 FIFA World Cup,2026-06-20 03:00,USA,Australia,Pinnacle,亚盘,,,,,,,-1.0,2.06,1.85,0.994,1.01,2026-06-17 02:55
2026-06-17 03:00（初盘①）,世界杯 FIFA World Cup,2026-06-20 03:00,USA,Australia,Ladbrokes,欧指,1.57,4.0,5.5,0.984,0.954,1.013,,,,,,2026-06-17 02:55
2026-06-17 03:00（初盘①）,世界杯 FIFA World Cup,2026-06-20 03:00,USA,Australia,BetMGM,欧指,1.57,4.0,5.5,0.984,0.954,1.013,,,,,,2026-06-17 02:55
2026-06-17 03:00（初盘①）,世界杯 FIFA World Cup,2026-06-20 03:00,USA,Australia,William Hill,欧指,1.57,4.0,5.0,0.984,0.954,0.92,,,,,,2026-06-17 02:54
2026-06-17 03:00（初盘①）,世界杯 FIFA World Cup,2026-06-20 03:00,USA,Australia,Caesars,欧指,1.57,4.05,5.25,0.984,0.966,0.967,,,,,,2026-06-17 02:54
2026-06-18 03:00（初盘②）,世界杯 FIFA World Cup,2026-06-20 03:00,USA,Australia,Betfair,欧指,1.65,4.6,5.5,1.031,1.098,1.028,,,,,,2026-06-18 02:55
