快照时间(CST),联赛,开球时间(CST),主队,客队,博彩公司,盘口类型,主胜赔率,平局赔率,客胜赔率,凯利(主胜),凯利(平局),凯利(客胜),让球,主队水位,客队水位,凯利(主),凯利(客),数据更新(CST)
2026-06-18 01:00（初盘①）,世界杯 FIFA World Cup,2026-06-21 01:00,Netherlands,Sweden,BetRivers,欧指,1.75,3.6,5.0,1.016,0.95,1.034,,,,,,2026-06-18 00:54
2026-06-18 01:00（初盘①）,世界杯 FIFA World Cup,2026-06-21 01:00,Netherlands,Sweden,FanDuel,欧指,1.71,3.8,4.9,0.993,1.003,1.013,,,,,,2026-06-18 00:55
2026-06-18 01:00（初盘①）,世界杯 FIFA World Cup,2026-06-21 01:00,Netherlands,Sweden,Betfair,欧指,1.77,4.0,5.1,1.028,1.055,1.054,,,,,,2026-06-18 00:55
2026-06-18 01:00（初盘①）,世界杯 FIFA World Cup,2026-06-21 01:00,Netherlands,Sweden,Pinnacle,欧指,1.75,3.88,4.81,1.016,1.024,0.994,,,,,,2026-06-18 00:55
2026-06-18 01:00（初盘①）,世界杯 FIFA World Cup,2026-06-21 01:00,Netherlands,Sweden,Pinnacle,亚盘,,,,,,,-0.75,1.98,1.93,0.932,1.044,2026-06-18 00:55
2026-06-18 01:00（初盘①）,世界杯 FIFA World Cup,2026-06-21 01:00,Netherlands,Sweden,DraftKings,欧指,1.71,3.95,4.8,0.993,1.042,0.992,,,,,,2026-06-18 00:55
2026-06-18 01:00（初盘①）,世界杯 FIFA World Cup,2026-06-21 01:00,Netherlands,Sweden,Ladbrokes,欧指,1.68,3.9,4.6,0.976,1.029,0.951,,,,,,2026-06-18 00:55
2026-06-18 01:00（初盘①）,世界杯 FIFA World Cup,2026-06-21 01:00,Netherlands,Sweden,BetMGM,欧指,1.69,3.9,4.75,0.981,1.029,0.982,,,,,,2026-06-18 00:54
2026-06-18 01:00（初盘①）,世界杯 FIFA World Cup,2026-06-21 01:00,Netherlands,Sweden,William Hill,欧指,1.7,3.6,4.6,0.987,0.95,0.951,,,,,,2026-06-18 00:55
2026-06-18 01:00（初盘①）,世界杯 FIFA World Cup,2026-06-21 01:00,Netherlands,Sweden,Caesars,欧指,1.69,3.8,4.75,0.981,1.003,0.982,,,,,,2026-06-18 00:55
2026-06-19 01:00（初盘②）,世界杯 FIFA World Cup,2026-06-21 01:00,Netherlands,Sweden,BetRivers,欧指,1.72,3.8,4.8,1.0,0.996,1.004,,,,,,2026-06-19 00:55
2026-06-19 01:00（初盘②）,世界杯 FIFA World Cup,2026-06-21 01:00,Netherlands,Sweden,FanDuel,欧指,1.71,3.8,4.8,0.994,0.996,1.004,,,,,,2026-06-19 00:55
2026-06-19 01:00（初盘②）,世界杯 FIFA World Cup,2026-06-21 01:00,Netherlands,Sweden,Betfair,欧指,1.79,4.0,5.1,1.041,1.049,1.067,,,,,,2026-06-19 00:55
2026-06-19 01:00（初盘②）,世界杯 FIFA World Cup,2026-06-21 01:00,Netherlands,Sweden,Pinnacle,欧指,1.75,3.94,4.79,1.017,1.033,1.002,,,,,,2026-06-19 00:55
2026-06-19 01:00（初盘②）,世界杯 FIFA World Cup,2026-06-21 01:00,Netherlands,Sweden,Pinnacle,亚盘,,,,,,,-0.75,1.97,1.93,0.912,1.061,2026-06-19 00:55
2026-06-19 01:00（初盘②）,世界杯 FIFA World Cup,2026-06-21 01:00,Netherlands,Sweden,DraftKings,欧指,1.71,3.95,4.9,0.994,1.036,1.025,,,,,,2026-06-19 00:54
2026-06-19 01:00（初盘②）,世界杯 FIFA World Cup,2026-06-21 01:00,Netherlands,Sweden,Ladbrokes,欧指,1.7,3.75,4.8,0.988,0.983,1.004,,,,,,2026-06-19 00:55
